scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,support_count,support_rate,support_wilson_95_low,support_wilson_95_high,positive_support_count,positive_support_rate,positive_support_wilson_95_low,positive_support_wilson_95_high
image,B2_training_state,configmean_extra_trees,additive_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,configmean_extra_trees,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,6,0.06,0.027786123963188192,0.1247681544589592,6,0.06,0.027786123963188192,0.1247681544589592
image,B2_training_state,configmean_extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,configmean_extra_trees,independent_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,configmean_extra_trees,independent_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,configmean_extra_trees,interaction_increment,0.3,0.2,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
image,B2_training_state,configmean_extra_trees,interaction_increment,0.3,0.35,100,100,1.0,19,0.19,0.12514751509768735,0.27778845379064376,19,0.19,0.12514751509768735,0.27778845379064376
image,B2_training_state,configmean_extra_trees,interaction_increment,0.3,0.5,100,100,1.0,37,0.37,0.28182360534324524,0.4677947041905709,37,0.37,0.28182360534324524,0.4677947041905709
image,B2_training_state,configmean_extra_trees,interaction_increment,0.8,0.2,100,100,1.0,17,0.17,0.10893566114059931,0.25548004767601123,17,0.17,0.10893566114059931,0.25548004767601123
image,B2_training_state,configmean_extra_trees,interaction_increment,0.8,0.35,100,100,1.0,26,0.26,0.18404698464748132,0.3537098944918718,26,0.26,0.18404698464748132,0.3537098944918718
image,B2_training_state,configmean_extra_trees,interaction_increment,0.8,0.5,100,100,1.0,60,0.6,0.5020025867910618,0.6905987135675411,60,0.6,0.5020025867910618,0.6905987135675411
image,B2_training_state,configmean_extra_trees,interaction_proxy_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,configmean_extra_trees,interaction_proxy_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,5,0.05,0.02154367915436796,0.11175046923191913
image,B2_training_state,configmean_extra_trees,nonlinear_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
image,B2_training_state,configmean_extra_trees,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,configmean_interactions_d4_r10,additive_proxy_null,0.3,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,2,0.02,0.00550196755016235,0.07001179072854388
image,B2_training_state,configmean_interactions_d4_r10,additive_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
image,B2_training_state,configmean_interactions_d4_r10,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
image,B2_training_state,configmean_interactions_d4_r10,independent_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,configmean_interactions_d4_r10,independent_null,0.8,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B2_training_state,configmean_interactions_d4_r10,interaction_increment,0.3,0.2,100,100,1.0,18,0.18,0.1170022549894635,0.2666735838630073,18,0.18,0.1170022549894635,0.2666735838630073
image,B2_training_state,configmean_interactions_d4_r10,interaction_increment,0.3,0.35,100,100,1.0,34,0.34,0.25461520797348164,0.43722271145275377,34,0.34,0.25461520797348164,0.43722271145275377
image,B2_training_state,configmean_interactions_d4_r10,interaction_increment,0.3,0.5,100,100,1.0,61,0.61,0.5120301704584073,0.6998312599360558,61,0.61,0.5120301704584073,0.6998312599360558
image,B2_training_state,configmean_interactions_d4_r10,interaction_increment,0.8,0.2,100,100,1.0,25,0.25,0.17545211362287672,0.34304463548061603,25,0.25,0.17545211362287672,0.34304463548061603
image,B2_training_state,configmean_interactions_d4_r10,interaction_increment,0.8,0.35,100,100,1.0,44,0.44,0.34672026630160796,0.5377189534832302,44,0.44,0.34672026630160796,0.5377189534832302
image,B2_training_state,configmean_interactions_d4_r10,interaction_increment,0.8,0.5,100,100,1.0,80,0.8,0.7111708344068411,0.8666330666689676,80,0.8,0.7111708344068411,0.8666330666689676
image,B2_training_state,configmean_interactions_d4_r10,interaction_proxy_null,0.3,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
image,B2_training_state,configmean_interactions_d4_r10,interaction_proxy_null,0.8,0.0,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,9,0.09,0.04807254000256516,0.1622621285271631
image,B2_training_state,configmean_interactions_d4_r10,nonlinear_proxy_null,0.3,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B2_training_state,configmean_interactions_d4_r10,nonlinear_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B3_validation,configmean_extra_trees,additive_proxy_null,0.3,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,configmean_extra_trees,additive_proxy_null,0.8,0.0,100,100,1.0,1,0.01,0.0017674320641406505,0.054486196178705315,1,0.01,0.0017674320641406505,0.054486196178705315
image,B3_validation,configmean_extra_trees,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,4,0.04,0.01566330399154762,0.0983707143588792
image,B3_validation,configmean_extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,7,0.07,0.03431926106727268,0.137495147390735
image,B3_validation,configmean_extra_trees,independent_null,0.3,0.0,100,100,1.0,2,0.02,0.00550196755016235,0.07001179072854388,1,0.01,0.0017674320641406505,0.054486196178705315
image,B3_validation,configmean_extra_trees,independent_null,0.8,0.0,100,100,1.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B3_validation,configmean_extra_trees,interaction_increment,0.3,0.2,100,100,1.0,22,0.22,0.150012823846054,0.31070353514985793,22,0.22,0.150012823846054,0.31070353514985793
image,B3_validation,configmean_extra_trees,interaction_increment,0.3,0.35,100,100,1.0,35,0.35,0.26364248243097527,0.44745556703112027,35,0.35,0.26364248243097527,0.44745556703112027
image,B3_validation,configmean_extra_trees,interaction_increment,0.3,0.5,100,100,1.0,52,0.52,0.4231657776522397,0.615354482419481,52,0.52,0.4231657776522397,0.615354482419481
image,B3_validation,configmean_extra_trees,interaction_increment,0.8,0.2,100,100,1.0,30,0.3,0.2189488529493276,0.3958485463334666,30,0.3,0.2189488529493276,0.3958485463334666
image,B3_validation,configmean_extra_trees,interaction_increment,0.8,0.35,100,100,1.0,46,0.46,0.36560808309024106,0.5573513967663177,46,0.46,0.36560808309024106,0.5573513967663177
image,B3_validation,configmean_extra_trees,interaction_increment,0.8,0.5,100,100,1.0,68,0.68,0.5833738138954762,0.7633085267500092,68,0.68,0.5833738138954762,0.7633085267500092
image,B3_validation,configmean_extra_trees,interaction_proxy_null,0.3,0.0,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,8,0.08,0.041093461484380624,0.14998107700948735
