scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,100,4,polynomial_ridge,0.38,0.29097599252478734,0.47790244704488916,0.09,0.04807254000256516,0.1622621285271631,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.044360902255639094,-0.005024894384766982,-0.22658667829897522
clustered_null,conditional-null,False,200,4,polynomial_ridge,0.42,0.3279838267435473,0.5179351329695703,0.15,0.0930598528365663,0.23283559590832364,0.01,0.0017674320641406505,0.054486196178705315,1.0,0.9630065017930143,1.0,100,0.05440900562851783,-0.0015226231771004618,-0.07474239993373598
clustered_null,conditional-null,False,400,4,polynomial_ridge,0.41,0.3186731302113651,0.5079856994658921,0.13,0.07757167427240512,0.20980351440076428,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.00032817627754336623,-0.0009705311533424396,-0.05238469711105333
clustered_null,conditional-null,False,800,4,polynomial_ridge,0.39,0.3001687400639441,0.4879698295415926,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.010767022149302707,-0.0003820332339299773,-0.02217632396976474
genuine_increment,increment-survives,True,100,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8278195488721805,0.04220946196896869,0.7193784154083018
genuine_increment,increment-survives,True,200,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8467166979362103,0.042293795676404636,0.7464885057748406
genuine_increment,increment-survives,True,400,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8574542897327708,0.04232915321366626,0.7582148847011069
genuine_increment,increment-survives,True,800,4,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8577244228290167,0.04146941951261328,0.7569961071159967
heteroskedastic_null,conditional-null,False,100,4,polynomial_ridge,0.2,0.1333669333310325,0.2888291655931589,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.0015037593984962405,-0.0005045719845603227,-0.05038748529486514
heteroskedastic_null,conditional-null,False,200,4,polynomial_ridge,0.28,0.20139685211186212,0.3748802870992116,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.04634146341463416,-0.0002267600270473469,-0.02467963700597958
heteroskedastic_null,conditional-null,False,400,4,polynomial_ridge,0.35,0.26364248243097527,0.44745556703112027,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.012576183778715427,-9.342938985215264e-05,-0.010651884701064589
heteroskedastic_null,conditional-null,False,800,4,polynomial_ridge,0.59,0.4920143005341078,0.6813268697886348,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.0029268721434431034,-4.3825662047746426e-05,-0.0052452403845057866
linear_proxy,proxy-washout,False,100,4,polynomial_ridge,0.1,0.0552291370606751,0.17436566150491345,0.08,0.041093461484380624,0.14998107700948735,0.0,3.469446951953614e-18,0.03699349820698568,0.44,0.34672026630160796,0.5377189534832302,100,0.04661654135338346,-0.0008184533654897559,-0.053836738572077825
linear_proxy,proxy-washout,False,200,4,polynomial_ridge,0.09,0.04807254000256516,0.1622621285271631,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.56,0.4622810465167699,0.6532797336983921,100,0.012945590994371484,-0.0004584168972736821,-0.03100972890352441
linear_proxy,proxy-washout,False,400,4,polynomial_ridge,0.11,0.06254196357064568,0.18631296503080313,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,0.78,0.6892964648501421,0.8499871761539459,100,0.01422878574777309,-0.0001884757941068944,-0.012980009508224956
linear_proxy,proxy-washout,False,800,4,polynomial_ridge,0.11,0.06254196357064568,0.18631296503080313,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,0.93,0.8625048526092651,0.9656807389327273,100,0.011363236845189265,-0.00010853438733469164,-0.007221477040410842
nonlinear_proxy,nonlinear-proxy-washout,False,100,4,polynomial_ridge,1.0,0.9630065017930143,1.0,0.16,0.10095288488804782,0.24420269389270244,0.03,0.010254524024038925,0.0845193642905276,0.27,0.1926958414957634,0.36432116767944994,100,0.2308270676691729,0.00019251457605467398,0.029044292288042735
