hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error,study_id,scope,baseline_level,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification,source_mean_rank,mbe_abs_residual_rank,rank_gap
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394629240766723,0.21144980049133,sign-inversion,0.3418434905063002,0.3502576702576702,0.005,0.2979992497209394,0.4064632248284206,0.0173731349632292,0.0121307739129509,0.0052423610502782,0.0040457367912962,0.0063346921647424,0.3017510116265083,0.0053333333333333,increment-supported,11.0,11.0,0.0
all,complexity.log_prod_of_fro,9242,0.3013325887147912,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394205805668255,0.1956547103741835,weak-or-mixed,0.3354920544813116,0.3435920235920236,0.005,0.2926390086172549,0.3997910542400061,0.0174684970865433,0.0121905715697804,0.0052779255167629,0.0041713636826433,0.0063843534452722,0.302139645478069,0.0053333333333333,increment-supported,12.0,13.0,1.0
all,complexity.log_sum_of_spec_fft,9242,0.3034099729786785,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6099080962904855,0.5221451131118255,survives,0.4028226049088421,0.3920770520770521,0.005,0.3352095907924435,0.4520223389798051,0.0174215320471407,0.0144070228230168,0.0030145092241239,0.002182576170789,0.0039352124656422,0.1730335320663522,0.0053333333333333,increment-supported,13.0,8.0,5.0
all,complexity.fro_over_spec_fft,9242,0.3115166531408697,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3724917093612143,-0.3426378525283006,reverse-inversion,-0.1560542742855395,-0.1454044694044694,0.005,-0.2096691626936196,-0.090435267866158,0.0175556972406185,0.017148110789719,0.0004075864508994,-5.6702325975086266e-05,0.0008683931641525,0.0232167623599921,0.0053333333333333,residual-dependence-only,14.0,22.0,8.0
all,complexity.inverse_margin,9242,0.3295665667220577,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.0562171680581666,washout,0.0813134032871323,0.0917476997476997,0.01,0.0371599156307139,0.1578171913835981,0.0174728839409563,0.0174628549727537,1.002896820257934e-05,-0.0001599162077539,0.0001787884369088,0.0005739732625975,0.0103225806451612,residual-dependence-only,15.0,23.0,8.0
all,complexity.log_sum_of_spec_over_margin_fft,9242,0.334899800339012,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5866170706709996,0.4989684531058254,survives,0.344419991952542,0.3305783705783706,0.005,0.2774349927650117,0.3888349217284037,0.0172786595247142,0.0150240735640332,0.0022545859606809,0.0015349388503983,0.0030280659488492,0.1304838467044374,0.0053333333333333,increment-supported,16.0,16.0,0.0
all,complexity.dist_spec_init_fft,9242,0.3745780861927532,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5891697483643795,0.5805752180312329,survives,0.4655901383897619,0.4594327114327115,0.005,0.3978126000615095,0.5141555742685914,0.0174046223779179,0.0095784889321088,0.007826133445809,0.0066016319616328,0.0089572903013901,0.4496583307511715,0.0053333333333333,increment-supported,17.0,7.0,10.0
all,complexity.pacbayes_mag_orig,9242,0.4070617087984375,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.2717056344455159,-0.0394775400285102,washout,0.1658251032182011,0.1631542511542511,0.005,0.0989963847599697,0.2261930503718282,0.0175674872251085,0.0162340374633513,0.0013334497617571,0.0006656319041315,0.0020254352975527,0.0759044104982373,0.0053333333333333,increment-supported,18.0,21.0,3.0
all,complexity.pacbayes_mag_init,9242,0.4173327472238957,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3009812389217274,0.1097422266275559,weak-or-mixed,0.3013014776171303,0.2996332556332556,0.005,0.2378507851821672,0.3611874990699728,0.0173759329724166,0.0135439277544416,0.0038320052179749,0.0026623283493406,0.0049953358828569,0.2205352209897502,0.0053333333333333,increment-supported,19.0,18.0,1.0
all,complexity.params,9242,0.4334144411679495,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.2465283576540229,-0.1532751487342688,weak-or-mixed,0.0427933787606356,0.0384801264801264,0.24,-0.0239830132787547,0.1033308398583114,0.0173743938999494,0.0176600107484748,-0.0002856168485253,-0.0004537632592944,-0.000130453515744,-0.0164389532187492,0.24,no-supported-increment,20.0,24.0,4.0
all,complexity.log_spec_orig_main_fft,9242,0.5506286549589554,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2935751634216008,0.3437357354628934,sign-inversion,0.3784730891273423,0.3684236364236364,0.005,0.3118548257502,0.4165742928961927,0.0173019958142981,0.0074517776406647,0.0098502181736333,0.0088126527586041,0.0109444891822736,0.5693110944746221,0.0053333333333333,increment-supported,21.0,10.0,11.0
all,complexity.log_spec_init_main_fft,9242,0.5613511552551588,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2930772903720895,0.3564310193556499,sign-inversion,0.382902581431395,0.3731340371340371,0.005,0.3250116446047584,0.4230765724418954,0.0174137244738209,0.0077895285607418,0.0096241959130791,0.00869362297695,0.0106186736929756,0.5526787751550643,0.0053333333333333,increment-supported,22.0,9.0,13.0
all,complexity.log_prod_of_spec_fft,9242,0.5964703779104876,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3121074388097063,0.3207703346773978,sign-inversion,0.3483394637590615,0.3462688062688062,0.005,0.298135351572213,0.3922787238378439,0.017330313739255,0.0077175128263597,0.0096128009128953,0.0085466264183666,0.0104946978683935,0.554681297610976,0.0053333333333333,increment-supported,23.0,12.0,11.0
all,complexity.log_prod_of_spec_over_margin_fft,9242,0.6185368679346784,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3148149162460588,0.3261168698114289,sign-inversion,0.3436192505397584,0.3405253725253725,0.005,0.2928489949307641,0.3890509347228706,0.0175536128232993,0.0083845326254709,0.0091690801978283,0.0080669882737746,0.010206468478715,0.5223471823223759,0.0053333333333333,increment-supported,24.0,14.0,10.0
