scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,repetition,seed,raw_r,raw_p,partial_r,partial_p,legacy_partial_reject,crossfit_residual_r,crossfit_residual_p,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_residual_reject,positive_delta_mse,delta_ci_positive,joint_increment_decision,profile_pass
null_metric,no-increment,False,100,2,polynomial_ridge,0,21263447,0.03201920192019202,0.7518146452358578,0.11562643578348818,0.25441770831639116,False,0.11428571428571428,0.65,0.00022413751276948585,-0.001040025129681313,0.0017062013961346512,0.013531898672474122,False,True,False,False,True
null_metric,no-increment,False,100,2,polynomial_ridge,1,21263448,-0.22683468346834684,0.023238099822237665,-0.21111290608234645,0.03594293880925777,True,-0.5293233082706766,0.018,0.00020655753994446371,-0.00158426562687128,0.0017341990026857107,0.008947879389619415,True,True,False,False,False
null_metric,no-increment,False,100,2,polynomial_ridge,2,21263449,0.1117311731173117,0.26840899914073196,0.1315783247014551,0.19421412228679344,False,0.41052631578947363,0.074,-5.42253770804621e-06,-0.0010538902433975227,0.0009050208231833862,-0.00028593366097664407,False,False,False,False,False
null_metric,no-increment,False,100,2,polynomial_ridge,3,21263450,-0.02505850585058506,0.8045418475322409,0.23037614181572216,0.021787538116058002,True,0.13984962406015036,0.57,0.0003327818258446816,-0.0016084381719531694,0.002302119992476621,0.015660923837859355,False,True,False,False,True
null_metric,no-increment,False,100,2,polynomial_ridge,4,21263451,0.09903390339033903,0.3269378227291371,-0.06539976028322105,0.5201305507026197,False,-0.10676691729323308,0.67,-0.0002256875590839133,-0.0009041267925963656,0.00045001379170595137,-0.01409234105822274,False,False,False,False,True
null_metric,no-increment,False,100,2,polynomial_ridge,5,21263452,-0.015613561356135612,0.8774662466967019,-0.06117223252868439,0.547513887926882,False,-0.7127819548872181,0.002,-0.0012779769163614,-0.0026032732731499416,-0.00010800993275813962,-0.05088164379217271,True,False,False,False,False
null_metric,no-increment,False,100,2,polynomial_ridge,6,21263453,0.029450945094509445,0.7711508718362058,0.09541644445580981,0.3474894895534873,False,-0.1263157894736842,0.594,0.00010751645606456306,-0.001566391815950759,0.001558975255533602,0.004708200642697466,False,True,False,False,True
null_metric,no-increment,False,100,2,polynomial_ridge,7,21263454,-0.009240924092409241,0.9272944518045138,0.05123346787303384,0.6145260670171385,False,-0.12180451127819547,0.598,-0.0003336984122674011,-0.0010224722383991819,0.00013053001582108716,-0.02049873927863973,False,False,False,False,True
null_metric,no-increment,False,100,2,polynomial_ridge,8,21263455,0.06569456945694568,0.5160874248744134,0.20062254018445277,0.046468781949895926,True,0.12030075187969923,0.602,-0.0006799629251919188,-0.002766462233223419,0.000983412678783927,-0.03049921933943438,False,False,False,False,True
null_metric,no-increment,False,100,2,polynomial_ridge,9,21263456,0.2688748874887488,0.006831524310261455,0.21902140536166265,0.029400292698818786,True,0.18796992481203004,0.442,3.2125357247204944e-06,-0.0022214309787622647,0.002144708737297733,0.00011394607714081232,False,True,False,False,False
