geometry,n_configurations,baseline,scenario,icc,beta,method,planned_repetitions,estimated_repetitions,estimability_rate,positive_support_count_a05,positive_support_rate_a05,positive_support_wilson_low_a05,positive_support_wilson_high_a05,positive_support_count_a001,positive_support_rate_a001,positive_support_wilson_low_a001,positive_support_wilson_high_a001
image_like,24,B1_design,interaction_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,interaction_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,interaction_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,64,0.128,0.10152682399523652,0.16014568530815834,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,interaction_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,68,0.136,0.10871544340723721,0.16883507644877283,8,0.016,0.008129253033388314,0.03125110853339426
image_like,24,B1_design,nonlinear_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,10,0.02,0.010899183596210813,0.036420183246879345,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,nonlinear_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,7,0.014,0.00679778979084349,0.02861306913778529,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,nonlinear_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,66,0.132,0.10511672384831994,0.1644947907313825,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B1_design,nonlinear_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,67,0.134,0.10691500187152081,0.16666601534633546,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B1_design,nonlinear_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,nonlinear_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,8,0.016,0.008129253033388314,0.03125110853339426,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,nonlinear_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,70,0.14,0.11232266018786358,0.17316686494445405,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,nonlinear_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,72,0.144,0.11593807411034973,0.17749045629827542,7,0.014,0.00679778979084349,0.02861306913778529
image_like,24,B1_design,shared_signal,0.3,0.25,latent_ceiling,500,500,1.0,125,0.25,0.21404849674782103,0.2897636734829552,2,0.004,0.0010976305226827934,0.014465715215177033
image_like,24,B1_design,shared_signal,0.3,0.25,observable_oracle,500,500,1.0,57,0.114,0.08903690099400285,0.1448490898423155,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B1_design,shared_signal,0.3,0.25,learned_raw_d2,500,500,1.0,156,0.312,0.27295294872528497,0.3539138032882587,11,0.022,0.012328008269927582,0.03896086121131637
image_like,24,B1_design,shared_signal,0.3,0.25,learned_rank_d2,500,500,1.0,144,0.288,0.250043271115854,0.32918944923984417,10,0.02,0.010899183596210813,0.036420183246879345
image_like,24,B1_design,shared_signal,0.3,0.5,latent_ceiling,500,500,1.0,366,0.732,0.6915162794621877,0.768946026563652,29,0.058,0.0406837291117572,0.08205618785625499
image_like,24,B1_design,shared_signal,0.3,0.5,observable_oracle,500,500,1.0,182,0.364,0.32301143591892645,0.4070623846866158,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B1_design,shared_signal,0.3,0.5,learned_raw_d2,500,500,1.0,239,0.478,0.43455096039387586,0.5217845105864325,29,0.058,0.0406837291117572,0.08205618785625499
image_like,24,B1_design,shared_signal,0.3,0.5,learned_rank_d2,500,500,1.0,224,0.448,0.4049726694186174,0.4918202619893841,33,0.066,0.04737852635977387,0.09123940116085351
image_like,24,B1_design,shared_signal,0.8,0.25,latent_ceiling,500,500,1.0,126,0.252,0.21593384838137186,0.2918478244875581,1,0.002,0.00035313639455927456,0.011240706705146758
image_like,24,B1_design,shared_signal,0.8,0.25,observable_oracle,500,500,1.0,120,0.24,0.204637860033381,0.2793267970066262,7,0.014,0.00679778979084349,0.02861306913778529
image_like,24,B1_design,shared_signal,0.8,0.25,learned_raw_d2,500,500,1.0,188,0.376,0.3346400158192325,0.4192508206152326,25,0.05,0.034093745243849435,0.0727681611715476
image_like,24,B1_design,shared_signal,0.8,0.25,learned_rank_d2,500,500,1.0,168,0.336,0.29598800782704915,0.37851277584434007,21,0.042,0.027632310108451703,0.06335158575433016
image_like,24,B1_design,shared_signal,0.8,0.5,latent_ceiling,500,500,1.0,357,0.714,0.6728768354985485,0.7518599467839072,21,0.042,0.027632310108451703,0.06335158575433016
image_like,24,B1_design,shared_signal,0.8,0.5,observable_oracle,500,500,1.0,321,0.642,0.5990422907102082,0.682792396598711,20,0.04,0.026040797389777257,0.060973595834850805
image_like,24,B1_design,shared_signal,0.8,0.5,learned_raw_d2,500,500,1.0,320,0.64,0.597006617075836,0.6808585675949294,63,0.126,0.09973528894537706,0.15796771771986404
image_like,24,B1_design,shared_signal,0.8,0.5,learned_rank_d2,500,500,1.0,298,0.596,0.5524153513244502,0.6381207753069317,55,0.11,0.0854914151566031,0.14045557040340767
image_like,24,B2_training_state,additive_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,additive_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,13,0.026,0.015256383923327248,0.04397149083422428,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,additive_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,71,0.142,0.114129360445696,0.1753296673247754,2,0.004,0.0010976305226827934,0.014465715215177033
image_like,24,B2_training_state,additive_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,79,0.158,0.1286526978644355,0.19256235101126623,3,0.006,0.0020425962719602363,0.01749025210405338
image_like,24,B2_training_state,additive_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,4,0.008,0.00311531518006224,0.020387035834105168,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,additive_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,9,0.018,0.009498193296197078,0.033851670908739286,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,additive_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,71,0.142,0.114129360445696,0.1753296673247754,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B2_training_state,additive_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,71,0.142,0.114129360445696,0.1753296673247754,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,5,0.01,0.004278753896590496,0.023193099755730702,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,7,0.014,0.00679778979084349,0.02861306913778529,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,59,0.118,0.09259300825150649,0.14923198786111944,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,69,0.138,0.1105180088988837,0.17100201359528017,9,0.018,0.009498193296197078,0.033851670908739286
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,15,0.03,0.018263213197913384,0.04890366683594573,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,77,0.154,0.1250106802783401,0.18826536332105404,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B2_training_state,heteroskedastic_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,75,0.15,0.12137595769138819,0.18396108063169836,2,0.004,0.0010976305226827934,0.014465715215177033
image_like,24,B2_training_state,independent_null,0.3,0.0,latent_ceiling,500,500,1.0,15,0.03,0.018263213197913384,0.04890366683594573,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,independent_null,0.3,0.0,observable_oracle,500,500,1.0,18,0.036,0.02289106098029272,0.056184326968027755,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,independent_null,0.3,0.0,learned_raw_d2,500,500,1.0,71,0.142,0.114129360445696,0.1753296673247754,3,0.006,0.0020425962719602363,0.01749025210405338
image_like,24,B2_training_state,independent_null,0.3,0.0,learned_rank_d2,500,500,1.0,74,0.148,0.1195614053892054,0.18180613029572734,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B2_training_state,independent_null,0.8,0.0,latent_ceiling,500,500,1.0,13,0.026,0.015256383923327248,0.04397149083422428,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,independent_null,0.8,0.0,observable_oracle,500,500,1.0,7,0.014,0.00679778979084349,0.02861306913778529,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,independent_null,0.8,0.0,learned_raw_d2,500,500,1.0,69,0.138,0.1105180088988837,0.17100201359528017,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B2_training_state,independent_null,0.8,0.0,learned_rank_d2,500,500,1.0,62,0.124,0.09794609113930344,0.15578741288778383,6,0.012,0.005510995174027703,0.025930361116447292
image_like,24,B2_training_state,interaction_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,interaction_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,interaction_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,82,0.164,0.13412892031587176,0.1989946364742914,8,0.016,0.008129253033388314,0.03125110853339426
image_like,24,B2_training_state,interaction_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,81,0.162,0.13230178838983928,0.19685226576217005,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B2_training_state,interaction_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,15,0.03,0.018263213197913384,0.04890366683594573,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,interaction_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,12,0.024,0.013781314655496986,0.041477057463900756,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,interaction_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,70,0.14,0.11232266018786358,0.17316686494445405,7,0.014,0.00679778979084349,0.02861306913778529
image_like,24,B2_training_state,interaction_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,65,0.13,0.10332065036463456,0.16232136157691412,8,0.016,0.008129253033388314,0.03125110853339426
image_like,24,B2_training_state,nonlinear_proxy_null,0.3,0.0,latent_ceiling,500,500,1.0,7,0.014,0.00679778979084349,0.02861306913778529,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,nonlinear_proxy_null,0.3,0.0,observable_oracle,500,500,1.0,11,0.022,0.012328008269927582,0.03896086121131637,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,nonlinear_proxy_null,0.3,0.0,learned_raw_d2,500,500,1.0,61,0.122,0.0961592783150937,0.15360472307383977,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,nonlinear_proxy_null,0.3,0.0,learned_rank_d2,500,500,1.0,63,0.126,0.09973528894537706,0.15796771771986404,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B2_training_state,nonlinear_proxy_null,0.8,0.0,latent_ceiling,500,500,1.0,9,0.018,0.009498193296197078,0.033851670908739286,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,nonlinear_proxy_null,0.8,0.0,observable_oracle,500,500,1.0,7,0.014,0.00679778979084349,0.02861306913778529,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,nonlinear_proxy_null,0.8,0.0,learned_raw_d2,500,500,1.0,78,0.156,0.126830791403845,0.19041475483370296,5,0.01,0.004278753896590496,0.023193099755730702
image_like,24,B2_training_state,nonlinear_proxy_null,0.8,0.0,learned_rank_d2,500,500,1.0,76,0.152,0.12319239267380164,0.18611414828743875,4,0.008,0.00311531518006224,0.020387035834105168
image_like,24,B2_training_state,shared_signal,0.3,0.25,latent_ceiling,500,500,1.0,141,0.282,0.2443364332272433,0.32298777921399346,0,0.0,4.336808689942018e-19,0.007624340461552241
image_like,24,B2_training_state,shared_signal,0.3,0.25,observable_oracle,500,500,1.0,60,0.12,0.09437490012636912,0.1514195986244106,1,0.002,0.00035313639455927456,0.011240706705146758
image_like,24,B2_training_state,shared_signal,0.3,0.25,learned_raw_d2,500,500,1.0,135,0.27,0.2329485392031058,0.3105586574092084,14,0.028,0.01675097472075645,0.04644640267494888
image_like,24,B2_training_state,shared_signal,0.3,0.25,learned_rank_d2,500,500,1.0,133,0.266,0.2291604018204711,0.30640778951553543,10,0.02,0.010899183596210813,0.036420183246879345
image_like,24,B2_training_state,shared_signal,0.3,0.5,latent_ceiling,500,500,1.0,376,0.752,0.7123215407533253,0.7878357916540525,29,0.058,0.0406837291117572,0.08205618785625499
image_like,24,B2_training_state,shared_signal,0.3,0.5,observable_oracle,500,500,1.0,183,0.366,0.32494760488221347,0.40909571836148256,7,0.014,0.00679778979084349,0.02861306913778529
image_like,24,B2_training_state,shared_signal,0.3,0.5,learned_raw_d2,500,500,1.0,202,0.404,0.36187922469306827,0.44758464867554987,29,0.058,0.0406837291117572,0.08205618785625499
image_like,24,B2_training_state,shared_signal,0.3,0.5,learned_rank_d2,500,500,1.0,194,0.388,0.3462960293500537,0.4314118229133341,24,0.048,0.03246520694135317,0.07042719683589006
image_like,24,B2_training_state,shared_signal,0.8,0.25,latent_ceiling,500,500,1.0,132,0.264,0.22726783141305193,0.3043308572848008,1,0.002,0.00035313639455927456,0.011240706705146758
