scenario,expected_increment,nuisance_model,refit_draws,repetitions,estimable,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high,median_ci_low
clustered_null,False,polynomial_ridge,99,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.01527300484256371
clustered_null,False,polynomial_ridge,199,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.015556174405426875
clustered_null,False,polynomial_ridge,499,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.016378182289122602
clustered_null,False,polynomial_ridge,999,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.016641971595378398
clustered_null,False,polynomial_ridge_interactions,99,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.010660284990928973
clustered_null,False,polynomial_ridge_interactions,199,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.011449611310707233
clustered_null,False,polynomial_ridge_interactions,499,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.01156329956770567
clustered_null,False,polynomial_ridge_interactions,999,100,100,0.0,0.0,0.03699480747600191,0.0,0.0,0.03699480747600191,-0.01127188580610551
genuine_increment,True,polynomial_ridge,99,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.03194052087600967
genuine_increment,True,polynomial_ridge,199,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.03139950919789397
genuine_increment,True,polynomial_ridge,499,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.031835475009574045
genuine_increment,True,polynomial_ridge,999,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.031605905033696764
genuine_increment,True,polynomial_ridge_interactions,99,100,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.9630051925239981,0.9999999999999999,0.03183954725203861
