repetition,scenario,expected_increment,nuisance_model,refit_draws,simulation_seed,analysis_seed,status,delta_mse,refit_delta_mse_ci_low,refit_delta_mse_ci_high,residual_p,predictive_supported,joint_supported
0,null_metric,False,polynomial_ridge_interactions,99,20260731,20261740,estimated,-0.0002088272576344155,-0.000816485550284649,0.0008366996647894254,0.135,False,False
0,null_metric,False,polynomial_ridge_interactions,199,20260731,20261740,estimated,-0.0002088272576344155,-0.000928536030057033,0.0008778313037849428,0.135,False,False
0,null_metric,False,polynomial_ridge_interactions,499,20260731,20261740,estimated,-0.0002088272576344155,-0.0008391179947484055,0.000888552722679865,0.135,False,False
0,null_metric,False,polynomial_ridge_interactions,999,20260731,20261740,estimated,-0.0002088272576344155,-0.0009300373056442503,0.0008245696726875218,0.135,False,False
1,clustered_null,False,polynomial_ridge,99,20360734,21290755,estimated,-0.0008844290933244167,-0.006167232563170623,0.006836920798593703,0.155,False,False
1,clustered_null,False,polynomial_ridge,199,20360734,21290755,estimated,-0.0008844290933244167,-0.00645003825182422,0.009797911934622353,0.155,False,False
1,clustered_null,False,polynomial_ridge,499,20360734,21290755,estimated,-0.0008844290933244167,-0.006370694600991206,0.006316416493256528,0.155,False,False
1,clustered_null,False,polynomial_ridge,999,20360734,21290755,estimated,-0.0008844290933244167,-0.007601644865467323,0.007733823177013305,0.155,False,False
1,clustered_null,False,polynomial_ridge_interactions,99,20360734,21291764,estimated,0.0007844755811566139,-0.005907874873783533,0.00828824117183326,0.025,False,False
1,clustered_null,False,polynomial_ridge_interactions,199,20360734,21291764,estimated,0.0007844755811566139,-0.004641945526749542,0.009071167133550146,0.025,False,False
1,clustered_null,False,polynomial_ridge_interactions,499,20360734,21291764,estimated,0.0007844755811566139,-0.004542970242605819,0.007710621434301614,0.025,False,False
1,clustered_null,False,polynomial_ridge_interactions,999,20360734,21291764,estimated,0.0007844755811566139,-0.004641945526749542,0.007208659123506899,0.025,False,False
1,genuine_increment,True,polynomial_ridge,99,20360734,21300762,estimated,0.03978380518238357,0.028647530912076783,0.050434353558746314,0.005,True,True
1,genuine_increment,True,polynomial_ridge,199,20360734,21300762,estimated,0.03978380518238357,0.02897049516783623,0.05060947510742889,0.005,True,True
1,genuine_increment,True,polynomial_ridge,499,20360734,21300762,estimated,0.03978380518238357,0.028387144814189146,0.05057793185805378,0.005,True,True
1,genuine_increment,True,polynomial_ridge,999,20360734,21300762,estimated,0.03978380518238357,0.028067768020096192,0.05054585126528258,0.005,True,True
1,genuine_increment,True,polynomial_ridge_interactions,99,20360734,21301771,estimated,0.04023089690735976,0.026581471386988405,0.05193794630254127,0.005,True,True
1,genuine_increment,True,polynomial_ridge_interactions,199,20360734,21301771,estimated,0.04023089690735976,0.02642224595364418,0.04994908194973836,0.005,True,True
1,genuine_increment,True,polynomial_ridge_interactions,499,20360734,21301771,estimated,0.04023089690735976,0.02672204424085485,0.049979279673255314,0.005,True,True
1,genuine_increment,True,polynomial_ridge_interactions,999,20360734,21301771,estimated,0.04023089690735976,0.02676852948028666,0.04959144020849075,0.005,True,True
1,heteroskedastic_null,False,polynomial_ridge,99,20360734,21280748,estimated,-0.0006054104134776946,-0.001422869896540756,0.0008014841044798491,0.02,False,False
1,heteroskedastic_null,False,polynomial_ridge,199,20360734,21280748,estimated,-0.0006054104134776946,-0.0014634853960620536,0.0009146314633702546,0.02,False,False
1,heteroskedastic_null,False,polynomial_ridge,499,20360734,21280748,estimated,-0.0006054104134776946,-0.0016007177654709449,0.000892266682158202,0.02,False,False
1,heteroskedastic_null,False,polynomial_ridge,999,20360734,21280748,estimated,-0.0006054104134776946,-0.0016054339593626198,0.0007654761617504012,0.02,False,False
1,heteroskedastic_null,False,polynomial_ridge_interactions,99,20360734,21281757,estimated,-0.00030947058831054357,-0.0004969835041903368,0.00031629377497876247,0.03,False,False
1,heteroskedastic_null,False,polynomial_ridge_interactions,199,20360734,21281757,estimated,-0.00030947058831054357,-0.000489238637236707,0.0005026385701299554,0.03,False,False
1,heteroskedastic_null,False,polynomial_ridge_interactions,499,20360734,21281757,estimated,-0.00030947058831054357,-0.0005239373761027331,0.0006115511284189633,0.03,False,False
1,heteroskedastic_null,False,polynomial_ridge_interactions,999,20360734,21281757,estimated,-0.00030947058831054357,-0.0005476222722233968,0.0005823029218614015,0.03,False,False
1,nonlinear_proxy,False,polynomial_ridge,99,20360734,21270741,estimated,-0.0006897253529669278,-0.0007641868971086388,0.0013294673177718754,0.21,False,False
1,nonlinear_proxy,False,polynomial_ridge,199,20360734,21270741,estimated,-0.0006897253529669278,-0.0009667833991708181,0.0013030803002406755,0.21,False,False
1,nonlinear_proxy,False,polynomial_ridge,499,20360734,21270741,estimated,-0.0006897253529669278,-0.0007409643166628716,0.0012997765251198032,0.21,False,False
1,nonlinear_proxy,False,polynomial_ridge,999,20360734,21270741,estimated,-0.0006897253529669278,-0.0007874701681809286,0.0013845761231950553,0.21,False,False
1,nonlinear_proxy,False,polynomial_ridge_interactions,99,20360734,21271750,estimated,-6.303258142886358e-05,-0.00038156646228753736,0.0010704673113941456,0.845,False,False
1,nonlinear_proxy,False,polynomial_ridge_interactions,199,20360734,21271750,estimated,-6.303258142886358e-05,-0.00040794286211799354,0.0014474086412531529,0.845,False,False
1,nonlinear_proxy,False,polynomial_ridge_interactions,499,20360734,21271750,estimated,-6.303258142886358e-05,-0.00048145356310763074,0.0012818947199393518,0.845,False,False
1,nonlinear_proxy,False,polynomial_ridge_interactions,999,20360734,21271750,estimated,-6.303258142886358e-05,-0.0004080887061316,0.001304207015851821,0.845,False,False
1,null_metric,False,polynomial_ridge,99,20360734,21260734,estimated,-0.0013249340261309375,-0.0023918980854980786,0.0029734084387841365,0.42,False,False
1,null_metric,False,polynomial_ridge,199,20360734,21260734,estimated,-0.0013249340261309375,-0.0027181285115694736,0.0022750981673209463,0.42,False,False
1,null_metric,False,polynomial_ridge,499,20360734,21260734,estimated,-0.0013249340261309375,-0.0024311888159987334,0.00288434535102925,0.42,False,False
