sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
100,0,null_metric,False,polynomial_ridge,0.415,-0.0008878913866540682,-0.003942156238780173,False,False
100,0,null_metric,False,polynomial_ridge_interactions,0.755,-0.00020986193319472157,-0.0014269660946120077,False,False
100,0,nonlinear_proxy,False,polynomial_ridge,0.295,-0.0002597672587969198,-0.0008584875869962513,False,False
100,0,nonlinear_proxy,False,polynomial_ridge_interactions,0.22,-0.00012255640943711638,-0.0006086196443104343,False,False
100,0,heteroskedastic_null,False,polynomial_ridge,0.9,-0.001877501247844162,-0.004231315329441916,False,False
100,0,heteroskedastic_null,False,polynomial_ridge_interactions,0.46,-0.0001259928713283759,-0.0015961054100088819,False,False
100,0,clustered_null,False,polynomial_ridge,0.05,-0.007253623676204992,-0.03571246908804009,False,False
100,0,clustered_null,False,polynomial_ridge_interactions,0.065,-0.0022617428668716445,-0.023441667856122422,False,False
100,0,genuine_increment,True,polynomial_ridge,0.005,0.0514566847302432,0.029123100784541993,True,True
100,0,genuine_increment,True,polynomial_ridge_interactions,0.005,0.048145690972251826,0.029972259088887322,True,True
100,1,null_metric,False,polynomial_ridge,0.685,-0.0015319604598593682,-0.005617747902453773,False,False
100,1,null_metric,False,polynomial_ridge_interactions,0.775,-0.0015412612596672932,-0.0030966512539392305,False,False
100,1,nonlinear_proxy,False,polynomial_ridge,0.155,-0.0001652374906518676,-0.0009684720040074524,False,False
100,1,nonlinear_proxy,False,polynomial_ridge_interactions,0.13,-0.00010861360707029553,-0.0005856510527758723,False,False
100,1,heteroskedastic_null,False,polynomial_ridge,0.28,-0.0019107206035954769,-0.0028782560218676813,False,False
100,1,heteroskedastic_null,False,polynomial_ridge_interactions,0.18,-0.0002834477153981999,-0.0010176710909001396,False,False
100,1,clustered_null,False,polynomial_ridge,0.47,-0.003988847606318437,-0.25414232181604535,False,False
100,1,clustered_null,False,polynomial_ridge_interactions,0.405,-0.004876827236087025,-0.17020380025311205,False,False
100,1,genuine_increment,True,polynomial_ridge,0.005,0.03722064431101962,0.024660489646355407,True,True
100,1,genuine_increment,True,polynomial_ridge_interactions,0.005,0.03695342618083129,0.02181266593919158,True,True
100,2,null_metric,False,polynomial_ridge,0.495,-0.0027092974673137114,-0.003978271786034642,False,False
100,2,null_metric,False,polynomial_ridge_interactions,0.32,-0.0006040102984434491,-0.0017827414611412456,False,False
100,2,nonlinear_proxy,False,polynomial_ridge,0.84,0.0002141598430548588,-0.001220673238824347,False,False
