sample_size,scenario,expected_increment,nuisance_model,repetitions,joint_support_rate,predictive_support_rate,median_delta_mse,median_refit_ci_low
100,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.007253623676204992,-0.05848915350224237
100,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0020395304100813,-0.04737779610582598
100,genuine_increment,True,polynomial_ridge,25,0.96,1.0,0.041312598660112526,0.028611881668422906
100,genuine_increment,True,polynomial_ridge_interactions,25,0.96,1.0,0.04129408951925348,0.026362496996923494
100,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.0008826305888486909,-0.0021981366418369315
100,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0001259928713283759,-0.0010618332375825741
100,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-0.0001652374906518676,-0.0011050946932040832
100,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,2.642297416400024e-05,-0.0005856510527758723
100,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.0023704170053977063,-0.004939982224754383
100,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0004718420284193399,-0.001926094133728702
150,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.003607288052108526,-0.015103559223819214
150,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0021278604719133076,-0.012584066663674055
150,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.04378575857467265,0.03216010466366324
150,genuine_increment,True,polynomial_ridge_interactions,25,1.0,1.0,0.04339957741753271,0.030273135173243818
150,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.0005057858219744346,-0.0010889080813378845
150,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.00016236226191023752,-0.0005533437358164678
150,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-0.00010740635548506672,-0.0007166528405289487
150,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.04,0.08,-1.5844073644353737e-05,-0.0003981780897182645
150,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.0010876519594663,-0.0025165105086891676
150,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.00027053375423193374,-0.0011421464209914142
200,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.0020149655695809246,-0.008402623615056023
200,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0013302097794602383,-0.005526907741101656
200,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.043247783478169474,0.03348516862491764
200,genuine_increment,True,polynomial_ridge_interactions,25,1.0,1.0,0.042569749139386846,0.033607978127845294
200,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.0003651246716838922,-0.0008620924142758008
200,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-9.374768696813508e-05,-0.0003702834705627597
200,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-5.0851676404469956e-05,-0.0003640328475319915
200,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,1.237393892172551e-05,-0.00025892662991457393
200,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.000660221478518748,-0.0018118328799898767
200,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.00014312376315883668,-0.0007234874854665435
300,clustered_null,False,polynomial_ridge,25,0.0,0.0,-0.001987957854278726,-0.004548991702184071
300,clustered_null,False,polynomial_ridge_interactions,25,0.0,0.0,-0.0008803335009670045,-0.0027945563209764725
300,genuine_increment,True,polynomial_ridge,25,1.0,1.0,0.04191212881382205,0.03459109780146992
300,genuine_increment,True,polynomial_ridge_interactions,25,1.0,1.0,0.04196355345570821,0.033973707090985746
300,heteroskedastic_null,False,polynomial_ridge,25,0.0,0.0,-0.00020984002003453413,-0.0005037483972850118
300,heteroskedastic_null,False,polynomial_ridge_interactions,25,0.0,0.0,-4.391701204020659e-05,-0.00020468064341752748
300,nonlinear_proxy,False,polynomial_ridge,25,0.0,0.0,-8.296408896908952e-05,-0.00029902842000460874
300,nonlinear_proxy,False,polynomial_ridge_interactions,25,0.0,0.0,-1.4002473463240774e-05,-0.00018705774351121337
300,null_metric,False,polynomial_ridge,25,0.0,0.0,-0.0005185088306357728,-0.001287912687621961
300,null_metric,False,polynomial_ridge_interactions,25,0.0,0.0,-0.00012676501136511462,-0.0005387394521831461
