scope,baseline,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,single_005_support_count,single_005_support_rate,single_005_support_wilson_95_low,single_005_support_wilson_95_high,single_005_positive_support_count,single_005_positive_support_rate,single_005_positive_support_wilson_95_low,single_005_positive_support_wilson_95_high,unanimous_050_support_count,unanimous_050_support_rate,unanimous_050_support_wilson_95_low,unanimous_050_support_wilson_95_high,unanimous_050_positive_support_count,unanimous_050_positive_support_rate,unanimous_050_positive_support_wilson_95_low,unanimous_050_positive_support_wilson_95_high,unanimous_025_support_count,unanimous_025_support_rate,unanimous_025_support_wilson_95_low,unanimous_025_support_wilson_95_high,unanimous_025_positive_support_count,unanimous_025_positive_support_rate,unanimous_025_positive_support_wilson_95_low,unanimous_025_positive_support_wilson_95_high,unanimous_010_support_count,unanimous_010_support_rate,unanimous_010_support_wilson_95_low,unanimous_010_support_wilson_95_high,unanimous_010_positive_support_count,unanimous_010_positive_support_rate,unanimous_010_positive_support_wilson_95_low,unanimous_010_positive_support_wilson_95_high,two_of_three_010_support_count,two_of_three_010_support_rate,two_of_three_010_support_wilson_95_low,two_of_three_010_support_wilson_95_high,two_of_three_010_positive_support_count,two_of_three_010_positive_support_rate,two_of_three_010_positive_support_wilson_95_low,two_of_three_010_positive_support_wilson_95_high
image,B1_design,additive_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205
image,B1_design,additive_proxy_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205
image,B1_design,heteroskedastic_proxy_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938
image,B1_design,heteroskedastic_proxy_null,0.8,0.0,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,3,0.15,0.052368745896216595,0.36041886474075696,3,0.15,0.052368745896216595,0.36041886474075696,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873
image,B1_design,independent_null,0.3,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938
image,B1_design,independent_null,0.8,0.0,20,20,1.0,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938,0,0.0,0.0,0.16112515805281938
image,B1_design,interaction_increment,0.3,0.2,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873,2,0.1,0.027866481213768224,0.3010336452284873,6,0.3,0.1454772448676043,0.5189728183535235,6,0.3,0.1454772448676043,0.5189728183535235,3,0.15,0.052368745896216595,0.36041886474075696,3,0.15,0.052368745896216595,0.36041886474075696,1,0.05,0.008881448800795402,0.23613119344674205,1,0.05,0.008881448800795402,0.23613119344674205,3,0.15,0.052368745896216595,0.36041886474075696,3,0.15,0.052368745896216595,0.36041886474075696
image,B1_design,interaction_increment,0.3,0.35,20,20,1.0,9,0.45,0.2581978582556243,0.6579146575496577,9,0.45,0.2581978582556243,0.6579146575496577,14,0.7,0.4810271816464765,0.8545227551323956,14,0.7,0.4810271816464765,0.8545227551323956,9,0.45,0.2581978582556243,0.6579146575496577,9,0.45,0.2581978582556243,0.6579146575496577,6,0.3,0.1454772448676043,0.5189728183535235,6,0.3,0.1454772448676043,0.5189728183535235,11,0.55,0.34208534245034233,0.7418021417443759,11,0.55,0.34208534245034233,0.7418021417443759
image,B1_design,interaction_increment,0.3,0.5,20,20,1.0,11,0.55,0.34208534245034233,0.7418021417443759,11,0.55,0.34208534245034233,0.7418021417443759,17,0.85,0.6395811352592431,0.9476312541037835,17,0.85,0.6395811352592431,0.9476312541037835,16,0.8,0.5839825677481064,0.919342337420202,16,0.8,0.5839825677481064,0.919342337420202,14,0.7,0.4810271816464765,0.8545227551323956,14,0.7,0.4810271816464765,0.8545227551323956,15,0.75,0.531299122381256,0.8881382985923343,15,0.75,0.531299122381256,0.8881382985923343
image,B1_design,interaction_increment,0.8,0.2,20,20,1.0,7,0.35,0.18119182410108206,0.5671457233147638,7,0.35,0.18119182410108206,0.5671457233147638,9,0.45,0.2581978582556243,0.6579146575496577,9,0.45,0.2581978582556243,0.6579146575496577,8,0.4,0.21880653237281705,0.6134184992377469,8,0.4,0.21880653237281705,0.6134184992377469,7,0.35,0.18119182410108206,0.5671457233147638,7,0.35,0.18119182410108206,0.5671457233147638,8,0.4,0.21880653237281705,0.6134184992377469,8,0.4,0.21880653237281705,0.6134184992377469
