protocol_id,scope,baseline,scenario,icc,beta,repetition,wild_draws,simulation_seed,status,split_0_p,split_0_score,split_1_p,split_1_score,split_2_p,split_2_score,single_005_supported,single_005_positive_supported,unanimous_050_supported,unanimous_050_positive_supported,unanimous_025_supported,unanimous_025_positive_supported,unanimous_010_supported,unanimous_010_positive_supported,two_of_three_010_supported,two_of_three_010_positive_supported
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,1,499,1442504649562113321,estimated,0.46,-0.008577513254830275,0.3,-0.012256614559711942,0.828,-0.002412834323471702,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,2,499,2779846023214578636,estimated,0.952,-0.00047208276421027706,0.558,-0.004229359470251183,0.372,-0.007453977757823073,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,3,499,79874307613070279,estimated,0.32,0.005716512929725511,0.782,0.002496881843297466,0.454,0.004339342922274892,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,4,499,1697259538809679721,estimated,0.682,-0.0038742840384717787,0.536,-0.006217671224427949,0.51,-0.0059340032541022,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,5,499,1402072555708678471,estimated,0.528,0.004277805995746481,0.346,0.007353094780049976,0.1,0.01275546095112385,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,6,499,3782998254531560472,estimated,0.012,0.02143122310231879,0.006,0.02592885921186537,0.004,0.026226634036901758,False,False,True,True,True,True,False,False,True,True
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,7,499,17514837183854016053,estimated,0.228,0.011500055832499335,0.404,0.007599312170269386,0.504,0.0064413386857538986,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,8,499,13352423600131240465,estimated,0.868,-0.0015859115514339159,0.548,0.005215742480832671,0.52,0.005247331420008523,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,9,499,800166348230957667,estimated,0.906,-0.0016213286141476657,0.896,-0.0014309614533453178,0.96,0.0004509827196342159,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,10,499,10489989403711933080,estimated,0.856,-0.0015403929816180655,0.876,-0.0013615714729910504,0.932,-0.0005660796148050888,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,11,499,1226479117344136963,estimated,0.576,0.0028736220742373955,0.664,0.0026057184282256216,0.628,0.003280915629823257,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,12,499,6439340308655080658,estimated,0.344,0.007009679846446894,0.568,0.003991321294514363,0.598,0.0042353488419978255,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,13,499,7884168457557173600,estimated,0.3,0.008545009285560262,0.08,0.014467169725889205,0.188,0.013055354284309484,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,14,499,369036205636957285,estimated,0.482,0.005809378401881724,0.306,0.00858639219839557,0.2,0.008124959037613576,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,15,499,3801769674750777588,estimated,0.618,-0.004892816604190311,0.39,-0.00824512034093895,0.564,-0.005942753355350962,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,16,499,15198104918555934964,estimated,0.214,0.010137083545812813,0.082,0.013689156940243719,0.14,0.01215565846298007,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,17,499,5096330990325336398,estimated,0.508,0.004620254459258424,0.152,0.010142311898849251,0.732,0.0023867795042661322,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,18,499,6650482590397822050,estimated,0.824,0.0018631504850826024,0.612,-0.004065779930522252,0.682,-0.0037604823389167964,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,additive_proxy_null,0.8,0.0,19,499,7448066659274907447,estimated,0.83,-0.001437165698380046,0.668,-0.003076148148982162,0.6,-0.0040820747365033485,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,0,499,2518603703517832001,estimated,0.11,0.012126378552777877,0.15,0.010432937775714511,0.128,0.010927065832249172,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,1,499,208299675790735172,estimated,0.812,-0.0022962354983909004,0.812,0.0024228810438885937,0.896,0.0012691543639617778,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,2,499,3400621153903728059,estimated,0.154,0.013122132837644095,0.182,0.011910401771714,0.222,0.009773511886714104,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,3,499,12434533176833810003,estimated,0.118,0.015063108899678185,0.068,0.017369164588630182,0.256,0.011292249174494347,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,4,499,4292114930043430076,estimated,0.202,0.014106493669118958,0.114,0.013867140089110582,0.668,0.00402389795520653,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,5,499,16488184849130149470,estimated,0.536,0.004680560890871619,0.41,0.0064924609559261085,0.76,0.003337357348226455,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,6,499,3030117528085729262,estimated,0.798,0.0015099168118818801,0.578,0.0038918955798439765,0.558,0.003394072564736166,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,7,499,8890664386423669416,estimated,0.022,0.01881896420158758,0.012,0.01859135165212355,0.07,0.014094450771750913,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,8,499,14799109257529991960,estimated,0.176,0.009135449471307568,0.742,0.0023144927743961497,0.242,0.008150855651038607,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,9,499,16891158499196781044,estimated,0.364,0.007314911874425644,0.41,0.006987522404123647,0.272,0.009865679279593127,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,10,499,15682241732169186525,estimated,0.092,0.011943189337711275,0.168,0.009227732922170093,0.43,0.006241049583160953,False,False,False,False,False,False,False,False,False,False
mbe3-orthogonal-split-stability-development-v1,image,B1_design,heteroskedastic_proxy_null,0.3,0.0,11,499,11372193211877508781,estimated,0.974,0.00030853439657978963,0.486,0.00616921903939642,0.618,0.004447237654050658,False,False,False,False,False,False,False,False,False,False
