sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
100,0,null_metric,False,polynomial_ridge,0.525,-0.002939912611258002,-0.002895442060252107,False,False
100,0,null_metric,False,polynomial_ridge_interactions,0.555,0.00016044374332832567,-0.0009920557000295648,False,False
100,0,nonlinear_proxy,False,polynomial_ridge,0.97,-0.0004975651399794587,-0.0018202925576324006,False,False
100,0,nonlinear_proxy,False,polynomial_ridge_interactions,0.56,-0.0002738186825515642,-0.0007273610698074707,False,False
100,0,heteroskedastic_null,False,polynomial_ridge,0.505,-0.0004379923059789712,-0.0017748387135140301,False,False
100,0,heteroskedastic_null,False,polynomial_ridge_interactions,0.55,-0.00019720909587573124,-0.0011528333834830869,False,False
100,0,clustered_null,False,polynomial_ridge,0.77,-0.03496875795168562,-0.07704815647711653,False,False
100,0,clustered_null,False,polynomial_ridge_interactions,0.635,-0.0053053034152290325,-0.054353713472457,False,False
100,0,genuine_increment,True,polynomial_ridge,0.005,0.046782751475046215,0.03323226453277196,True,True
100,0,genuine_increment,True,polynomial_ridge_interactions,0.005,0.04955744506551012,0.03277811652458381,True,True
100,1,null_metric,False,polynomial_ridge,0.735,-0.0017778699884844207,-0.0038691102179545128,False,False
100,1,null_metric,False,polynomial_ridge_interactions,0.53,-9.744759923106458e-05,-0.0014947112745024656,False,False
100,1,nonlinear_proxy,False,polynomial_ridge,0.43,-0.0004303631175232433,-0.0015689415897971743,False,False
100,1,nonlinear_proxy,False,polynomial_ridge_interactions,0.315,-2.7780388530473238e-05,-0.0008798448495522448,False,False
100,1,heteroskedastic_null,False,polynomial_ridge,0.365,-0.0011894742588180515,-0.0012689786376783299,False,False
100,1,heteroskedastic_null,False,polynomial_ridge_interactions,0.925,-0.0003171647751430331,-0.0008788794767682049,False,False
100,1,clustered_null,False,polynomial_ridge,0.355,-0.008907868650061136,-0.1516167104623596,False,False
100,1,clustered_null,False,polynomial_ridge_interactions,0.36,-0.01630294358066932,-0.07270986899338873,False,False
100,1,genuine_increment,True,polynomial_ridge,0.005,0.04278180001836532,0.02525100201612533,True,True
100,1,genuine_increment,True,polynomial_ridge_interactions,0.005,0.041222542253634864,0.02718255123903336,True,True
100,2,null_metric,False,polynomial_ridge,0.245,-0.0008744379334412761,-0.0037051595325947474,False,False
100,2,null_metric,False,polynomial_ridge_interactions,0.455,-0.0002721397741752372,-0.0012673607412679378,False,False
100,2,nonlinear_proxy,False,polynomial_ridge,0.015,9.271756808981735e-06,-0.0008894605973106093,False,False
100,2,nonlinear_proxy,False,polynomial_ridge_interactions,0.02,0.0003930429880134173,-0.0003164293598647556,False,False
100,2,heteroskedastic_null,False,polynomial_ridge,0.03,-0.0031993580899357926,-0.0032527936349207825,False,False
100,2,heteroskedastic_null,False,polynomial_ridge_interactions,0.07,-0.0009199838976362024,-0.0018764211696570667,False,False
100,2,clustered_null,False,polynomial_ridge,0.58,-0.01193395388868445,-0.10596969028471982,False,False
100,2,clustered_null,False,polynomial_ridge_interactions,0.395,-0.008086624773948704,-0.0761174634599608,False,False
100,2,genuine_increment,True,polynomial_ridge,0.005,0.05830507187777868,0.04204104689647845,True,True
100,2,genuine_increment,True,polynomial_ridge_interactions,0.005,0.05528428130137787,0.04308124529329021,True,True
100,3,null_metric,False,polynomial_ridge,0.775,-0.0008874546617544839,-0.005075504687787233,False,False
100,3,null_metric,False,polynomial_ridge_interactions,0.7,-0.0009401219721638168,-0.002303533198467084,False,False
100,3,nonlinear_proxy,False,polynomial_ridge,0.255,-0.00025702869262216824,-0.0009395079273618616,False,False
100,3,nonlinear_proxy,False,polynomial_ridge_interactions,0.07,-4.903818165004174e-06,-0.0005035376105652432,False,False
100,3,heteroskedastic_null,False,polynomial_ridge,0.195,0.00016387005792681437,-0.0019086094971357168,False,False
100,3,heteroskedastic_null,False,polynomial_ridge_interactions,0.11,-0.0003113883215517064,-0.0021329823995918143,False,False
100,3,clustered_null,False,polynomial_ridge,0.04,-0.007339897838553513,-0.056896303906545403,False,False
100,3,clustered_null,False,polynomial_ridge_interactions,0.04,-0.00363823801049833,-0.029965986177735084,False,False
100,3,genuine_increment,True,polynomial_ridge,0.005,0.04720391643486726,0.030788816673972694,True,True
100,3,genuine_increment,True,polynomial_ridge_interactions,0.005,0.045877522074419905,0.028585197579431832,True,True
100,4,null_metric,False,polynomial_ridge,0.71,-0.0011397105877728915,-0.004895618768373588,False,False
100,4,null_metric,False,polynomial_ridge_interactions,0.54,-0.0005357049231919132,-0.0025405569911689197,False,False
100,4,nonlinear_proxy,False,polynomial_ridge,0.235,-0.0007845921690604538,-0.002468137766352624,False,False
100,4,nonlinear_proxy,False,polynomial_ridge_interactions,0.755,-0.00042971455123581165,-0.0009294806011531775,False,False
100,4,heteroskedastic_null,False,polynomial_ridge,0.77,-0.0005739983040540589,-0.002835927533451197,False,False
100,4,heteroskedastic_null,False,polynomial_ridge_interactions,0.6,-0.0004625365465706129,-0.0009554490720588266,False,False
100,4,clustered_null,False,polynomial_ridge,0.945,-0.011291061273626626,-0.13875335377859355,False,False
100,4,clustered_null,False,polynomial_ridge_interactions,0.805,-0.008530094259262655,-0.0639950358664514,False,False
100,4,genuine_increment,True,polynomial_ridge,0.005,0.040966918514353835,0.028146388261741248,True,True
100,4,genuine_increment,True,polynomial_ridge_interactions,0.005,0.04195175033768435,0.028851681571604372,True,True
100,5,null_metric,False,polynomial_ridge,0.86,-0.0018253537284779395,-0.005628004435972222,False,False
100,5,null_metric,False,polynomial_ridge_interactions,0.975,-0.0009830754266165198,-0.0024185314792466864,False,False
100,5,nonlinear_proxy,False,polynomial_ridge,0.24,-0.0002622712947708602,-0.0009856491179416407,False,False
100,5,nonlinear_proxy,False,polynomial_ridge_interactions,0.36,-9.191534637900851e-05,-0.0007552874981711347,False,False
100,5,heteroskedastic_null,False,polynomial_ridge,0.385,-0.0003148649637141603,-0.002051250875219567,False,False
100,5,heteroskedastic_null,False,polynomial_ridge_interactions,0.22,-3.501960434900038e-05,-0.0011110930233439217,False,False
100,5,clustered_null,False,polynomial_ridge,0.99,-0.019935323102286386,-0.0756869204897733,False,False
100,5,clustered_null,False,polynomial_ridge_interactions,0.525,-0.009513592336575165,-0.14991185249641123,False,False
100,5,genuine_increment,True,polynomial_ridge,0.005,0.0484648554021599,0.03427785371238955,True,True
100,5,genuine_increment,True,polynomial_ridge_interactions,0.005,0.05193860995881772,0.032318034271264395,True,True
100,6,null_metric,False,polynomial_ridge,0.02,-0.0005267984162130798,-0.00895304819483219,False,False
100,6,null_metric,False,polynomial_ridge_interactions,0.01,-0.0022695738786669556,-0.003939628437412783,False,False
100,6,nonlinear_proxy,False,polynomial_ridge,0.875,-0.0005976578223464962,-0.0021992324159423853,False,False
100,6,nonlinear_proxy,False,polynomial_ridge_interactions,0.85,-0.0002177329508097868,-0.0008872286389965584,False,False
100,6,heteroskedastic_null,False,polynomial_ridge,0.105,-0.0002141644048024513,-0.0028715562406184136,False,False
100,6,heteroskedastic_null,False,polynomial_ridge_interactions,0.295,-0.0005478042666742528,-0.0024998043536487366,False,False
100,6,clustered_null,False,polynomial_ridge,0.17,-0.0031951370518506373,-0.0436905291443647,False,False
100,6,clustered_null,False,polynomial_ridge_interactions,0.585,0.00010511385031553369,-0.02889975947220357,False,False
100,6,genuine_increment,True,polynomial_ridge,0.005,0.034932518939682425,0.020541654238939264,True,True
100,6,genuine_increment,True,polynomial_ridge_interactions,0.005,0.032705235104216135,0.01955996133080691,True,True
100,7,null_metric,False,polynomial_ridge,0.165,-0.0044865477672426865,-0.007893361035918084,False,False
100,7,null_metric,False,polynomial_ridge_interactions,0.19,-0.0010425043732370243,-0.002996901308760555,False,False
100,7,nonlinear_proxy,False,polynomial_ridge,0.665,-0.0002638459435796983,-0.0012597103670938129,False,False
100,7,nonlinear_proxy,False,polynomial_ridge_interactions,0.545,4.8546815648746466e-05,-0.0008240427008738111,False,False
100,7,heteroskedastic_null,False,polynomial_ridge,0.655,-0.001161980929075824,-0.0020062199785232616,False,False
100,7,heteroskedastic_null,False,polynomial_ridge_interactions,0.67,-0.0006760914112782903,-0.0009411972987482512,False,False
100,7,clustered_null,False,polynomial_ridge,0.49,-0.023697511260207915,-0.13532631812106288,False,False
100,7,clustered_null,False,polynomial_ridge_interactions,0.945,0.004595809293327265,-0.08044285227588117,False,False
100,7,genuine_increment,True,polynomial_ridge,0.005,0.03722431285835906,0.02272968880667831,True,True
100,7,genuine_increment,True,polynomial_ridge_interactions,0.005,0.03653123398343566,0.02255566270450712,True,True
100,8,null_metric,False,polynomial_ridge,0.755,-0.0023898917448689876,-0.004320050566286816,False,False
100,8,null_metric,False,polynomial_ridge_interactions,0.535,-0.00042285097875207484,-0.001857060644430504,False,False
100,8,nonlinear_proxy,False,polynomial_ridge,0.17,0.0004806065854392177,-0.001007498166608738,False,False
100,8,nonlinear_proxy,False,polynomial_ridge_interactions,0.07,0.00013837852626541903,-0.00107084257411099,False,False
100,8,heteroskedastic_null,False,polynomial_ridge,0.235,-0.0015170335804644986,-0.0016188041104522328,False,False
100,8,heteroskedastic_null,False,polynomial_ridge_interactions,0.195,-0.0004156295122042346,-0.0008800939665905671,False,False
100,8,clustered_null,False,polynomial_ridge,0.9,-0.011861565972738231,-0.09507570985285323,False,False
100,8,clustered_null,False,polynomial_ridge_interactions,0.03,0.00046125080712861033,-0.09024801708455836,False,False
100,8,genuine_increment,True,polynomial_ridge,0.005,0.04883992352343081,0.036221624119299335,True,True
100,8,genuine_increment,True,polynomial_ridge_interactions,0.005,0.046956214619300926,0.03237018200020715,True,True
100,9,null_metric,False,polynomial_ridge,0.17,-0.0010872728889997768,-0.003404188893443242,False,False
100,9,null_metric,False,polynomial_ridge_interactions,0.1,-0.0009565529328117856,-0.0012828601410217468,False,False
100,9,nonlinear_proxy,False,polynomial_ridge,0.01,0.00045317731361217,-0.0006253853828863889,False,False
100,9,nonlinear_proxy,False,polynomial_ridge_interactions,0.095,9.488597551794275e-05,-0.0001549901221660881,False,False
100,9,heteroskedastic_null,False,polynomial_ridge,0.585,-0.003054968970400848,-0.0028147625692705068,False,False
100,9,heteroskedastic_null,False,polynomial_ridge_interactions,0.57,-0.00013173139550586195,-0.0012134906959671155,False,False
100,9,clustered_null,False,polynomial_ridge,0.16,0.028396099567844238,-0.03174257502207609,False,False
100,9,clustered_null,False,polynomial_ridge_interactions,0.58,-0.021692622138876377,-0.04499238426588368,False,False
100,9,genuine_increment,True,polynomial_ridge,0.005,0.05225655727700834,0.03623269777104467,True,True
100,9,genuine_increment,True,polynomial_ridge_interactions,0.005,0.05132738992845892,0.03695316496500143,True,True
100,10,null_metric,False,polynomial_ridge,0.595,-0.0005311242149220741,-0.003975387165191493,False,False
100,10,null_metric,False,polynomial_ridge_interactions,0.47,-0.0011943467863075943,-0.0041100541212066915,False,False
100,10,nonlinear_proxy,False,polynomial_ridge,0.715,-0.0005975510961165539,-0.0014695674336618755,False,False
100,10,nonlinear_proxy,False,polynomial_ridge_interactions,0.495,-0.00026925238588877513,-0.0008232657634334974,False,False
100,10,heteroskedastic_null,False,polynomial_ridge,0.175,-0.0005794184185377964,-0.002045134907199957,False,False
100,10,heteroskedastic_null,False,polynomial_ridge_interactions,0.395,-8.520428169304928e-05,-0.0008214522240431296,False,False
100,10,clustered_null,False,polynomial_ridge,0.04,-0.014400882190423764,-0.09923001419926171,False,False
100,10,clustered_null,False,polynomial_ridge_interactions,0.075,-0.003499240683175385,-0.07612493019628487,False,False
100,10,genuine_increment,True,polynomial_ridge,0.005,0.04203806322651735,0.028280474985242453,True,True
100,10,genuine_increment,True,polynomial_ridge_interactions,0.005,0.041528842377394175,0.02747215542236819,True,True
100,11,null_metric,False,polynomial_ridge,0.91,-0.00035225359252972,-0.004551284183796073,False,False
100,11,null_metric,False,polynomial_ridge_interactions,0.345,-0.0006619701090129528,-0.0025387404240013,False,False
100,11,nonlinear_proxy,False,polynomial_ridge,0.44,-0.001232859970119459,-0.0015128948249901169,False,False
