reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,degree,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320269729,3020269729,polynomial_ridge,estimated,-0.0003853450494213243,0.26,-0.001955489225492642,0.0012287276463628111,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320269729,3020269729,polynomial_ridge_interactions,estimated,-0.001105004847891654,0.49,-0.01913358553121838,0.00064606615167171,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320369732,3021269732,polynomial_ridge,estimated,-0.0005681697213686162,0.65,-0.0009774476095798334,0.0010494129475676999,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320369732,3021269732,polynomial_ridge_interactions,estimated,-0.000366493863614795,0.97,-0.026697765382406535,0.0006237306996692614,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320469735,3022269735,polynomial_ridge,estimated,-0.00018894327900296744,0.02,-0.001949972469159111,0.0010175776060566948,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320469735,3022269735,polynomial_ridge_interactions,estimated,-0.0021983318810477274,0.56,-0.021822731309348083,0.0006310974085004274,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320569738,3023269738,polynomial_ridge,estimated,-0.00014325434325243623,0.65,-0.001438484577504602,0.001381692278206327,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320569738,3023269738,polynomial_ridge_interactions,estimated,-0.0010495098543922203,0.01,-0.02301696832494577,0.0012850199712015516,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320669741,3024269741,polynomial_ridge,estimated,-0.00022753350956357344,0.03,-0.0020531576932460833,0.0010337524194444013,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,4,320669741,3024269741,polynomial_ridge_interactions,estimated,-0.0002600536577254569,0.19,-0.0195531872397607,0.0015699553972400753,False,False
