scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,100,1,polynomial_ridge_interactions,0.41,0.3186731302113651,0.5079856994658921,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.99,0.9455138038212946,0.9982325679358593,100,0.08872180451127819,-0.0017130729078186071,-0.08005065506149119
clustered_null,conditional-null,False,200,1,polynomial_ridge_interactions,0.42,0.3279838267435473,0.5179351329695703,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.0627579737335835,-0.0008468253933291113,-0.04172262771831846
clustered_null,conditional-null,False,400,1,polynomial_ridge_interactions,0.35,0.26364248243097527,0.44745556703112027,0.11,0.06254196357064568,0.18631296503080313,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.019338959212376935,-0.00041383914169348425,-0.021634141197089625
clustered_null,conditional-null,False,800,1,polynomial_ridge_interactions,0.35,0.26364248243097527,0.44745556703112027,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.0319897873062078,-0.0001373903884492305,-0.007996569021568476
genuine_increment,increment-survives,True,100,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,0.99,0.9455138038212946,0.9982325679358593,0.99,0.9455138038212946,0.9982325679358593,1.0,0.9630065017930143,1.0,100,0.8436090225563909,0.04041416599437549,0.719400947450791
genuine_increment,increment-survives,True,200,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8310506566604129,0.04152497745801202,0.7308109772081486
genuine_increment,increment-survives,True,400,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8512423816221285,0.04006512755202464,0.741265444022736
genuine_increment,increment-survives,True,800,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8501875073245049,0.04077344485068734,0.7431143340998652
heteroskedastic_null,conditional-null,False,100,1,polynomial_ridge_interactions,0.1,0.0552291370606751,0.17436566150491345,0.04,0.01566330399154762,0.0983707143588792,0.04,0.01566330399154762,0.0983707143588792,0.01,0.0017674320641406505,0.054486196178705315,100,-0.054887218045112776,0.03463667035257609,0.3962387056002107
heteroskedastic_null,conditional-null,False,200,1,polynomial_ridge_interactions,0.18,0.1170022549894635,0.2666735838630073,0.01,0.0017674320641406505,0.054486196178705315,0.01,0.0017674320641406505,0.054486196178705315,0.0,3.469446951953614e-18,0.03699349820698568,100,-0.047560975609756105,0.03524888204067113,0.41130143871231584
heteroskedastic_null,conditional-null,False,400,1,polynomial_ridge_interactions,0.35,0.26364248243097527,0.44745556703112027,0.13,0.07757167427240512,0.20980351440076428,0.13,0.07757167427240512,0.20980351440076428,0.0,3.469446951953614e-18,0.03699349820698568,100,-0.05280121894045944,0.033784477374891445,0.400709934935918
heteroskedastic_null,conditional-null,False,800,1,polynomial_ridge_interactions,0.57,0.47215389549212305,0.6626670147588988,0.18,0.1170022549894635,0.2666735838630073,0.18,0.1170022549894635,0.2666735838630073,0.0,3.469446951953614e-18,0.03699349820698568,100,-0.07825647486229931,0.03422950790575555,0.40851446813806724
linear_proxy,proxy-washout,False,100,1,polynomial_ridge_interactions,0.07,0.03431926106727268,0.137495147390735,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,0.41,0.3186731302113651,0.5079856994658921,100,0.03909774436090225,-0.0003440835200499027,-0.020762391966800388
linear_proxy,proxy-washout,False,200,1,polynomial_ridge_interactions,0.1,0.0552291370606751,0.17436566150491345,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.66,0.5627772885472462,0.7453847920265184,100,0.001782363977485929,-0.00011933425640238849,-0.00799675908543537
linear_proxy,proxy-washout,False,400,1,polynomial_ridge_interactions,0.09,0.04807254000256516,0.1622621285271631,0.02,0.00550196755016235,0.07001179072854388,0.0,3.469446951953614e-18,0.03699349820698568,0.8,0.7111708344068411,0.8666330666689676,100,0.02037037037037037,-7.733655720137782e-05,-0.004541171084542467
linear_proxy,proxy-washout,False,800,1,polynomial_ridge_interactions,0.09,0.04807254000256516,0.1622621285271631,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,0.97,0.9154806357094724,0.9897454759759611,100,0.008626801828196414,-3.3528294171933024e-05,-0.0022802527053488097
nonlinear_proxy,nonlinear-proxy-washout,False,100,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.0,3.469446951953614e-18,0.03699349820698568,100,0.9368421052631578,0.077822079387422,0.8983768050846501
nonlinear_proxy,nonlinear-proxy-washout,False,200,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.0,3.469446951953614e-18,0.03699349820698568,100,0.9381801125703566,0.07616860717552254,0.8999153507164053
nonlinear_proxy,nonlinear-proxy-washout,False,400,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.0,3.469446951953614e-18,0.03699349820698568,100,0.9468471636193156,0.07607203988055347,0.9022584125871604
nonlinear_proxy,nonlinear-proxy-washout,False,800,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.0,3.469446951953614e-18,0.03699349820698568,100,0.9462278799953123,0.0755861950599703,0.9026912164656323
null_metric,no-increment,False,100,1,polynomial_ridge_interactions,0.08,0.041093461484380624,0.14998107700948735,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,0.32,0.23669147324999093,0.41662618610452384,100,0.030827067669172925,-0.0004222059439874942,-0.020201252185755275
null_metric,no-increment,False,200,1,polynomial_ridge_interactions,0.05,0.02154367915436796,0.11175046923191913,0.04,0.01566330399154762,0.0983707143588792,0.0,3.469446951953614e-18,0.03699349820698568,0.68,0.5833738138954762,0.7633085267500092,100,-0.009849906191369608,-0.0002280675165726425,-0.011536978259765563
null_metric,no-increment,False,400,1,polynomial_ridge_interactions,0.06,0.027786123963188192,0.1247681544589592,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.76,0.6676766365018553,0.8330867444305122,100,0.006751054852320675,-0.00013568272653167492,-0.006613820428754892
null_metric,no-increment,False,800,1,polynomial_ridge_interactions,0.02,0.00550196755016235,0.07001179072854388,0.02,0.00550196755016235,0.07001179072854388,0.0,3.469446951953614e-18,0.03699349820698568,0.96,0.9016292856411208,0.9843366960084523,100,0.0038907769834759165,-5.811179141338059e-05,-0.0027911728355498643
post_treatment_control,estimand-warning,False,100,1,polynomial_ridge_interactions,0.06,0.027786123963188192,0.1247681544589592,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,0.53,0.4328885697009936,0.6248918204065872,100,0.047368421052631574,-0.0004301586946450914,-0.03580222207404825
post_treatment_control,estimand-warning,False,200,1,polynomial_ridge_interactions,0.09,0.04807254000256516,0.1622621285271631,0.04,0.01566330399154762,0.0983707143588792,0.0,3.469446951953614e-18,0.03699349820698568,0.63,0.5322052958094291,0.7181763946567546,100,0.0226078799249531,-0.00020081966671928533,-0.018648950483579008
post_treatment_control,estimand-warning,False,400,1,polynomial_ridge_interactions,0.08,0.041093461484380624,0.14998107700948735,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,0.86,0.7786281178903616,0.9147365634006086,100,0.02728551336146273,-0.00010368117196138393,-0.009508282751388483
post_treatment_control,estimand-warning,False,800,1,polynomial_ridge_interactions,0.08,0.041093461484380624,0.14998107700948735,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.92,0.8500189229905127,0.9589065385156194,100,-0.01075090823860307,-4.199766105807395e-05,-0.003988988814968626
simpson_increment,increment-after-environment-control,True,100,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,0.98,0.929988209271456,0.9944980324498376,0.98,0.929988209271456,0.9944980324498376,1.0,0.9630065017930143,1.0,100,0.7593984962406015,0.015438789649535914,0.6121102051210978
simpson_increment,increment-after-environment-control,True,200,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.7995309568480301,0.016099167794590287,0.6493428496122735
simpson_increment,increment-after-environment-control,True,400,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.7928152836380684,0.016061264374933368,0.6488090817646766
simpson_increment,increment-after-environment-control,True,800,1,polynomial_ridge_interactions,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8062976092816125,0.016069959039070835,0.6592727947088459
