shard,sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
inference_shard_00,100,5,nonlinear_proxy,False,polynomial_ridge,0.515,-0.0001314907125382,-0.0007175898113068,False,False
inference_shard_00,100,5,nonlinear_proxy,False,polynomial_ridge_interactions,0.175,0.0002026137966122,-0.0001894197928517,False,False
inference_shard_00,100,5,heteroskedastic_null,False,polynomial_ridge,0.84,-0.0013107829417432,-0.0027394030977693,False,False
inference_shard_00,100,5,heteroskedastic_null,False,polynomial_ridge_interactions,0.8,-0.0004683671093454,-0.0018300078743762,False,False
inference_shard_00,100,5,clustered_null,False,polynomial_ridge,0.12,-0.0035223507728283,-0.0179912070577504,False,False
inference_shard_00,100,5,clustered_null,False,polynomial_ridge_interactions,0.065,0.001634143672772,-0.0156638233250555,False,False
inference_shard_00,100,5,genuine_increment,True,polynomial_ridge,0.005,0.0485685948284455,0.0299584187993754,True,True
inference_shard_00,100,5,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0477875503105333,0.0324840021515118,True,True
inference_shard_00,100,6,null_metric,False,polynomial_ridge,0.205,-0.0036669351631154,-0.0055496633529995,False,False
inference_shard_00,100,6,null_metric,False,polynomial_ridge_interactions,0.58,-0.0003248436473614,-0.0019651653942903,False,False
inference_shard_00,100,6,nonlinear_proxy,False,polynomial_ridge,0.66,0.0002388757421761,-0.0023700358514813,False,False
inference_shard_00,100,6,nonlinear_proxy,False,polynomial_ridge_interactions,0.78,-7.988929896785013e-05,-0.0006235578376473,False,False
inference_shard_00,100,6,heteroskedastic_null,False,polynomial_ridge,0.74,-0.002130638093551,-0.0027635367926845,False,False
inference_shard_00,100,6,heteroskedastic_null,False,polynomial_ridge_interactions,0.89,-0.0003635837788448,-0.0008069213562002,False,False
inference_shard_00,100,6,clustered_null,False,polynomial_ridge,0.14,-0.0077968746387791,-0.0970474924041863,False,False
inference_shard_00,100,6,clustered_null,False,polynomial_ridge_interactions,0.15,-0.0034139894268383,-0.1894300338508434,False,False
inference_shard_00,100,6,genuine_increment,True,polynomial_ridge,0.005,0.0414514271736435,0.0262652651358203,True,True
inference_shard_00,100,6,genuine_increment,True,polynomial_ridge_interactions,0.005,0.0379796029812499,0.0244301294483941,True,True
