structure,repetitions,rejections,rejection_rate,wilson_95_low,wilson_95_high
clustered,2000,139,0.0695,0.0591601649584839,0.08149047329555778
heteroskedastic,2000,106,0.053,0.04401030668319261,0.06370359645166596
homoskedastic,2000,141,0.0705,0.06008479764983322,0.08256200636900739
unequal_blocks,2000,145,0.0725,0.06193598889997984,0.08470314664845871
