shard,repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
factorial_shard_00,0,20260729,independent_null,False,False,27,-0.1813186813186813,-0.1111111111111111,-0.0556347944398094,-0.037037037037037,-0.1851851851851852,0.0089239401617778,none,-0.2698412698412698,0.16,0.0016069569654493,9.114086565417692e-05,predictive-improvement-only,-0.7851037851037852,0.001,0.0010266104891588,-7.67534929839738e-05,residual-dependence-only
factorial_shard_00,0,20261738,design_proxy,False,False,27,0.9786324786324788,0.8974358974358976,0.5639261675836252,0.7037037037037037,0.4814814814814815,0.4118428622963863,"hp_a,hp_c",0.8437118437118436,0.001,0.003559681865357,0.0012997130924382,increment-supported,0.6355311355311355,0.001,-0.0003497004254302,-0.0014028550904226,residual-dependence-only
factorial_shard_00,0,20262747,interaction_proxy,False,False,27,0.7338217338217338,0.5156695156695158,0.3817471078028022,0.2592592592592592,-0.4814814814814814,0.2013775016755563,none,0.8266178266178266,0.001,0.0048429225119053,0.0013704912224978,increment-supported,0.4352869352869352,0.026,-0.0009116377941867,-0.0023432739356858,residual-dependence-only
factorial_shard_00,0,20263756,genuine_increment,True,True,27,0.7753357753357752,0.5726495726495727,0.8551928106911686,0.6049382716049383,0.5555555555555556,0.2515507052167091,none,0.8412698412698412,0.001,0.028097565317418,0.0096931970013849,increment-supported,0.9682539682539684,0.001,0.0533646087837527,0.0327512604048867,increment-supported
factorial_shard_00,0,20264765,axis_specialist_proxy,False,False,27,0.8046398046398046,0.5726495726495727,-0.0895171397714436,0.2098765432098765,-0.1851851851851852,0.0141590220259126,hp_a,-0.1282051282051282,0.502,7.088554130340631e-05,-0.0009391257864515,no-supported-increment,0.0677655677655677,0.721,-0.0005208663728644,-0.0015259291040447,no-supported-increment
factorial_shard_00,0,20265774,sign_flip_increment,False,True,27,-0.3791208791208791,-0.2706552706552707,-0.3534491058978694,-0.2098765432098765,-0.3333333333333333,0.0535066192459463,none,-0.2295482295482295,0.251,-0.0066609371397424,-0.0304270860645291,no-supported-increment,-0.2478632478632478,0.21,0.0432286571592685,0.0139309397500295,predictive-improvement-only
factorial_shard_00,1,20270736,independent_null,False,False,27,-0.3785103785103784,-0.2421652421652422,0.0263678769997275,-0.0123456790123456,-0.5555555555555556,0.0427261891627561,none,0.119047619047619,0.55,-0.00041458990304,-0.0012947682988283,no-supported-increment,0.2979242979242979,0.121,-0.0017470449409556,-0.0027293085487739,no-supported-increment
factorial_shard_00,1,20271745,design_proxy,False,False,27,0.978021978021978,0.891737891737892,0.6614266126763503,0.7530864197530863,0.4814814814814814,0.3512914292841629,"hp_a,hp_c",0.8797313797313797,0.001,0.003735935371509,0.0007351456638885,increment-supported,0.5836385836385837,0.002,0.0003685658166205,-0.0011827212462883,residual-dependence-only
factorial_shard_00,1,20272754,interaction_proxy,False,False,27,0.6837606837606838,0.4928774928774929,0.4200579119153498,0.5308641975308642,0.3333333333333333,0.1831260610596027,none,0.8229548229548229,0.001,0.0054288015997004,0.0023283915322217,increment-supported,0.3724053724053724,0.05,0.0003046195171321,-0.0009472540113375,residual-dependence-only
factorial_shard_00,1,20273763,genuine_increment,True,True,27,0.5042735042735043,0.3504273504273504,0.7833701165182594,0.5802469135802469,0.3333333333333333,0.0406314563340806,hp_b,0.6971916971916973,0.001,0.0174352477594121,0.004379867588614,increment-supported,0.8522588522588521,0.001,0.0319305716167721,0.006560365456635,increment-supported
factorial_shard_00,1,20274772,axis_specialist_proxy,False,False,27,0.7936507936507936,0.5669515669515671,-0.0576401513595786,0.2098765432098765,-0.4074074074074074,0.0570227979816999,hp_a,-0.1373626373626373,0.488,-0.0005247352506522,-0.0016109496031608,no-supported-increment,-0.1037851037851037,0.597,-0.0005867376296264,-0.0011057631982245,no-supported-increment
factorial_shard_00,1,20275781,sign_flip_increment,False,True,27,0.1001221001221001,0.0484330484330484,0.0930024483879498,-0.0617283950617283,-0.1851851851851851,0.0016927704579951,none,0.0647130647130647,0.729,-0.0027754109884952,-0.0086026190590192,no-supported-increment,-0.0201465201465201,0.909,0.0109695755483338,0.0051151336830994,predictive-improvement-only
factorial_shard_00,2,20280743,independent_null,False,False,27,0.1636141636141636,0.1168091168091168,-0.0232608747270506,0.0864197530864197,0.037037037037037,0.0098648374278826,none,-0.1477411477411477,0.427,4.830779842523482e-05,-0.0013393359441213,no-supported-increment,0.376068376068376,0.07,-0.0007234068035042,-0.0015009176149112,no-supported-increment
factorial_shard_00,2,20281752,design_proxy,False,False,27,0.9694749694749696,0.8575498575498577,0.5507842102712251,0.654320987654321,0.4074074074074074,0.2469669103014432,"hp_a,hp_c",0.8205128205128205,0.001,0.0019444625341266,8.228697185403146e-05,increment-supported,0.5177045177045178,0.007,-0.0003995642581459,-0.0010514621866786,residual-dependence-only
factorial_shard_00,2,20282761,interaction_proxy,False,False,27,0.721001221001221,0.5783475783475784,0.4341669199138057,0.5308641975308642,0.111111111111111,0.2214184308085318,"hp_a,hp_c",0.7167277167277167,0.001,0.0034192537084134,0.0006148143499489,increment-supported,0.0598290598290598,0.767,-0.0006369714100075,-0.001309500974491,no-supported-increment
factorial_shard_00,2,20283770,genuine_increment,True,True,27,0.7332112332112332,0.5327635327635328,0.8713355600479537,0.6543209876543209,0.4814814814814814,0.2113194513009132,hp_c,0.942002442002442,0.001,0.0539355837998487,0.0320839354573036,increment-supported,0.9688644688644688,0.001,0.0840251387930021,0.0470172282027647,increment-supported
factorial_shard_00,2,20284779,axis_specialist_proxy,False,False,27,0.8571428571428571,0.6980056980056981,0.0300444655050083,0.4320987654320987,-0.1111111111111111,0.0458500060178388,hp_a,-0.2094017094017094,0.282,-0.0003961255250884,-0.0018291489406681,no-supported-increment,-0.3192918192918192,0.115,-3.95468265324047e-05,-0.000909788855729,no-supported-increment
factorial_shard_00,2,20285788,sign_flip_increment,False,True,27,0.3052503052503053,0.2136752136752137,-0.0975248251874924,0.037037037037037,-0.1851851851851851,0.0224736862845386,hp_a,-0.2142857142857142,0.257,-0.0368557429091494,-0.0846817180903192,no-supported-increment,-0.0561660561660561,0.771,0.0079734798408054,-0.0006216777186034,no-supported-increment
factorial_shard_00,3,20290750,independent_null,False,False,27,-0.0091575091575091,0.0028490028490028,0.0496945724484073,0.1851851851851852,-0.037037037037037,5.85505390620652e-06,none,0.097069597069597,0.645,-0.0012654663938454,-0.0019371801017888,no-supported-increment,0.3766788766788767,0.058,-0.0007049319913949,-0.0023695377611564,no-supported-increment
factorial_shard_00,3,20291759,design_proxy,False,False,27,0.989010989010989,0.9259259259259262,0.6620672815587316,0.8271604938271606,0.6296296296296297,0.599676132580023,hp_a,0.8565323565323565,0.001,0.0071396239004189,0.0023336332457398,increment-supported,0.3571428571428571,0.052,0.0003789418162381,-0.0008105245073077,no-supported-increment
factorial_shard_00,3,20292768,interaction_proxy,False,False,27,0.6947496947496948,0.5327635327635328,0.4066439095535806,0.5061728395061729,0.1111111111111111,0.0959974851532969,"hp_a,hp_c",0.8137973137973138,0.001,0.0041025624902294,0.0010440912668656,increment-supported,0.4401709401709401,0.022,-2.965442507788917e-05,-0.0007779156234037,residual-dependence-only
factorial_shard_00,3,20293777,genuine_increment,True,True,27,0.4615384615384615,0.321937321937322,0.7564365845800293,0.5061728395061729,0.1111111111111111,0.0596895143777591,hp_b,0.9053724053724052,0.001,0.0697195000215191,0.0399157194482348,increment-supported,0.887057387057387,0.001,0.0783061307874019,0.0405884567384913,increment-supported
factorial_shard_00,3,20294786,axis_specialist_proxy,False,False,27,0.8284493284493284,0.6353276353276355,-0.070296737059738,0.4074074074074074,0.037037037037037,0.015723913384574,hp_a,-0.1153846153846153,0.58,-0.0006636743152299,-0.0016827245820597,no-supported-increment,0.1825396825396825,0.359,0.0002981660514401,-0.000393746150924,no-supported-increment
factorial_shard_00,3,20295795,sign_flip_increment,False,True,27,-0.0225885225885225,-0.0256410256410256,-0.3437724610642476,-0.1604938271604938,-0.3333333333333333,0.0004743107063508,none,-0.0512820512820512,0.797,-0.0434682188765652,-0.0775689341939169,no-supported-increment,-0.0555555555555555,0.8,0.0362112588056935,0.0163296111942885,predictive-improvement-only
factorial_shard_00,4,20300757,independent_null,False,False,27,-0.0543345543345543,-0.0427350427350427,-0.0776172594974831,-0.0617283950617283,-0.1111111111111111,0.0013177866265262,none,0.108058608058608,0.597,-0.000545964913054,-0.0016800154043816,no-supported-increment,-0.0604395604395604,0.745,-0.0008951892062558,-0.0016688739530854,no-supported-increment
factorial_shard_00,4,20301766,design_proxy,False,False,27,0.9810744810744813,0.9088319088319088,0.6673639701203149,0.8271604938271605,0.7037037037037037,0.4491936252244843,"hp_a,hp_c",0.868131868131868,0.001,0.0057492399721635,0.0017999743907264,increment-supported,0.6568986568986569,0.001,0.0001500671013707,-0.0021279407425713,residual-dependence-only
factorial_shard_00,4,20302775,interaction_proxy,False,False,27,0.8394383394383393,0.6638176638176639,0.3756768226477262,0.5308641975308642,-0.037037037037037,0.1516527867903788,"hp_a,hp_c",0.771062271062271,0.001,0.0055728746812208,0.0010922284539513,increment-supported,0.3272283272283272,0.087,0.0001496665744918,-0.001393786368793,no-supported-increment
factorial_shard_00,4,20303784,genuine_increment,True,True,27,0.4511599511599511,0.3333333333333333,0.6522166390343909,0.4320987654320987,0.1851851851851851,0.0817041659455104,none,0.7338217338217338,0.001,0.0149979088577261,-0.0020933436874993,residual-dependence-only,0.8717948717948717,0.001,0.019017689280404,0.0049616088675797,increment-supported
