shard,structure,repetition,independence_units,residual_r,residual_p,rejected_05
inference_shard_00,homoskedastic,80,200,-0.0170374323248464,0.815,False
inference_shard_00,homoskedastic,81,200,-0.0224248274393065,0.772,False
inference_shard_00,homoskedastic,82,200,0.0455021716809335,0.505,False
inference_shard_00,homoskedastic,83,200,-0.0562214055351383,0.403,False
inference_shard_00,homoskedastic,84,200,-0.0160159003975099,0.797,False
inference_shard_00,homoskedastic,85,200,0.0445961316268431,0.556,False
inference_shard_00,homoskedastic,86,200,-0.0667464687215695,0.359,False
inference_shard_00,homoskedastic,87,200,-0.0076914480547895,0.918,False
inference_shard_00,homoskedastic,88,200,-0.0106802790222902,0.861,False
inference_shard_00,homoskedastic,89,200,0.0900937523438086,0.229,False
inference_shard_00,homoskedastic,90,200,-0.04518339652869,0.508,False
inference_shard_00,homoskedastic,91,200,0.0067486737783516,0.925,False
inference_shard_00,homoskedastic,92,200,-0.0607020175504387,0.406,False
inference_shard_00,homoskedastic,93,200,0.0980694517362934,0.181,False
inference_shard_00,homoskedastic,94,200,-0.010591772738148,0.878,False
inference_shard_00,homoskedastic,95,200,0.0598529963249081,0.412,False
inference_shard_00,homoskedastic,96,200,-0.2146958673966849,0.004,True
inference_shard_00,homoskedastic,97,200,0.0539773494337358,0.457,False
inference_shard_00,homoskedastic,98,200,-0.0011220280507012,0.986,False
inference_shard_00,homoskedastic,99,200,0.0505512637815945,0.502,False
inference_shard_00,homoskedastic,100,200,-0.0089192263253686,0.902,False
inference_shard_00,homoskedastic,101,200,-0.0141858652860351,0.851,False
inference_shard_00,homoskedastic,102,200,0.0312472811820295,0.673,False
inference_shard_00,homoskedastic,103,200,-0.1251459255778703,0.087,False
inference_shard_00,homoskedastic,104,200,-0.0064584138822527,0.927,False
inference_shard_00,homoskedastic,105,200,-0.004488112202805,0.951,False
inference_shard_00,homoskedastic,106,200,-0.0287962199054976,0.702,False
inference_shard_00,homoskedastic,107,200,0.0213620420618188,0.78,False
inference_shard_00,homoskedastic,108,200,0.1475331883297082,0.042,True
inference_shard_00,homoskedastic,109,200,0.0432550975981046,0.566,False
inference_shard_00,homoskedastic,110,200,-0.0325733143328583,0.645,False
inference_shard_00,homoskedastic,111,200,-0.0385269631740793,0.582,False
inference_shard_00,homoskedastic,112,200,0.0193572411899965,0.81,False
inference_shard_00,homoskedastic,113,200,0.0634620865521638,0.375,False
inference_shard_00,homoskedastic,114,200,0.0674746868671716,0.331,False
inference_shard_00,homoskedastic,115,200,-0.0683455098968798,0.372,False
inference_shard_00,homoskedastic,116,200,0.0398739968499212,0.591,False
inference_shard_00,homoskedastic,117,200,0.0213598000148503,0.757,False
inference_shard_00,homoskedastic,118,200,0.0359341618293589,0.62,False
inference_shard_00,homoskedastic,119,200,-0.1129933248331208,0.116,False
inference_shard_00,homoskedastic,120,200,0.1341454039396344,0.067,False
inference_shard_00,homoskedastic,121,200,-0.0252583909316716,0.714,False
inference_shard_00,homoskedastic,122,200,-0.0106097652441311,0.885,False
inference_shard_00,homoskedastic,123,200,-0.0116297907447686,0.876,False
inference_shard_00,homoskedastic,124,200,0.0002265056626415,0.998,False
inference_shard_00,homoskedastic,125,200,-0.0092799854796322,0.914,False
