baseline,metric,nuisance_model,status,target,controls,group_col,permutation_block_col,n,independence_units,n_splits,polynomial_degree,run_residual_r,residual_r,residual_p,residual_ci_low,residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification,refit_bootstrap_draws,refit_bootstrap_successful,refit_residual_ci_low,refit_residual_ci_high,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_predictive_classification,refit_increment_classification
B1_design,feature_erank,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.09936519041904654,0.018018018018018018,0.916,,,0.001956618602448261,0.0015121986761369155,0.00044441992631134527,,,0.22713671727093637,no-supported-increment,199,199,-0.6629831225310824,0.7512555670346034,-0.0011047978428661,0.0028004422506862376,no-supported-increment,no-supported-increment
B1_design,feature_erank,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.22710560715262185,-0.1770913770913771,0.294,,,0.0020181862621843193,0.0015915033662130046,0.0004266828959713148,,,0.21141898741769663,no-supported-increment,199,199,-0.5890670870185675,0.7543482474592202,-0.006131448601545379,0.0019452765891129502,no-supported-increment,no-supported-increment
B1_design,parameter_l2,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.13312511615804293,-0.2056628056628057,0.235,,,0.001956618602448261,0.002189431925234451,-0.00023281332278619025,,,-0.11898758526310524,no-supported-increment,199,199,-0.438986085137544,0.33745756128180726,-0.0027834532598859933,0.000720711049988953,no-supported-increment,no-supported-increment
B1_design,parameter_l2,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.1287156863872245,-0.13745173745173747,0.42,,,0.0020181862621843193,0.0028555816127248095,-0.0008373953505404902,,,-0.41492471048443375,no-supported-increment,199,199,-0.6245041808889773,0.5181844012300858,-0.004459398095205216,0.0009546665248487903,no-supported-increment,no-supported-increment
B1_design,distance_from_initialization_l2,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.1969707734608044,-0.29729729729729737,0.086,,,0.001956618602448261,0.0015483834501349052,0.00040823515231335557,,,0.2086431928034123,no-supported-increment,199,199,-0.6731352682550032,0.49506408573491917,-0.001420728085298838,0.0017980677750807177,no-supported-increment,no-supported-increment
B1_design,distance_from_initialization_l2,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.295449109559317,-0.406949806949807,0.009,,,0.0020181862621843193,0.0018615216213740736,0.00015666464081024573,,,0.07762645289274973,residual-dependence-only,199,199,-0.7924298078789132,0.6069531615354756,-0.005032753056846805,0.0017721264463248527,no-supported-increment,residual-dependence-only
B1_design,relative_distance_from_initialization,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.024356112515828445,-0.05740025740025741,0.736,,,0.001956618602448261,0.0014179196446856763,0.0005386989577625845,,,0.27532139226752006,no-supported-increment,199,199,-0.40999475580475,0.7779693701350344,-0.00028196934694122973,0.0025388227519658117,no-supported-increment,no-supported-increment
B1_design,relative_distance_from_initialization,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.19444070122084758,-0.22805662805662807,0.151,,,0.0020181862621843193,0.001867453312550954,0.00015073294963336543,,,0.07468733310582762,no-supported-increment,199,199,-0.5135980336804756,0.7962929591968076,-0.006345517094098891,0.0018328949715228405,no-supported-increment,no-supported-increment
B1_design,update_to_weight_ratio,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.05708555643688182,0.146975546975547,0.372,,,0.001956618602448261,0.0020234907340509903,-6.687213160272952e-05,,,-0.03417739743404991,no-supported-increment,199,199,-0.44096620407795156,0.7711617722823283,-0.0009422916842018936,0.00234667167659206,no-supported-increment,no-supported-increment
B1_design,update_to_weight_ratio,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.13879121996918514,-0.08648648648648649,0.629,,,0.0020181862621843193,0.002138577715273811,-0.00012039145308949178,,,-0.05965329134645379,no-supported-increment,199,199,-0.5457389289392379,0.7739720609875871,-0.004582171942997753,0.001891828750378912,no-supported-increment,no-supported-increment
B1_design,sharpness_random_perturbation,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.10452555330605637,-0.21673101673101675,0.216,,,0.001956618602448261,0.0018587454349955391,9.787316745272167e-05,,,0.05002158690010193,no-supported-increment,199,199,-0.7567804968451536,0.4132520296662962,-0.0004989007036135439,0.0007775248132995535,no-supported-increment,no-supported-increment
