run_uuid,run_id,config_id,seed_id,split_id,environment_id,model_size,dim,depth,heads,learning_rate,weight_decay,dropout,seed,steps,batch_size,sequence_length,final_train_batch_loss,val_loss,val_perplexity,val_token_accuracy,test_loss,test_perplexity,test_token_accuracy,metric_batch_loss,metric_batch_accuracy,prediction_confidence,prediction_entropy,prediction_margin,gradient_norm,empirical_fisher_trace,fim_erank,fim_norm,feature_erank,parameter_l2,distance_from_initialization_l2,relative_distance_from_initialization,update_to_weight_ratio,sharpness_random_perturbation,random_metric,metric_batch_loss_metric_batch_std,metric_batch_accuracy_metric_batch_std,prediction_confidence_metric_batch_std,prediction_entropy_metric_batch_std,prediction_margin_metric_batch_std,gradient_norm_metric_batch_std,empirical_fisher_trace_metric_batch_std,fim_erank_metric_batch_std,fim_norm_metric_batch_std,feature_erank_metric_batch_std,parameter_l2_metric_batch_std,distance_from_initialization_l2_metric_batch_std,relative_distance_from_initialization_metric_batch_std,update_to_weight_ratio_metric_batch_std,sharpness_random_perturbation_metric_batch_std,elapsed_s,error
7a1370aa-045b-493f-b62e-953000364775,2a0d5822cbb8-s8201,2a0d5822cbb8,8201,official-wikitext2-train-valid-test,wikitext2,small,64,2,4,0.0002,0.0,0.0,8201,2000,48,64,7.1053619384765625,6.9405734777450565,1033.362655553947,0.1200927734375,6.855443692207336,949.0331146016808,0.12196044921875,7.063078761100769,0.11979166666666667,0.10320249696572621,6.846592426300049,0.04798952117562294,0.7928372820218405,5.913183212280273,7.209988276163737,0.9012485345204672,1.0084433952967327,1451.3138427734375,124.28131103515625,0.08510240167379379,0.08563365787267685,-0.0009443362553914388,-0.9581355452537537,0.09588451630626638,0.008807128423482215,0.002372971116960906,0.01836006849551428,0.001540479421096086,0.1447587258409248,0.6484287233004258,0.25870448436486104,0.03233806054560763,0.0015644831020591075,0.0,0.0,0.0,0.0,0.003021409895143558,44.87252616882324,
0c775329-4bfa-4b6b-ab76-f3c9fe5c71b1,2a0d5822cbb8-s8202,2a0d5822cbb8,8202,official-wikitext2-train-valid-test,wikitext2,small,64,2,4,0.0002,0.0,0.0,8202,2000,48,64,7.128489017486572,6.94485319852829,1037.7946362427895,0.1162353515625,6.867784106731415,960.8171369486148,0.11611328125,7.048405706882477,0.126953125,0.09698011726140976,6.906434059143066,0.04267487426598867,0.7358420292536417,5.328761259714763,7.072767893473308,0.8840959866841634,1.0080562829971313,1452.0443115234375,126.29350280761719,0.08642864227294922,0.08697634190320969,-0.00015741586685180664,-0.22163237631320953,0.11912819787444126,0.008950343154210625,0.004077580606597864,0.030869442935812536,0.003862781679748974,0.07736643236981314,0.7626925629705957,0.42900750737376175,0.05362593842172022,0.0031647691597182044,0.0,0.0,0.0,0.0,0.005332468222947365,42.70289444923401,
f09c13e5-4a8f-47e2-b596-a2f553b79c13,dddea4994e4d-s8201,dddea4994e4d,8201,official-wikitext2-train-valid-test,wikitext2,medium,96,3,4,0.0002,0.0,0.0,8201,2000,48,64,6.97865104675293,6.804542672634125,901.9351959475243,0.13369140625,6.718223679065704,827.3465724018275,0.1373046875,6.967480838298798,0.13151041666666666,0.11445525288581848,6.671205043792725,0.054200095434983574,1.0700737635294597,10.071502367655436,7.351499239603679,0.9189374049504598,1.0086865027745564,1781.622802734375,132.06138610839844,0.07383181899785995,0.07412420958280563,0.0011462966601053874,-0.4724855422973633,0.09962774245416273,0.018460217290049253,0.002231399592667956,0.011663963747718472,0.0004773198404175099,0.0988342318685971,0.8739850300007297,0.3147674320765974,0.039345929009574676,0.0020738371446898346,0.0,0.0,0.0,0.0,0.00428358646753615,51.554776191711426,
048e9ffb-9e4b-4bc6-9863-9ba6efbe3dfa,dddea4994e4d-s8202,dddea4994e4d,8202,official-wikitext2-train-valid-test,wikitext2,medium,96,3,4,0.0002,0.0,0.0,8202,2000,48,64,7.015842437744141,6.846311318874359,940.4056444937609,0.13133544921875,6.7530455708503725,856.6638239337456,0.1335693359375,6.919435401757558,0.13541666666666666,0.1067076027393341,6.72987699508667,0.04774111012617747,1.0660862525304158,9.559680938720703,7.269445419311523,0.9086806774139404,1.0084981123606365,1782.26123046875,130.1590118408203,0.07274454832077026,0.0730302631855011,0.0052090684572855634,-0.4843372702598572,0.05539951955303287,0.018563251861176112,0.006676285145832385,0.048762503742133936,0.005440749226874926,0.0555610182313258,1.3684043129154555,0.38954257714712337,0.04869282214339042,0.004882426920625599,0.0,0.0,0.0,0.0,0.001282188387659305,51.58244180679321,
aa94b19d-b5e1-4008-bd9d-e5ab69c3d510,872ad8160bbe-s8201,872ad8160bbe,8201,official-ptb-train-valid-test,ptb,small,64,2,4,0.0002,0.0,0.0,8201,2000,48,64,6.532491683959961,6.4893001317977905,658.0626448927518,0.1110107421875,6.440072929859161,626.4524852370723,0.10787353515625,6.454238712787628,0.107421875,0.10164921979109447,6.340259552001953,0.05151432131727537,0.8918423652648926,5.666782061258952,7.3139998118082685,0.9142499764760336,1.0077087879180908,795.3543090820312,82.18841552734375,0.10255511850118637,0.10333560407161713,0.0005417068799336752,-0.5915217995643616,0.248149519393486,0.037109375,0.007124005766665665,0.05417587233644937,0.005601293279000139,0.026198218151103125,0.9875312820247696,0.18531244559302076,0.023164055699127595,0.003731121289121411,0.0,0.0,0.0,0.0,0.003142983564627065,20.26796269416809,
c0515927-9227-42c1-89bf-f3f3a28fb7e0,872ad8160bbe-s8202,872ad8160bbe,8202,official-ptb-train-valid-test,ptb,small,64,2,4,0.0002,0.0,0.0,8202,2000,48,64,6.603879928588867,6.485492956638336,655.5620482628626,0.10894775390625,6.467212653160095,643.6870450895165,0.10743408203125,6.595449864864349,0.09375,0.10027559598286946,6.314274628957112,0.049264329175154366,0.9249894221623739,5.82218074798584,7.148572127024333,0.8935715158780416,1.005367676417033,795.970458984375,80.33841705322266,0.10019257664680481,0.10093140602111816,0.0052266716957092285,-1.7466026544570923,0.2561091680639403,0.010874539771152386,0.011237838972960792,0.08392251763473876,0.00911501571444239,0.040515826269301045,0.635836011617859,0.37079467608193495,0.04634933451024187,0.003537212446508807,0.0,0.0,0.0,0.0,0.0022997099769411517,20.214430332183838,
df57fa97-3a82-4941-acb7-7486ee2277ca,f050a05d14a4-s8201,f050a05d14a4,8201,official-ptb-train-valid-test,ptb,medium,96,3,4,0.0002,0.0,0.0,8201,2000,48,64,6.446005344390869,6.357206428050995,576.6332378233556,0.13472900390625,6.307522583007812,548.6839446928585,0.13192138671875,6.343824585278829,0.12955729166666666,0.12316470096508662,6.115825176239014,0.07046534866094589,1.1434998114903767,10.81070868174235,7.341020584106445,0.9176275730133057,1.0066804885864258,977.0284423828125,85.70508575439453,0.0872952789068222,0.08772015571594238,0.0027881860733032227,-0.58709716796875,0.23208088367795468,0.02246801292543932,0.016177195774190044,0.13148337007357885,0.013940284200406725,0.04899102137389394,0.7273034039503575,0.17017494407582653,0.021271868009478317,0.0035112777865385766,0.0,0.0,0.0,0.0,0.0024769498617794967,26.34350323677063,
4474f67f-3030-4802-b0af-d30334afadab,f050a05d14a4-s8202,f050a05d14a4,8202,official-ptb-train-valid-test,ptb,medium,96,3,4,0.0002,0.0,0.0,8202,2000,48,64,6.440828323364258,6.342042410373688,567.9551250314128,0.13182373046875,6.315585565567017,553.1258572364569,0.12869873046875,6.3337270220120745,0.12369791666666667,0.11418671657641728,6.165518442789714,0.06201010445753733,1.1278380155563354,10.467971165974935,7.215072313944499,0.9018840392430624,1.0064416726430256,977.773193359375,83.87068176269531,0.08538830280303955,0.08577723801136017,0.004937191804250081,1.3792442083358765,0.22350648266364476,0.00406575390520729,0.012842111737618076,0.11994980673170146,0.008780297134354303,0.09123145383751063,1.6953353692412347,0.3336012589375643,0.04170015736719554,0.004305063470177434,0.0,0.0,0.0,0.0,0.0029959849790621457,26.427314281463623,
9c303a7c-15db-4bce-8006-b812914a17fc,2e6f4001eb38-s8201,2e6f4001eb38,8201,contiguous-80-10-10-v1,tinyshakespeare,small,64,2,4,0.0002,0.0,0.0,8201,2000,48,64,6.204683303833008,5.669273388385773,289.82386847593796,0.20284423828125,5.312141621112824,202.78405028470297,0.2379638671875,6.050978402296702,0.19466145833333334,0.17708514630794525,5.9169236818949384,0.11743926256895065,0.8520987629890442,5.259299914042155,6.917172749837239,0.8646465937296549,1.002192219098409,759.2154541015625,78.61427307128906,0.10275796800851822,0.10354672372341156,0.007009446620941162,0.6517705321311951,0.174641902812838,0.019661027175184247,0.00755015372344147,0.04440837053666506,0.007096614729587032,0.05761291301949958,0.4254748751711982,0.11996104906076897,0.014995131132596122,0.0003447451517439499,0.0,0.0,0.0,0.0,0.006993217681895855,19.793704986572266,
cafd258c-2a0e-4092-ad4d-3c43564c4a7d,2e6f4001eb38-s8202,2e6f4001eb38,8202,contiguous-80-10-10-v1,tinyshakespeare,small,64,2,4,0.0002,0.0,0.0,8202,2000,48,64,6.103181838989258,5.611224126815796,273.47880592608186,0.20482177734375,5.341341698169709,208.79265917230833,0.2342529296875,6.083238045374553,0.18294270833333334,0.17130264143149057,5.944092909495036,0.1112634614109993,0.9100420077641805,5.3039021492004395,6.96950896581014,0.8711886207262675,1.0020691951115925,759.7440795898438,79.95806884765625,0.10444558411836624,0.10524342209100723,0.005130847295125325,0.3877290189266205,0.16311932931297182,0.013004547106405065,0.008205027640521945,0.05989736613127506,0.007332736251894122,0.12768065512635224,0.7160894959614411,0.37385298475965045,0.04673162309495631,0.0009654499487212468,0.0,0.0,0.0,0.0,0.0025245656141521496,19.764811038970947,
