scope,baseline,candidate_id,scenario,icc,beta,planned_repetitions,estimated_repetitions,estimability_rate,predictive_support_count,predictive_support_rate,predictive_wilson_95_low,predictive_wilson_95_high,joint_support_count,joint_support_rate,joint_wilson_95_low,joint_wilson_95_high
image,B1_design,extra_trees,heteroskedastic_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,independent_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,independent_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_increment,0.3,0.2,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_increment,0.3,0.35,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_increment,0.3,0.5,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_increment,0.8,0.2,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_increment,0.8,0.35,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_increment,0.8,0.5,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_proxy_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,interaction_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,nonlinear_proxy_null,0.3,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,extra_trees,nonlinear_proxy_null,0.8,0.0,100,0,0.0,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,3.469446951953614e-18,0.03699349820698568
image,B1_design,interactions_d4,additive_proxy_null,0.3,0.0,100,100,1.0,4,0.04,0.01566330399154762,0.0983707143588792,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d4,additive_proxy_null,0.8,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,2,0.02,0.00550196755016235,0.07001179072854388
image,B1_design,interactions_d4,heteroskedastic_proxy_null,0.3,0.0,100,100,1.0,7,0.07,0.03431926106727268,0.137495147390735,4,0.04,0.01566330399154762,0.0983707143588792
image,B1_design,interactions_d4,heteroskedastic_proxy_null,0.8,0.0,100,100,1.0,3,0.03,0.010254524024038925,0.0845193642905276,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d4,independent_null,0.3,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d4,independent_null,0.8,0.0,100,100,1.0,5,0.05,0.02154367915436796,0.11175046923191913,1,0.01,0.0017674320641406505,0.054486196178705315
image,B1_design,interactions_d4,interaction_increment,0.3,0.2,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,7,0.07,0.03431926106727268,0.137495147390735
image,B1_design,interactions_d4,interaction_increment,0.3,0.35,100,100,1.0,9,0.09,0.04807254000256516,0.1622621285271631,7,0.07,0.03431926106727268,0.137495147390735
image,B1_design,interactions_d4,interaction_increment,0.3,0.5,100,100,1.0,18,0.18,0.1170022549894635,0.2666735838630073,14,0.14,0.08526343659939134,0.22137188210963837
image,B1_design,interactions_d4,interaction_increment,0.8,0.2,100,100,1.0,13,0.13,0.07757167427240512,0.20980351440076428,5,0.05,0.02154367915436796,0.11175046923191913
image,B1_design,interactions_d4,interaction_increment,0.8,0.35,100,100,1.0,8,0.08,0.041093461484380624,0.14998107700948735,6,0.06,0.027786123963188192,0.1247681544589592
image,B1_design,interactions_d4,interaction_increment,0.8,0.5,100,100,1.0,11,0.11,0.06254196357064568,0.18631296503080313,11,0.11,0.06254196357064568,0.18631296503080313
