protocol_id,baseline,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,partial_rank_slope,supported,positive_supported
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,32,4999,estimated,240,0.6328,-0.0023424008618887454,-0.03016554216317038,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,33,4999,estimated,240,0.6328,-0.002311790095930154,-0.03595349950082438,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,34,4999,estimated,240,0.2762,-0.004795142083381938,-0.06657482782703258,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,35,4999,estimated,240,0.3264,-0.004122762260666807,-0.057925919881825765,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,36,4999,estimated,240,0.902,0.0005188945764087769,0.00811387807786862,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,37,4999,estimated,240,0.323,-0.0038300940207567895,-0.05333656075837127,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,38,4999,estimated,240,0.9986,1.2991978531731267e-05,0.00016467755695921045,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,39,4999,estimated,240,0.1652,-0.005984061457924778,-0.09507292048139301,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,40,4999,estimated,240,0.5554,0.002151131925520624,0.031945753135377446,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,41,4999,estimated,240,0.512,-0.0025169071465173864,-0.03980978454446216,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,42,4999,estimated,240,0.9626,-0.0001944244924974515,-0.003062849664493002,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,43,4999,estimated,240,0.4804,-0.002985652150842908,-0.042213634525501455,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,44,4999,estimated,240,0.8646,-0.0006535545270950412,-0.010405066674490418,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,45,4999,estimated,240,0.229,-0.006005399425445948,-0.07858905998120164,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,46,4999,estimated,240,0.9816,0.00010630274364341815,0.0016076866415850992,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,47,4999,estimated,240,0.0976,0.0068328036832889264,0.10057758018093589,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,48,4999,estimated,240,0.5916,0.0025238343033522504,0.03509335692603697,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,49,4999,estimated,240,0.1542,0.006924468613467286,0.08927540847922229,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,50,4999,estimated,240,0.0468,-0.007423313240470423,-0.11014480009632703,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,51,4999,estimated,240,0.7406,0.0014704841782640712,0.020584400280823676,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,52,4999,estimated,240,0.4064,0.0034016651587071736,0.05649957093682989,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,53,4999,estimated,240,0.9488,0.00030832007491059775,0.00450436886951731,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,54,4999,estimated,240,0.499,0.0032507959805788958,0.043678903181462114,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,55,4999,estimated,240,0.4052,-0.0036526144909259334,-0.04893866675046109,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,56,4999,estimated,240,0.677,0.0017984380545727377,0.025197857682144248,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,57,4999,estimated,240,0.4678,0.002928094567095606,0.0407192504861331,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,58,4999,estimated,240,0.1048,0.006906795212676262,0.09963510537942499,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,59,4999,estimated,240,0.028,0.009978441347978659,0.15076528975183798,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,60,4999,estimated,240,0.6398,0.0018769274109521755,0.029932987934768458,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,61,4999,estimated,240,0.5288,0.002599975511074429,0.04434726925845156,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,62,4999,estimated,240,0.253,-0.004579923867019021,-0.06553011297215028,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,63,4999,estimated,240,0.4772,-0.0034748169475462,-0.05104469776221477,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,64,4999,estimated,240,0.5982,0.0024565175914827635,0.03302503316013713,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,65,4999,estimated,240,0.8376,0.0009075948331780941,0.013215994295013068,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,66,4999,estimated,240,0.5244,0.002551263452968632,0.03556100479609865,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,67,4999,estimated,240,0.3822,-0.0033764380485329084,-0.0579202641364786,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,68,4999,estimated,240,0.3968,-0.003287919915583772,-0.04631529862121219,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,69,4999,estimated,240,0.311,-0.004322396552674526,-0.06021892263659329,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,70,4999,estimated,240,0.7722,0.0011844594471593912,0.016846195849607004,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,71,4999,estimated,240,0.452,0.0033694405110129082,0.048185015587938695,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,72,4999,estimated,240,0.26,-0.00471212783804236,-0.06681258660278833,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,73,4999,estimated,240,0.606,-0.0020071703543673844,-0.030035164463619493,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,74,4999,estimated,240,0.7862,-0.0011195135873040723,-0.01699565219669463,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,75,4999,estimated,240,0.5624,-0.002434526544875948,-0.03386597332956101,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,76,4999,estimated,240,0.544,-0.0025426187093233435,-0.034289047053276,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,77,4999,estimated,240,0.1626,-0.006766916377993056,-0.08319139692532138,False,False
mbe3-pgdl-transfer-confirmation-v2,B1_design,additive_proxy_null,0.3,0.0,78,4999,estimated,240,0.2744,0.005205329308671824,0.07447137149906823,False,False
