baseline,metric,nuisance_models_estimated,minimum_refit_delta_mse_ci_low,maximum_residual_permutation_p,both_refit_lower_positive,consensus_status
B3_validation,prediction_confidence,2,-0.0033916079864159533,0.901,False,no_consensus_increment
B3_validation,prediction_entropy,2,-0.0050806450040798475,0.051,False,no_consensus_increment
B3_validation,prediction_margin,2,-0.002194546980900397,0.912,False,no_consensus_increment
B3_validation,gradient_norm,2,-0.00536868688045549,0.355,False,no_consensus_increment
B3_validation,empirical_fisher_trace,2,-0.010488303573951776,0.948,False,no_consensus_increment
B3_validation,fim_erank,2,-0.005552122678112985,0.002,False,no_consensus_increment
B3_validation,fim_norm,2,-0.005552122678112985,0.002,False,no_consensus_increment
B3_validation,feature_erank,2,-0.009552001444060354,0.843,False,no_consensus_increment
B3_validation,parameter_l2,2,-0.009788236375421885,0.765,False,no_consensus_increment
B3_validation,distance_from_initialization_l2,2,-0.006268604451562173,0.397,False,no_consensus_increment
B3_validation,relative_distance_from_initialization,2,-0.0056897231135293845,0.659,False,no_consensus_increment
B3_validation,update_to_weight_ratio,2,-0.00684733216558353,0.293,False,no_consensus_increment
B3_validation,sharpness_random_perturbation,2,-0.005764736027663538,0.819,False,no_consensus_increment
B3_validation,random_metric,2,-0.0016653642485483294,0.846,False,no_consensus_increment
