scenario,expected_stable_increment,contains_conditional_increment,repetitions,mbe_additive_support_rate,mbe_interaction_support_rate,raw_spearman_median,raw_spearman_q05,raw_spearman_q95,raw_kendall_median,raw_kendall_q05,raw_kendall_q95,partial_spearman_median,partial_spearman_q05,partial_spearman_q95,granulated_kendall_median,granulated_kendall_q05,granulated_kendall_q95,granulated_min_axis_median,granulated_min_axis_q05,granulated_min_axis_q95,jiang_cmi_median,jiang_cmi_q05,jiang_cmi_q95,mbe_additive_delta_median,mbe_additive_delta_q05,mbe_additive_delta_q95,mbe_interaction_delta_median,mbe_interaction_delta_q05,mbe_interaction_delta_q95
independent_null,False,False,50,0.0,0.02,-0.021062271062271064,-0.34255189255189256,0.22823565323565317,-0.017094017094017096,-0.23447293447293452,0.14843304843304844,0.0007249881076262519,-0.1413143331923691,0.12147088035521406,-0.037037037037037035,-0.23456790123456792,0.1851851851851852,-0.2592592592592593,-0.40740740740740744,0.03703703703703704,0.004929711203511809,0.0001463811004882696,0.04008473063551494,-0.0006161907589023923,-0.0014649603888169393,0.00029839035753317434,-0.0004314456659953057,-0.0011570239238481801,0.000606867449733666
design_proxy,False,False,50,0.74,0.04,0.9774114774114774,0.9608669108669108,0.9887362637362638,0.891737891737892,0.8461538461538463,0.9259259259259262,0.6366460055236826,0.5514981521517225,0.6841377159041122,0.7777777777777778,0.6654320987654321,0.865432098765432,0.6296296296296297,0.4074074074074074,0.7777777777777778,0.4116610455485181,0.24517432531339137,0.5941130166115802,0.0036425295789876523,0.0011846188237044789,0.007943542855104539,-0.0004318375143103322,-0.002340629658268264,0.0011978437383350848
interaction_proxy,False,False,50,0.88,0.0,0.7338217338217338,0.6582722832722833,0.8366910866910866,0.5612535612535613,0.4783475783475784,0.6586894586894587,0.38117586477705934,0.2608776049003873,0.519613484702611,0.4567901234567901,0.30864197530864196,0.5802469135802469,0.03703703703703704,-0.3740740740740741,0.33333333333333337,0.16943986150051604,0.09470251366769405,0.24950118043426445,0.005020144804323402,0.0015719544057367992,0.008076512152438924,-0.0004897689086714252,-0.002564125593203637,0.0003639945977037104
genuine_increment,True,True,50,0.92,0.9,0.5396825396825397,0.3716727716727717,0.7726800976800977,0.3931623931623932,0.25612535612535614,0.5700854700854702,0.7922627068233108,0.6730071445547935,0.8936745420142013,0.5802469135802469,0.43209876543209874,0.6790123456790124,0.3333333333333333,0.07037037037037039,0.5555555555555556,0.1128690130580234,0.046888022364473675,0.24077216303891621,0.035772921459946413,0.013968754085989524,0.08027768316027206,0.04059833407286541,0.014885803963260374,0.10764155663145158
axis_specialist_proxy,False,False,50,0.0,0.02,0.836996336996337,0.7748168498168497,0.886019536019536,0.6353276353276355,0.5512820512820514,0.7156695156695158,0.010680750440169817,-0.14362636017608515,0.1311018819347724,0.3333333333333333,0.17160493827160497,0.48148148148148145,-0.14814814814814814,-0.37407407407407406,0.18518518518518517,0.03159698670437618,0.008147857697722246,0.07802939751759837,-0.0006332112722701897,-0.0017107600001141784,0.00048539397104589564,-0.0002520177764880659,-0.0009391868557323841,0.0005813546844926626
sign_flip_increment,False,True,50,0.0,0.08,-0.043345543345543344,-0.3848290598290598,0.23385225885225877,-0.04558404558404559,-0.27378917378917383,0.15270655270655265,-0.09811100650287156,-0.3738143560575341,0.13893050760660297,-0.0493827160493827,-0.23456790123456794,0.1111111111111111,-0.18518518518518517,-0.5222222222222223,-0.03703703703703703,0.006009804432591001,0.00028691627396563465,0.05283888809277921,-0.011528279456659539,-0.04558615189111874,0.004995125203868644,0.03050943685150617,0.007915138349371029,0.06846732432907436
