repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
0,20260729,independent_null,False,False,27,-0.1813186813186813,-0.11111111111111113,-0.05563479443980948,-0.03703703703703706,-0.18518518518518523,0.008923940161777846,none,-0.2698412698412698,0.16,0.0016069569654493104,9.114086565417693e-05,predictive-improvement-only,-0.7851037851037852,0.001,0.0010266104891588496,-7.67534929839738e-05,residual-dependence-only
0,20261738,design_proxy,False,False,27,0.9786324786324787,0.8974358974358976,0.5639261675836252,0.7037037037037037,0.48148148148148157,0.4118428622963863,"hp_a,hp_c",0.8437118437118436,0.001,0.003559681865357066,0.0012997130924382683,increment-supported,0.6355311355311355,0.001,-0.00034970042543026533,-0.0014028550904226567,residual-dependence-only
0,20262747,interaction_proxy,False,False,27,0.7338217338217338,0.5156695156695158,0.38174710780280224,0.25925925925925924,-0.48148148148148145,0.20137750167555638,none,0.8266178266178266,0.001,0.00484292251190537,0.0013704912224978827,increment-supported,0.43528693528693524,0.026,-0.0009116377941867926,-0.0023432739356858234,residual-dependence-only
0,20263756,genuine_increment,True,True,27,0.7753357753357752,0.5726495726495727,0.8551928106911686,0.6049382716049383,0.5555555555555556,0.2515507052167091,none,0.8412698412698412,0.001,0.028097565317418034,0.009693197001384928,increment-supported,0.9682539682539683,0.001,0.05336460878375277,0.0327512604048867,increment-supported
0,20264765,axis_specialist_proxy,False,False,27,0.8046398046398046,0.5726495726495727,-0.0895171397714436,0.20987654320987656,-0.1851851851851852,0.014159022025912621,hp_a,-0.1282051282051282,0.502,7.088554130340631e-05,-0.0009391257864515764,no-supported-increment,0.06776556776556776,0.721,-0.0005208663728644702,-0.0015259291040447067,no-supported-increment
0,20265774,sign_flip_increment,False,True,27,-0.3791208791208791,-0.2706552706552707,-0.3534491058978694,-0.20987654320987656,-0.3333333333333333,0.05350661924594637,none,-0.2295482295482295,0.251,-0.00666093713974248,-0.03042708606452911,no-supported-increment,-0.24786324786324787,0.21,0.04322865715926854,0.013930939750029535,predictive-improvement-only
1,20270736,independent_null,False,False,27,-0.37851037851037844,-0.2421652421652422,0.026367876999727532,-0.012345679012345678,-0.5555555555555556,0.04272618916275612,none,0.11904761904761904,0.55,-0.0004145899030400628,-0.0012947682988283368,no-supported-increment,0.2979242979242979,0.121,-0.0017470449409556221,-0.0027293085487739674,no-supported-increment
1,20271745,design_proxy,False,False,27,0.978021978021978,0.891737891737892,0.6614266126763503,0.7530864197530863,0.48148148148148145,0.35129142928416296,"hp_a,hp_c",0.8797313797313797,0.001,0.0037359353715090988,0.0007351456638885317,increment-supported,0.5836385836385837,0.002,0.0003685658166205936,-0.001182721246288344,residual-dependence-only
1,20272754,interaction_proxy,False,False,27,0.6837606837606838,0.49287749287749294,0.4200579119153498,0.5308641975308642,0.33333333333333337,0.18312606105960277,none,0.8229548229548229,0.001,0.005428801599700498,0.0023283915322217133,increment-supported,0.3724053724053724,0.05,0.00030461951713215557,-0.0009472540113375634,residual-dependence-only
1,20273763,genuine_increment,True,True,27,0.5042735042735043,0.35042735042735046,0.7833701165182594,0.5802469135802469,0.3333333333333333,0.04063145633408065,hp_b,0.6971916971916973,0.001,0.017435247759412142,0.0043798675886140255,increment-supported,0.8522588522588521,0.001,0.031930571616772194,0.006560365456635054,increment-supported
1,20274772,axis_specialist_proxy,False,False,27,0.7936507936507936,0.5669515669515671,-0.05764015135957862,0.2098765432098765,-0.40740740740740744,0.05702279798169992,hp_a,-0.13736263736263737,0.488,-0.0005247352506522352,-0.0016109496031608715,no-supported-increment,-0.10378510378510379,0.597,-0.0005867376296264,-0.0011057631982245365,no-supported-increment
1,20275781,sign_flip_increment,False,True,27,0.10012210012210011,0.048433048433048444,0.09300244838794984,-0.06172839506172837,-0.18518518518518517,0.0016927704579951096,none,0.06471306471306472,0.729,-0.0027754109884952985,-0.008602619059019236,no-supported-increment,-0.020146520146520144,0.909,0.010969575548333823,0.005115133683099451,predictive-improvement-only
2,20280743,independent_null,False,False,27,0.16361416361416362,0.11680911680911683,-0.023260874727050677,0.08641975308641976,0.03703703703703703,0.00986483742788268,none,-0.14774114774114774,0.427,4.830779842523482e-05,-0.00133933594412137,no-supported-increment,0.37606837606837606,0.07,-0.0007234068035042538,-0.0015009176149112446,no-supported-increment
2,20281752,design_proxy,False,False,27,0.9694749694749695,0.8575498575498577,0.5507842102712251,0.654320987654321,0.40740740740740744,0.24696691030144324,"hp_a,hp_c",0.8205128205128205,0.001,0.0019444625341266553,8.228697185403146e-05,increment-supported,0.5177045177045178,0.007,-0.00039956425814597664,-0.0010514621866786241,residual-dependence-only
2,20282761,interaction_proxy,False,False,27,0.721001221001221,0.5783475783475784,0.43416691991380574,0.5308641975308642,0.11111111111111109,0.2214184308085318,"hp_a,hp_c",0.7167277167277167,0.001,0.0034192537084134344,0.000614814349948988,increment-supported,0.05982905982905983,0.767,-0.0006369714100075401,-0.0013095009744910912,no-supported-increment
2,20283770,genuine_increment,True,True,27,0.7332112332112332,0.5327635327635328,0.8713355600479537,0.6543209876543209,0.48148148148148145,0.2113194513009132,hp_c,0.9420024420024419,0.001,0.05393558379984876,0.032083935457303675,increment-supported,0.9688644688644688,0.001,0.08402513879300219,0.047017228202764744,increment-supported
2,20284779,axis_specialist_proxy,False,False,27,0.8571428571428571,0.6980056980056981,0.030044465505008312,0.43209876543209874,-0.1111111111111111,0.04585000601783883,hp_a,-0.2094017094017094,0.282,-0.00039612552508840916,-0.0018291489406681875,no-supported-increment,-0.31929181929181927,0.115,-3.95468265324047e-05,-0.000909788855729021,no-supported-increment
2,20285788,sign_flip_increment,False,True,27,0.3052503052503053,0.21367521367521372,-0.09752482518749246,0.037037037037037056,-0.18518518518518517,0.0224736862845386,hp_a,-0.21428571428571427,0.257,-0.03685574290914941,-0.0846817180903192,no-supported-increment,-0.05616605616605617,0.771,0.007973479840805438,-0.0006216777186034575,no-supported-increment
3,20290750,independent_null,False,False,27,-0.009157509157509158,0.0028490028490028496,0.049694572448407366,0.1851851851851852,-0.03703703703703704,5.85505390620652e-06,none,0.09706959706959707,0.645,-0.0012654663938454214,-0.0019371801017888403,no-supported-increment,0.3766788766788767,0.058,-0.0007049319913949893,-0.0023695377611564834,no-supported-increment
3,20291759,design_proxy,False,False,27,0.989010989010989,0.9259259259259262,0.6620672815587316,0.8271604938271606,0.6296296296296297,0.599676132580023,hp_a,0.8565323565323565,0.001,0.007139623900418918,0.002333633245739845,increment-supported,0.3571428571428571,0.052,0.00037894181623818364,-0.0008105245073077162,no-supported-increment
3,20292768,interaction_proxy,False,False,27,0.6947496947496948,0.5327635327635328,0.4066439095535806,0.5061728395061729,0.1111111111111111,0.09599748515329692,"hp_a,hp_c",0.8137973137973138,0.001,0.0041025624902294305,0.0010440912668656624,increment-supported,0.44017094017094016,0.022,-2.9654425077889172e-05,-0.0007779156234037773,residual-dependence-only
3,20293777,genuine_increment,True,True,27,0.46153846153846156,0.321937321937322,0.7564365845800293,0.5061728395061729,0.1111111111111111,0.05968951437775913,hp_b,0.9053724053724053,0.001,0.06971950002151911,0.03991571944823483,increment-supported,0.887057387057387,0.001,0.07830613078740196,0.04058845673849132,increment-supported
3,20294786,axis_specialist_proxy,False,False,27,0.8284493284493284,0.6353276353276355,-0.07029673705973803,0.4074074074074074,0.037037037037037056,0.015723913384574094,hp_a,-0.11538461538461539,0.58,-0.0006636743152299684,-0.0016827245820597951,no-supported-increment,0.18253968253968253,0.359,0.00029816605144010293,-0.0003937461509240354,no-supported-increment
3,20295795,sign_flip_increment,False,True,27,-0.022588522588522588,-0.025641025641025644,-0.34377246106424764,-0.16049382716049382,-0.3333333333333333,0.0004743107063508422,none,-0.05128205128205128,0.797,-0.04346821887656529,-0.07756893419391693,no-supported-increment,-0.05555555555555555,0.8,0.03621125880569354,0.01632961119428854,predictive-improvement-only
4,20300757,independent_null,False,False,27,-0.05433455433455433,-0.042735042735042736,-0.07761725949748317,-0.06172839506172839,-0.1111111111111111,0.001317786626526267,none,0.10805860805860806,0.597,-0.0005459649130540971,-0.0016800154043816761,no-supported-increment,-0.06043956043956044,0.745,-0.0008951892062558659,-0.0016688739530854014,no-supported-increment
4,20301766,design_proxy,False,False,27,0.9810744810744811,0.9088319088319089,0.6673639701203149,0.8271604938271605,0.7037037037037037,0.44919362522448436,"hp_a,hp_c",0.868131868131868,0.001,0.005749239972163535,0.0017999743907264776,increment-supported,0.6568986568986569,0.001,0.0001500671013707107,-0.002127940742571318,residual-dependence-only
4,20302775,interaction_proxy,False,False,27,0.8394383394383393,0.6638176638176639,0.3756768226477262,0.5308641975308642,-0.03703703703703704,0.15165278679037883,"hp_a,hp_c",0.771062271062271,0.001,0.005572874681220806,0.0010922284539513784,increment-supported,0.32722832722832723,0.087,0.00014966657449180971,-0.0013937863687930418,no-supported-increment
4,20303784,genuine_increment,True,True,27,0.4511599511599511,0.33333333333333337,0.6522166390343909,0.43209876543209874,0.18518518518518517,0.0817041659455104,none,0.7338217338217338,0.001,0.01499790885772611,-0.0020933436874993067,residual-dependence-only,0.8717948717948717,0.001,0.01901768928040404,0.004961608867579712,increment-supported
4,20304793,axis_specialist_proxy,False,False,27,0.8186813186813187,0.6182336182336183,-0.07225257763197795,0.3333333333333333,-0.03703703703703704,0.027372270096252975,hp_a,-0.08302808302808302,0.678,1.4182144066196209e-05,-0.000808509467484055,no-supported-increment,-0.2838827838827839,0.157,7.690399675703424e-07,-0.0009460118601488934,no-supported-increment
4,20305802,sign_flip_increment,False,True,27,0.03479853479853479,-0.03703703703703704,0.31718501613895117,-0.16049382716049385,-0.48148148148148157,0.0009897291195186163,none,0.1562881562881563,0.428,0.00803536717553439,0.0010232179918116206,predictive-improvement-only,0.2753357753357753,0.182,-0.016738862931044474,-0.05182600119411084,no-supported-increment
5,20310764,independent_null,False,False,27,-0.05433455433455433,-0.025641025641025644,0.061722380285244675,0.0617283950617284,0.03703703703703704,0.0004743107063508422,none,0.047619047619047616,0.825,-0.0014780965143197187,-0.0027908852617371544,no-supported-increment,0.07753357753357752,0.716,-0.0005132777346188878,-0.0015183058963011867,no-supported-increment
5,20311773,design_proxy,False,False,27,0.976190476190476,0.8860398860398863,0.6662939180463407,0.8271604938271605,0.7037037037037037,0.4021990612608749,"hp_a,hp_c",0.7942612942612942,0.001,0.005064053690289399,0.0014704167114271494,increment-supported,0.5396825396825397,0.006,-0.0010897316539352202,-0.002891522553215793,residual-dependence-only
5,20312782,interaction_proxy,False,False,27,0.7301587301587301,0.5555555555555557,0.2913044069427742,0.5802469135802469,0.33333333333333337,0.14363788505022554,"hp_a,hp_c",0.6831501831501832,0.001,0.003547819595763507,0.0003260585210307571,increment-supported,0.06776556776556776,0.715,3.741820834016543e-05,-0.0007516741626848487,no-supported-increment
5,20313791,genuine_increment,True,True,27,0.3705738705738706,0.2535612535612536,0.7210228690727688,0.2839506172839506,-0.1111111111111111,0.046888022364473675,none,0.7081807081807082,0.001,0.01058976562805292,0.00036674073236184825,increment-supported,0.8730158730158729,0.001,0.01618162230914769,0.0051690678043644555,increment-supported
5,20314800,axis_specialist_proxy,False,False,27,0.898046398046398,0.720797720797721,0.02214831660823998,0.38271604938271603,0.037037037037037056,0.04986620185255925,hp_a,0.2979242979242979,0.148,-0.0006027482293104111,-0.001724552595107366,no-supported-increment,-0.1105006105006105,0.584,-0.0004030711476618303,-0.0012305035818104308,no-supported-increment
5,20315809,sign_flip_increment,False,True,27,-0.2283272283272283,-0.13960113960113962,-0.14702722792598882,-0.08641975308641976,-0.1851851851851852,0.014103986513193877,none,-0.2118437118437118,0.274,0.005134496841859737,-0.005599985219000995,no-supported-increment,-0.18803418803418803,0.333,0.015682167414775402,0.005491589456244685,predictive-improvement-only
