baseline,metric,nuisance_model,status,configuration_units,residual_r,delta_mse,relative_mse_improvement
B2_training_state,fim_norm,polynomial_ridge_interactions,descriptive_underpowered,20,0.31729323308270674,-0.0017585736703541986,-0.11931276652431513
B2_training_state,feature_erank,polynomial_ridge,descriptive_underpowered,20,-0.7233082706766917,0.0007204783711021127,0.10866902983946124
B2_training_state,feature_erank,polynomial_ridge_interactions,descriptive_underpowered,20,-0.45563909774436084,-0.003649495088027411,-0.2476048417589171
B2_training_state,parameter_l2,polynomial_ridge,descriptive_underpowered,20,-0.30526315789473685,-0.0016745439107762796,-0.2525697779508291
B2_training_state,parameter_l2,polynomial_ridge_interactions,descriptive_underpowered,20,-0.22406015037593985,-0.004288551285668272,-0.29096245832648654
B2_training_state,distance_from_initialization_l2,polynomial_ridge,descriptive_underpowered,20,-0.4827067669172932,0.0006183895247834897,0.09327107157750213
B2_training_state,distance_from_initialization_l2,polynomial_ridge_interactions,descriptive_underpowered,20,-0.12330827067669171,0.00343010674546918,0.2327201482512891
B2_training_state,relative_distance_from_initialization,polynomial_ridge,descriptive_underpowered,20,0.4015037593984962,-0.002691549448046884,-0.4059637027504025
B2_training_state,relative_distance_from_initialization,polynomial_ridge_interactions,descriptive_underpowered,20,0.28872180451127816,-0.0017884577531016958,-0.12134029181242394
B2_training_state,update_to_weight_ratio,polynomial_ridge,descriptive_underpowered,20,0.4857142857142857,-0.0024824549451536344,-0.3744261886687293
B2_training_state,update_to_weight_ratio,polynomial_ridge_interactions,descriptive_underpowered,20,0.3142857142857143,-0.0007366515716642312,-0.04997910435110841
B2_training_state,sharpness_random_perturbation,polynomial_ridge,descriptive_underpowered,20,-0.30977443609022554,0.000418532459573258,0.06312683095340753
B2_training_state,sharpness_random_perturbation,polynomial_ridge_interactions,descriptive_underpowered,20,-0.47518796992481205,0.0006727360890647679,0.0456426735371848
B2_training_state,random_metric,polynomial_ridge,descriptive_underpowered,20,0.5849624060150376,0.003299737209136787,0.4976960525456842
B2_training_state,random_metric,polynomial_ridge_interactions,descriptive_underpowered,20,0.2781954887218045,-0.00047802137183790804,-0.03243199491337874
B3_validation,prediction_confidence,polynomial_ridge,descriptive_underpowered,20,-0.6812030075187969,0.0007556472384080627,0.3234554247824231
B3_validation,prediction_confidence,polynomial_ridge_interactions,descriptive_underpowered,20,-0.37744360902255636,0.002303562563164935,0.13621609821183916
B3_validation,prediction_entropy,polynomial_ridge,descriptive_underpowered,20,0.631578947368421,0.001011279742181149,0.43287912924842986
B3_validation,prediction_entropy,polynomial_ridge_interactions,descriptive_underpowered,20,0.025563909774436087,0.0023195294902450744,0.1371602672750407
B3_validation,prediction_margin,polynomial_ridge,descriptive_underpowered,20,-0.6601503759398496,0.0005331202635048505,0.22820256930384997
B3_validation,prediction_margin,polynomial_ridge_interactions,descriptive_underpowered,20,-0.12781954887218044,-0.0014335501984518335,-0.08476983336438036
B3_validation,gradient_norm,polynomial_ridge,descriptive_underpowered,20,0.0781954887218045,-0.0008250521169146882,-0.35316424037556626
B3_validation,gradient_norm,polynomial_ridge_interactions,descriptive_underpowered,20,-0.23609022556390977,-0.0008018979435372511,-0.04741846858401175
B3_validation,empirical_fisher_trace,polynomial_ridge,descriptive_underpowered,20,-0.045112781954887216,-0.0016187376203060317,-0.6929019759146249
B3_validation,empirical_fisher_trace,polynomial_ridge_interactions,descriptive_underpowered,20,-0.21804511278195485,-0.005436437388491592,-0.321471750355175
B3_validation,fim_erank,polynomial_ridge,descriptive_underpowered,20,0.7398496240601502,-0.00011977306802033686,-0.05126896073309166
B3_validation,fim_erank,polynomial_ridge_interactions,descriptive_underpowered,20,-0.49022556390977434,-0.0011957702992352118,-0.07070924277204511
B3_validation,fim_norm,polynomial_ridge,descriptive_underpowered,20,0.7398496240601502,-0.00011977306802033686,-0.05126896073309166
B3_validation,fim_norm,polynomial_ridge_interactions,descriptive_underpowered,20,-0.49022556390977434,-0.0011957702992352118,-0.07070924277204511
B3_validation,feature_erank,polynomial_ridge,descriptive_underpowered,20,-0.4060150375939849,-0.0004302742436740289,-0.1841792455348883
B3_validation,feature_erank,polynomial_ridge_interactions,descriptive_underpowered,20,0.11729323308270674,0.0037420919017861973,0.22128036206279486
B3_validation,parameter_l2,polynomial_ridge,descriptive_underpowered,20,-0.02857142857142857,-0.0012326332716246502,-0.5276296904283705
B3_validation,parameter_l2,polynomial_ridge_interactions,descriptive_underpowered,20,0.23157894736842105,-0.00446272110842387,-0.263893182897498
B3_validation,distance_from_initialization_l2,polynomial_ridge,descriptive_underpowered,20,0.14586466165413534,-0.00015848284681391905,-0.06783871353109006
B3_validation,distance_from_initialization_l2,polynomial_ridge_interactions,descriptive_underpowered,20,-0.003007518796992481,-0.002380670195417666,-0.1407756882033476
B3_validation,relative_distance_from_initialization,polynomial_ridge,descriptive_underpowered,20,0.5263157894736841,0.00011459693135782009,0.04905331115772444
B3_validation,relative_distance_from_initialization,polynomial_ridge_interactions,descriptive_underpowered,20,-0.06766917293233082,-0.005620420804569901,-0.3323512044123897
B3_validation,update_to_weight_ratio,polynomial_ridge,descriptive_underpowered,20,0.6571428571428571,0.0005094153630779508,0.2180556670890531
B3_validation,update_to_weight_ratio,polynomial_ridge_interactions,descriptive_underpowered,20,-0.11578947368421053,-0.00662011977772051,-0.3914662011945318
B3_validation,sharpness_random_perturbation,polynomial_ridge,descriptive_underpowered,20,-0.04962406015037594,-0.00027385779598341,-0.1172250558559666
B3_validation,sharpness_random_perturbation,polynomial_ridge_interactions,descriptive_underpowered,20,0.11127819548872178,-0.007399333962763158,-0.43754331568453136
B3_validation,random_metric,polynomial_ridge,descriptive_underpowered,20,-0.10375939849624059,0.0009361009340122831,0.40069877829243894
B3_validation,random_metric,polynomial_ridge_interactions,descriptive_underpowered,20,-0.19849624060150375,-0.0022715610409323427,-0.13432375868302948
