metric,median_batch_std,across_model_std,batch_to_model_sd
relative_distance_from_initialization,0.0,0.04850964309717373,0.0
update_to_weight_ratio,0.0,0.05025716789501931,0.0
parameter_l2,0.0,262.1506835362506,0.0
distance_from_initialization_l2,0.0,97.38269861823919,0.0
feature_erank,0.01630834986411445,0.13281078763765994,0.12279386452106275
empirical_fisher_trace,0.803998636859226,5.2819706109802835,0.1522156589034886
prediction_entropy,0.06258649256823755,0.3672546078576485,0.17041717443201335
gradient_norm,0.06969964050662975,0.29638313615239,0.23516736279756684
prediction_confidence,0.00969376458092245,0.03213120752616804,0.30169313036329964
prediction_margin,0.009655267432768549,0.02800659587972915,0.3447497680272139
metric_batch_loss,0.14864239733351736,0.4285142477329382,0.34687854165856197
fim_norm,0.0191871645397581,0.031712903689419876,0.6050270491679814
fim_erank,0.1534973163180653,0.253703229515359,0.6050270491679834
metric_batch_accuracy,0.02460180080887695,0.035357956437836235,0.6957924972878462
sharpness_random_perturbation,0.0029089350281287004,0.0027305113201705664,1.0653444307811872
