repetition,seed,scenario,expected_stable_increment,contains_conditional_increment,configurations,raw_spearman,raw_kendall,partial_spearman,granulated_kendall,granulated_min_axis,jiang_cmi,jiang_cmi_min_conditioning,mbe_additive_residual_r,mbe_additive_p,mbe_additive_delta,mbe_additive_delta_ci_low,mbe_additive_class,mbe_interaction_residual_r,mbe_interaction_p,mbe_interaction_delta,mbe_interaction_delta_ci_low,mbe_interaction_class
0,40260767,independent_null,False,False,27,0.21428571428571427,0.15099715099715103,0.18306387563715054,0.11111111111111112,0.03703703703703703,0.016509899537959644,none,0.06471306471306472,0.777,-0.0004793786531507166,-0.002004350072214721,no-supported-increment,-0.0115995115995116,0.948,-0.0005790318317714527,-0.0013131721946647772,no-supported-increment
0,40261776,design_proxy,False,False,27,0.9829059829059829,0.9145299145299146,0.6604775046388498,0.8518518518518517,0.7777777777777778,0.5405892509407928,"hp_a,hp_c",0.8107448107448108,0.001,0.0024929489837973787,-0.0010766179301371114,residual-dependence-only,0.4768009768009768,0.015,-0.0011444915017427195,-0.003880127935295503,residual-dependence-only
0,40262785,interaction_proxy,False,False,27,0.7777777777777777,0.5954415954415955,0.3805959009338342,0.30864197530864196,-0.18518518518518517,0.12307300687617007,"hp_a,hp_c",0.6965811965811965,0.001,-6.613651802569315e-06,-0.0039499850365671595,residual-dependence-only,0.41025641025641024,0.03,-0.00028529251210240164,-0.001714765561968034,residual-dependence-only
0,40263794,genuine_increment,True,True,27,0.6361416361416361,0.4871794871794872,0.7646350614069487,0.6296296296296297,0.4074074074074074,0.17871905825501364,none,0.868131868131868,0.001,0.033448226053009095,0.012410305077912616,increment-supported,0.9755799755799756,0.001,0.07517858716668628,0.04256711336189644,increment-supported
0,40264803,axis_specialist_proxy,False,False,27,0.8229548229548229,0.6182336182336183,-0.17725007475276092,0.35802469135802467,-0.037037037037037056,0.024029872881034735,hp_a,-0.3528693528693529,0.071,-0.0009130011782647451,-0.0025744649201829765,no-supported-increment,-0.3492063492063492,0.084,-0.00028079805383677756,-0.0011351320434990842,no-supported-increment
0,40265812,sign_flip_increment,False,True,27,-0.02564102564102564,-0.03133903133903134,0.06183673755356841,0.01234567901234567,-0.1111111111111111,0.0007085765771186966,none,0.053113553113553105,0.803,-0.0018851243879716637,-0.006703496373346847,no-supported-increment,0.06837606837606838,0.754,0.020813463525729846,0.004523952250260193,predictive-improvement-only
1,40270774,independent_null,False,False,27,-0.23565323565323562,-0.20227920227920232,0.10682061429195783,-0.11111111111111115,-0.40740740740740744,0.029719934081511645,none,-0.030525030525030524,0.874,-0.001034672457086952,-0.0023445084042135545,no-supported-increment,-0.0293040293040293,0.891,-0.0005867368284431206,-0.001031569689481895,no-supported-increment
1,40271783,design_proxy,False,False,27,0.9743589743589743,0.891737891737892,0.6863710207350695,0.9012345679012346,0.7777777777777778,0.48700840762528697,"hp_a,hp_c",0.9310134310134309,0.001,0.009758471708398924,0.0046777794306262395,increment-supported,0.7161172161172161,0.001,0.0020017377694158556,-0.00030337312281012986,residual-dependence-only
1,40272792,interaction_proxy,False,False,27,0.7704517704517704,0.5840455840455842,0.3222033712459364,0.40740740740740744,-0.18518518518518523,0.18680851135493495,"hp_a,hp_c",0.7112332112332113,0.001,0.00419703950951034,0.0011576275138972375,increment-supported,0.4230769230769231,0.027,-5.071606317907755e-05,-0.0005901199895823839,residual-dependence-only
1,40273801,genuine_increment,True,True,27,0.5207570207570207,0.37321937321937326,0.7547282493346054,0.5061728395061729,0.1111111111111111,0.09652074913831094,hp_c,0.8754578754578756,0.001,0.027773497786764287,0.00912262105588847,increment-supported,0.8858363858363858,0.001,0.04857258672077351,0.0235773660044352,increment-supported
