baseline,metric,nuisance_model,status,target,controls,group_col,permutation_block_col,n,independence_units,n_splits,polynomial_degree,run_residual_r,residual_r,residual_p,residual_ci_low,residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification,refit_bootstrap_draws,refit_bootstrap_successful,refit_residual_ci_low,refit_residual_ci_high,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_predictive_classification,refit_increment_classification
B1_design,feature_erank,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.09934872858221391,0.018018018018018018,0.916,,,0.001956618602419093,0.0015121986761614046,0.00044441992625768854,,,0.22713671724689916,no-supported-increment,199,199,-0.6629012750189964,0.7512555670346034,-0.0011047978428406356,0.0028004422507213944,no-supported-increment,no-supported-increment
B1_design,feature_erank,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.227085146708686,-0.1770913770913771,0.294,,,0.002018186262226449,0.0015915033661999926,0.0004266828960264562,,,0.21141898744060553,no-supported-increment,199,199,-0.5890670870185675,0.7545928564072648,-0.006131448601466138,0.0019452765890675676,no-supported-increment,no-supported-increment
B1_design,parameter_l2,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.1329956269020569,-0.2056628056628057,0.235,,,0.001956618602419093,0.0021894319252508854,-0.00023281332283179223,,,-0.11898758528818554,no-supported-increment,199,199,-0.438986085137544,0.3373558646581849,-0.0027834532600557313,0.0007207110499783002,no-supported-increment,no-supported-increment
B1_design,parameter_l2,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.12896475706806038,-0.13745173745173747,0.42,,,0.002018186262226449,0.0028555816127171204,-0.0008373953504906715,,,-0.41492471045108736,no-supported-increment,199,199,-0.6245041808889773,0.518030385426221,-0.004459398095199471,0.0009546665248992409,no-supported-increment,no-supported-increment
B1_design,distance_from_initialization_l2,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.19715966535845833,-0.29729729729729737,0.086,,,0.001956618602419093,0.0015483834501352687,0.0004082351522838245,,,0.20864319279142965,no-supported-increment,199,199,-0.6731352682550032,0.4950657279036111,-0.0014207280851702387,0.0017980677750755927,no-supported-increment,no-supported-increment
B1_design,distance_from_initialization_l2,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.2953916167739301,-0.406949806949807,0.009,,,0.002018186262226449,0.0018615216213678201,0.00015666464085862869,,,0.07762645291510277,residual-dependence-only,199,199,-0.7924298078789132,0.6069531615354756,-0.005032753056910458,0.001772126446254959,no-supported-increment,residual-dependence-only
B1_design,relative_distance_from_initialization,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.024357668495997156,-0.05740025740025741,0.736,,,0.001956618602419093,0.0014179196446801503,0.0005386989577389428,,,0.2753213922595414,no-supported-increment,199,199,-0.41035381524188874,0.7779693701350344,-0.00028196934699446265,0.0025388227520482622,no-supported-increment,no-supported-increment
B1_design,relative_distance_from_initialization,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.194474056729443,-0.22805662805662807,0.151,,,0.002018186262226449,0.0018674533125363942,0.00015073294969005467,,,0.07468733313235773,no-supported-increment,199,199,-0.513629345137231,0.7962929591968076,-0.006345517094159279,0.0018328949714999441,no-supported-increment,no-supported-increment
B1_design,update_to_weight_ratio,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.05727899494827987,0.146975546975547,0.372,,,0.001956618602419093,0.0020234907340511777,-6.687213163208451e-05,,,-0.03417739744956232,no-supported-increment,199,199,-0.4411120756552488,0.7711617722823283,-0.0009422916842329982,0.0023466716766511286,no-supported-increment,no-supported-increment
B1_design,update_to_weight_ratio,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.13916926544881136,-0.08648648648648649,0.629,,,0.002018186262226449,0.0021385777152726658,-0.00012039145304621694,,,-0.05965329132376609,no-supported-increment,199,199,-0.5458945029383964,0.7739720609875871,-0.004582171942965513,0.0018918287503408018,no-supported-increment,no-supported-increment
B1_design,sharpness_random_perturbation,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.10452555330605637,-0.21673101673101675,0.216,,,0.001956618602419093,0.0018587454349846173,9.787316743447585e-05,,,0.05002158689152243,no-supported-increment,199,199,-0.7567367000397105,0.41326123342345783,-0.000498900703635005,0.0007775248133709892,no-supported-increment,no-supported-increment
B1_design,sharpness_random_perturbation,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.02622488511676049,-0.1915057915057915,0.265,,,0.002018186262226449,0.0016470617341464843,0.00037112452807996454,,,0.18389012700470103,no-supported-increment,199,199,-0.619725127142738,0.7093282441035422,-0.001803663551060074,0.0016698164491250093,no-supported-increment,no-supported-increment
