protocol_id,scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,simulation_seed,analysis_seed,status,orthogonal_score_mean,orthogonal_score_t,orthogonal_student_p,orthogonal_wild_p,partial_rank_slope,partial_rank_slope_ci_low,partial_rank_slope_ci_high,supported,positive_supported
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,additive_proxy_null,0.8,0.0,9,199,3416981859612565845,3107749719411139479,estimated,0.0028052463457691064,0.310713405034519,0.7573923225925213,0.795,0.03469505022365223,-0.1903089400176869,0.25969904046499137,False,False
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,0,199,16222716138492038997,10139914971790315280,estimated,0.013236466023423293,1.2035709315988334,0.23478264106389118,0.27,0.1735652198848178,-0.1073270679342728,0.45445750770390836,False,False
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,1,199,5261804195125951369,15807983502038778776,estimated,0.02926012975697867,2.9722668141728326,0.004649527507001128,0.01,0.3661213594329194,0.11762304523932315,0.6146196736265157,True,True
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,2,199,14532815261858416349,17035230486987463434,estimated,0.02794824847300198,3.2906986031881895,0.0019001838832122587,0.02,0.3741233115031202,0.14726721807202203,0.6009794049342184,True,True
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,3,199,9068119657160003923,8349314607679190138,estimated,0.006691721848070039,0.4790241799081605,0.6341426780496179,0.655,0.08287522789948248,-0.2577477900259369,0.42349824582490186,False,False
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,4,199,17808331698245724925,8218049152629414112,estimated,0.018652430569037277,1.7937956321461157,0.07928046178360466,0.065,0.1793915203134451,-0.023893342691962194,0.3826763833188524,False,False
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,5,199,5885741814904915241,2939097327109729024,estimated,0.030431900881070728,3.2683818610037307,0.0020262076197928654,0.01,0.3435685570647641,0.14113583260933696,0.5460012815201912,True,True
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,6,199,17936476646594840170,15598771772312644307,estimated,0.01248555882398516,1.295709949694423,0.20140292861479317,0.21,0.14762149566909485,-0.08212343727659374,0.3773664286147834,False,False
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,7,199,5261480325926354463,10513050983698097674,estimated,0.03084728835209845,2.6347219570515223,0.011367919616029062,0.02,0.3266004290751214,0.11389091517299402,0.5393099429772488,True,True
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,8,199,10006701081576460138,9358104194914112677,estimated,0.007685732350372084,0.8955522685445841,0.37505577271952145,0.4,0.09189366730246482,-0.11144178241019431,0.29522911701512394,False,False
mbe3-orthogonal-score-development-v1,image,B1_design,score_additive_d4,heteroskedastic_proxy_null,0.3,0.0,9,199,17782697768016789115,9095057402581116079,estimated,0.038259188992422956,3.2759712847084845,0.001982487072713756,0.005,0.3962429913889378,0.20572368688692508,0.5867622958909505,True,True
