scenario,expected_profile,controls,raw_r,partial_r,legacy_classification,crossfit_residual_r,crossfit_permutation_p,baseline_mse,augmented_mse,delta_mse,relative_mse_improvement,calibration_pass,explanation
null_metric,no-increment,baseline,-0.025889460804057785,-0.029047430479453754,weak-or-mixed,-0.09777762344607263,0.255,0.0200490684424547,0.02005852276949145,-9.454327036747395e-06,-0.0004715594175302171,True,Independent noise should remain null before and after adjustment.
linear_proxy,proxy-washout,baseline,0.889306359184331,-0.013402596715964983,washout,0.020327800541704282,0.82,0.014896200897149325,0.015184712565666121,-0.0002885116685167957,-0.019368137588155646,True,A noisy copy of the baseline should lose its apparent target signal.
nonlinear_proxy,nonlinear-proxy-washout,baseline,0.9424700068611301,0.9420875207345151,survives,-0.12414056531703589,0.14,0.007159898381906615,0.007114922596647305,4.497578525930988e-05,0.006281623405852478,True,A U-shaped proxy exposes the limitation of linear partial ranks.
genuine_increment,increment-survives,baseline,0.7244460123500343,0.8740679803233155,survives,0.8185012848114451,0.005,0.05425596613192174,0.012422794094492295,0.04183317203742944,0.7710335843198027,True,A metric with independent latent signal should improve prediction.
heteroskedastic_null,conditional-null,baseline,-0.10293345259292386,-0.03377235963249829,weak-or-mixed,-0.049531217445655945,0.59,0.007429153753252684,0.0075750865006310834,-0.00014593274737839928,-0.019643253084445315,True,Independent errors share baseline-dependent variance but no conditional signal.
clustered_null,conditional-null,baseline,0.7948119300331389,0.0074768024391506155,washout,0.028578373498159594,0.81,0.018619613974739716,0.019729796799635817,-0.0011101828248961006,-0.05962437386737605,True,Independent configuration-level shocks test grouped folds and inference.
simpson_increment,increment-after-environment-control,"baseline,environment",-0.42707329742582617,0.8037242622139602,sign-inversion,0.8170359052711993,0.005,0.025028119207353202,0.008940227911201148,0.016087891296152054,0.6427926590434918,True,Environment pooling masks a genuine within-environment relationship.
post_treatment_control,estimand-warning,"baseline,mediator",0.8996076655768488,0.018149644840336293,washout,0.0849572887006042,0.295,0.012451359134032499,0.012811156897543523,-0.00035979776351102374,-0.028896264226096546,True,Controlling a mediator removes the total effect by design.
