sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
100,0,null_metric,False,polynomial_ridge,0.99,-0.0016614835709748213,-0.003269085110931169,False,False
100,0,null_metric,False,polynomial_ridge_interactions,0.635,-0.0005688378544827545,-0.0013830664302560153,False,False
100,0,nonlinear_proxy,False,polynomial_ridge,0.18,-0.00030103865835983453,-0.0013898230438606754,False,False
100,0,nonlinear_proxy,False,polynomial_ridge_interactions,0.32,-0.0002380099091900652,-0.0005485504578732704,False,False
100,0,heteroskedastic_null,False,polynomial_ridge,0.57,-0.0005968278176812685,-0.0010701644254668139,False,False
100,0,heteroskedastic_null,False,polynomial_ridge_interactions,0.49,-8.447758108051304e-05,-0.0005691366445861321,False,False
100,0,clustered_null,False,polynomial_ridge,0.345,-0.02762091015968693,-0.09751721120712845,False,False
100,0,clustered_null,False,polynomial_ridge_interactions,0.17,-8.132531756611938e-05,-0.12650916246095073,False,False
100,0,genuine_increment,True,polynomial_ridge,0.005,0.06034990465521098,0.041752527659702776,True,True
100,0,genuine_increment,True,polynomial_ridge_interactions,0.005,0.056382921989643536,0.042458419899256306,True,True
100,1,null_metric,False,polynomial_ridge,0.68,-0.0018398620036289455,-0.005811451106525025,False,False
100,1,null_metric,False,polynomial_ridge_interactions,0.825,-0.0018682115912496099,-0.002535820784960225,False,False
100,1,nonlinear_proxy,False,polynomial_ridge,0.265,0.00014398368728155662,-0.002698189061859152,False,False
100,1,nonlinear_proxy,False,polynomial_ridge_interactions,0.93,-0.00031486596884297384,-0.0008590210047783331,False,False
100,1,heteroskedastic_null,False,polynomial_ridge,0.875,-0.0011657522830071185,-0.002220263650091806,False,False
100,1,heteroskedastic_null,False,polynomial_ridge_interactions,0.67,-0.00032095906152290743,-0.0010002583319770632,False,False
100,1,clustered_null,False,polynomial_ridge,0.47,0.006887365465451163,-0.06625608504461997,False,False
100,1,clustered_null,False,polynomial_ridge_interactions,0.38,-0.00896350107908771,-0.029325473021281034,False,False
100,1,genuine_increment,True,polynomial_ridge,0.005,0.04125360692263893,0.027901356001459963,True,True
100,1,genuine_increment,True,polynomial_ridge_interactions,0.01,0.03836776219747671,0.02747110673918633,True,True
100,2,null_metric,False,polynomial_ridge,0.155,-0.0018857937869190856,-0.0053453802417801595,False,False
100,2,null_metric,False,polynomial_ridge_interactions,0.025,-0.00025273606488718237,-0.002423994272184175,False,False
100,2,nonlinear_proxy,False,polynomial_ridge,0.005,-0.00020625109254680286,-0.0012916394554201456,False,False
100,2,nonlinear_proxy,False,polynomial_ridge_interactions,0.1,0.00025127904138877704,-0.0002282024536774345,False,False
100,2,heteroskedastic_null,False,polynomial_ridge,0.45,-0.0008032185730695515,-0.0026908370856078534,False,False
