protocol_id,design_scope,baseline,scenario,icc,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,partial_rank_slope,supported,positive_supported
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,32,4999,estimated,192,0.531,0.0015739210647473236,0.04606511274331227,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,33,4999,estimated,192,0.1274,-0.004002997498366155,-0.09198440227240388,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,34,4999,estimated,192,0.3906,0.0023913459639327513,0.06545384810825779,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,35,4999,estimated,192,0.782,0.0008219496219502315,0.019312626524604252,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,36,4999,estimated,192,0.8342,0.00057602993120464,0.015463760887886835,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,37,4999,estimated,192,0.6276,0.0015520965465123553,0.02880011279555669,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,38,4999,estimated,192,0.159,-0.003936862303936687,-0.10584348736158922,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,39,4999,estimated,192,0.0364,0.0056251164907731264,0.15117695354420335,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,40,4999,estimated,192,0.9366,-0.00021270520371991763,-0.005556247002755345,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,41,4999,estimated,192,0.4074,0.0023973649735227563,0.05159137287323066,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,42,4999,estimated,192,0.8578,0.0006036917125863017,0.012549951509914758,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,43,4999,estimated,192,0.1544,-0.004005454166246807,-0.09312409366174512,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,44,4999,estimated,192,0.228,0.003599362564820832,0.07656819457141233,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,45,4999,estimated,192,0.426,0.0020816222789705663,0.06074558469385136,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,46,4999,estimated,192,0.0522,0.00526707925554971,0.11965278837960683,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,47,4999,estimated,192,0.632,0.0014511324329178163,0.033151774662720734,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,48,4999,estimated,192,0.3108,0.002410959386810373,0.05380041559400882,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,49,4999,estimated,192,0.288,-0.003623602366557765,-0.08198953172498988,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,50,4999,estimated,192,0.7818,-0.0008927056328498321,-0.021356307832666434,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,51,4999,estimated,192,0.0182,0.007597729885555573,0.19534440219065893,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,52,4999,estimated,192,0.4236,0.002536842726945708,0.04898968862019112,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,53,4999,estimated,192,0.8446,0.000578808251330562,0.013878736750010136,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,54,4999,estimated,192,0.4828,0.0020411438103875947,0.055075686872973394,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,55,4999,estimated,192,0.865,0.0005104156828195316,0.013851956666383817,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,56,4999,estimated,192,0.4886,0.001842443690307077,0.049033161555848276,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,57,4999,estimated,192,0.7536,-0.0009759411792541529,-0.023931141075948122,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,58,4999,estimated,192,0.4734,0.0023508466448846146,0.058113406830926896,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,59,4999,estimated,192,0.159,0.004415576310872284,0.10796642095066482,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,60,4999,estimated,192,0.2644,-0.0032098475410469764,-0.07180268196662443,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,61,4999,estimated,192,0.9184,-0.00030125004177724315,-0.007549130669513451,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,62,4999,estimated,192,0.104,-0.004502131227907839,-0.123561686314336,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,63,4999,estimated,192,0.0276,0.005794766626479282,0.14586678768365702,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,64,4999,estimated,192,0.5642,-0.0017367560644093668,-0.04003709828689661,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,65,4999,estimated,192,0.9152,-0.0003226803650910563,-0.007924704815233522,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,66,4999,estimated,192,0.938,0.0001853705054423272,0.004929082271813803,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,67,4999,estimated,192,0.0884,-0.0049666937915865345,-0.11433444894514762,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,68,4999,estimated,192,0.894,-0.000371123111761278,-0.0092969807135083,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,69,4999,estimated,192,0.0756,0.004982420585106818,0.12024102077667789,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,70,4999,estimated,192,0.3098,0.0027115568006354836,0.07164926467323324,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,71,4999,estimated,192,0.7136,0.0010792898995669376,0.028741532184569204,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,72,4999,estimated,192,0.8238,0.0006208327694633407,0.014001879953468091,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,73,4999,estimated,192,0.7964,-0.0006618026262183628,-0.019272156810655288,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,74,4999,estimated,192,0.73,0.0008893144830172252,0.022870654963542854,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,75,4999,estimated,192,0.0972,-0.005555150071365779,-0.1027698027105115,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,76,4999,estimated,192,0.4424,-0.002175628201392174,-0.04974140935192739,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,77,4999,estimated,192,0.3102,0.002833000193891493,0.07740841012306367,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,78,4999,estimated,192,0.8702,0.0004636763066420352,0.010499972276374274,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,79,4999,estimated,192,0.7212,-0.000944458275817239,-0.02140275205030459,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,80,4999,estimated,192,0.9316,-0.000265671960247288,-0.006263591915807466,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,81,4999,estimated,192,0.0702,-0.004565726945715574,-0.13636320602571445,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,82,4999,estimated,192,0.1326,-0.004662080471492408,-0.10879721259398373,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,83,4999,estimated,192,0.387,-0.002461253816458889,-0.06721973702843752,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,84,4999,estimated,192,0.1844,-0.0035689881043706796,-0.10642462657394514,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,85,4999,estimated,192,0.3146,-0.0032551984362022396,-0.07371794309060209,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,86,4999,estimated,192,0.997,1.2112128622757297e-05,0.0002556508871431542,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,87,4999,estimated,192,0.2302,-0.004096424110000698,-0.08608261177171907,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,88,4999,estimated,192,0.402,0.0025040552281538867,0.06188624863901061,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,89,4999,estimated,192,0.2224,0.004172664167492066,0.08309783676392364,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,90,4999,estimated,192,0.3792,-0.0026484507964295596,-0.06391842354531868,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,91,4999,estimated,192,0.1308,0.004869618363277482,0.09666856736664027,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,92,4999,estimated,192,0.7464,-0.0009941754158209273,-0.023929089610153227,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,93,4999,estimated,192,0.1292,0.004249500909736047,0.1050163195089432,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,94,4999,estimated,192,0.165,-0.0041217926691664636,-0.08903946655210275,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,95,4999,estimated,192,0.6184,-0.001720913605005915,-0.03643747802767992,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,96,4999,estimated,192,0.8844,0.0003679970551907358,0.010786653341703221,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,97,4999,estimated,192,0.45,0.0022641500947651032,0.05286200038490937,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,98,4999,estimated,192,0.129,-0.004129768778258979,-0.10140079722339858,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.3,0.0,99,4999,estimated,192,0.6248,-0.001364425063240066,-0.03439730122160388,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,0,4999,estimated,192,0.5636,0.0023200985904485894,0.03742940058637345,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,1,4999,estimated,192,0.9032,0.0004469922244785824,0.006940233287327093,False,False
mbe3-orthogonal-confirmation-192-v1,image,B1_design,additive_proxy_null,0.8,0.0,2,4999,estimated,192,0.0224,0.008805217574382329,0.12947413163734584,False,False
