reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,degree,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,9,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321169756,3029269756,polynomial_ridge,estimated,-0.00036627929854370425,0.05,-0.0009029175498809601,0.0009532455457843418,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,9,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321169756,3029269756,polynomial_ridge_interactions,estimated,-0.0004671140684561147,0.3,-0.028105647361432846,0.000618291423502728,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,10,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321269759,3030269759,polynomial_ridge,estimated,-0.00014338756661728307,0.27,-0.0011817409132243999,0.0006405528009589655,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,10,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321269759,3030269759,polynomial_ridge_interactions,estimated,-0.0005559527631906281,0.08,-0.03169213737494037,0.0013306658289762136,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,11,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321369762,3031269762,polynomial_ridge,estimated,-0.00021709034013041978,0.53,-0.0012300579146147996,0.0007849036261628553,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,11,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321369762,3031269762,polynomial_ridge_interactions,estimated,-0.0005597632166805021,0.09,-0.0224976036592046,0.0018706999811999344,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,12,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321469765,3032269765,polynomial_ridge,estimated,-0.0001778111419421199,0.29,-0.0017410899624456279,0.000804680419524631,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,12,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321469765,3032269765,polynomial_ridge_interactions,estimated,-0.0005751985772027319,0.68,-0.027304990243897834,0.0009353515034025142,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,13,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321569768,3033269768,polynomial_ridge,estimated,-6.059578807142505e-05,0.55,-0.0014427731494702696,0.0009811700388149213,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,13,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321569768,3033269768,polynomial_ridge_interactions,estimated,-0.0006013863141412748,0.02,-0.0200383329316258,0.004774876887207023,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,14,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321669771,3034269771,polynomial_ridge,estimated,-0.0002332941772530191,0.73,-0.0013114085713153197,0.0006945284753301547,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,14,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321669771,3034269771,polynomial_ridge_interactions,estimated,-0.00026114257682636425,0.19,-0.016768441324950322,0.0008053281846593135,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,15,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321769774,3035269774,polynomial_ridge,estimated,-0.0002203293618462097,0.2,-0.0013255984473016322,0.000992406041077402,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,15,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321769774,3035269774,polynomial_ridge_interactions,estimated,-0.00034677425235923463,0.38,-0.022848268113642576,0.0007104676049285252,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,16,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321869777,3036269777,polynomial_ridge,estimated,1.2108784820677454e-05,0.19,-0.0009845184779473104,0.0005410581030648116,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,16,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321869777,3036269777,polynomial_ridge_interactions,estimated,0.000249452964854964,0.43,-0.022216913910924584,0.0017584065430674466,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,17,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321969780,3037269780,polynomial_ridge,estimated,-2.5538328367866615e-05,0.63,-0.0010114608613961797,0.000871906992935684,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,17,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,321969780,3037269780,polynomial_ridge_interactions,estimated,-0.000952571720236717,0.82,-0.0225566042864805,0.0015427680496260105,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,18,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322069783,3038269783,polynomial_ridge,estimated,-6.915860265352706e-05,0.37,-0.0011955602464284515,0.0006868524283371583,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,18,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322069783,3038269783,polynomial_ridge_interactions,estimated,-0.0004159081280983904,0.07,-0.008949810573166865,0.0009693442453235805,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,19,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322169786,3039269786,polynomial_ridge,estimated,0.00014613858357555385,0.03,-0.000818390349704594,0.0010957514295221462,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,19,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322169786,3039269786,polynomial_ridge_interactions,estimated,-0.001483924002793101,0.23,-0.016777918468665155,0.0017781400228191878,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,20,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322269789,3040269789,polynomial_ridge,estimated,7.717539598809438e-05,0.99,-0.0007899179765121902,0.0010807465792943803,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,20,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322269789,3040269789,polynomial_ridge_interactions,estimated,-0.0009876840481211533,0.85,-0.02700769926255744,0.0007006147480975669,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,21,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322369792,3041269792,polynomial_ridge,estimated,-3.841822752375344e-05,0.17,-0.0011773093646242395,0.000784081250008388,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,21,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322369792,3041269792,polynomial_ridge_interactions,estimated,-0.00011047982064918416,0.09,-0.01923246108897651,0.002678543143750108,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,22,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322469795,3042269795,polynomial_ridge,estimated,-0.00023341105957784092,0.69,-0.0014298397821420567,0.0006415947365645721,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,22,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322469795,3042269795,polynomial_ridge_interactions,estimated,-0.00021633964173236762,0.01,-0.02294438711733245,0.0006305216134134932,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,23,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322569798,3043269798,polynomial_ridge,estimated,-0.00021412588775787146,0.54,-0.0012711333258804546,0.0007692110077347059,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,23,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322569798,3043269798,polynomial_ridge_interactions,estimated,-0.00266492596276221,0.02,-0.03864964590002453,0.0010938325111361754,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,24,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322669801,3044269801,polynomial_ridge,estimated,-0.00011892097589238037,0.39,-0.001097101904762281,0.0006005035031642293,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,24,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,2,322669801,3044269801,polynomial_ridge_interactions,estimated,-0.001456435365605119,0.95,-0.02176443588130837,0.0008066413174928888,False,False
