reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,degree,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320269729,3020269729,polynomial_ridge,estimated,6.79717309486226e-05,0.08,-0.0006329092331498909,0.0010561890471935224,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,0,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320269729,3020269729,polynomial_ridge_interactions,estimated,-0.0007699850839361813,1.0,-0.018840600795409224,0.000972773608675238,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320369732,3021269732,polynomial_ridge,estimated,-0.0005552814093229474,0.41,-0.000366404373073198,0.000852356177363238,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,1,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320369732,3021269732,polynomial_ridge_interactions,estimated,-9.016368778405094e-06,0.33,-0.01607333412608426,0.0009630598489033365,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320469735,3022269735,polynomial_ridge,estimated,0.00011020051046000366,0.13,-0.0006356162326186456,0.000933883389350095,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,2,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320469735,3022269735,polynomial_ridge_interactions,estimated,-0.0009521187822707335,0.68,-0.011435539609756835,0.00044761925464247487,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320569738,3023269738,polynomial_ridge,estimated,-0.00019280626208164437,0.45,-0.0005518514638040766,0.0005750598552033985,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,3,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320569738,3023269738,polynomial_ridge_interactions,estimated,-0.0006616739191289407,0.08,-0.019259448506297135,0.0007864113255797202,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320669741,3024269741,polynomial_ridge,estimated,0.00018052543252995972,0.04,-0.0005664208382960524,0.0007478274722046324,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,4,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320669741,3024269741,polynomial_ridge_interactions,estimated,-0.000536759062368267,0.26,-0.01419568803130163,0.0013775927500094412,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,5,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320769744,3025269744,polynomial_ridge,estimated,-0.00015677148019793696,0.5,-0.0005388881760983982,0.0005397922553825032,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,5,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320769744,3025269744,polynomial_ridge_interactions,estimated,-0.0006984943331589271,0.05,-0.014585638011605666,0.0010385662977305833,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,6,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320869747,3026269747,polynomial_ridge,estimated,-6.334602295220192e-06,0.4,-0.0005948335360970142,0.0004513101348135916,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,6,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320869747,3026269747,polynomial_ridge_interactions,estimated,-0.0004930043955023097,0.84,-0.010232524709780944,0.0015596595316505824,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,7,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320969750,3027269750,polynomial_ridge,estimated,-0.00014613632879955252,0.79,-0.000448838594750393,0.0004399400979135917,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,7,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,320969750,3027269750,polynomial_ridge_interactions,estimated,-0.0011339496601140407,0.87,-0.012003397671400564,0.0011473724422628308,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,8,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,321069753,3028269753,polynomial_ridge,estimated,-6.434116897735868e-05,0.9,-0.000519627425616816,0.0006780327140772679,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,8,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,1,321069753,3028269753,polynomial_ridge_interactions,estimated,3.1342575820206796e-05,0.71,-0.011820361374273225,0.0015646044263802985,False,False
