reliability_tier,quantile,source_metric,icc,baseline,beta,repetition,csv,refit_bootstrap,permutations,simulation_seed,analysis_seed,nuisance_model,status,delta_mse,residual_p,refit_delta_mse_ci_low,refit_delta_mse_ci_high,predictive_supported,joint_supported
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,9,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321169756,3029269756,polynomial_ridge_interactions,estimated,-0.0004670707453955738,0.3,-0.02810999303058152,0.0006175656926326751,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,10,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321269759,3030269759,polynomial_ridge,estimated,-0.0004729824943910839,0.27,-0.0023661833692566604,0.0006408307831489773,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,10,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321269759,3030269759,polynomial_ridge_interactions,estimated,-0.0005556240220747958,0.08,-0.03175236909479683,0.0013294528944620945,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,11,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321369762,3031269762,polynomial_ridge,estimated,-0.0008931548655464366,0.53,-0.002666295459260862,0.0012992296879821385,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,11,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321369762,3031269762,polynomial_ridge_interactions,estimated,-0.0005602474875771486,0.09,-0.022693332409763803,0.0018702789139569502,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,12,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321469765,3032269765,polynomial_ridge,estimated,-0.0005498232416997835,0.29,-0.0026294439270063375,0.0012375176333726807,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,12,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321469765,3032269765,polynomial_ridge_interactions,estimated,-0.000575337062460043,0.68,-0.027331403616575736,0.0009359529536551794,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,13,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321569768,3033269768,polynomial_ridge,estimated,-0.00042957974288373264,0.55,-0.002818264194868989,0.0011876188846392693,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,13,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321569768,3033269768,polynomial_ridge_interactions,estimated,-0.0006013753977216999,0.02,-0.02015171216081447,0.004772272974687153,False,False
high,0.9,distance_from_initialization_l2,0.99,B1_design,0.0,14,/home/codex/mbe/experiments/15_causal_text_factorial_replication/kaggle_downloads/v1/mbe2_causal_text_factorial_replication.csv,199,99,321669771,3034269771,polynomial_ridge,estimated,-0.0006575370535050918,0.73,-0.002177191977263842,0.0010426309727404233,False,False
