scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,status,n_groups,stable_positive,positive_split_count,maximum_orthogonal_wild_p,minimum_orthogonal_score_mean
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,0,999,estimated,48,False,1,0.063,0.026844509913211117
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,1,999,estimated,48,False,0,0.68,-0.008226442832529731
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,2,999,estimated,48,False,1,0.269,0.010723521752659374
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,3,999,estimated,48,False,1,0.818,0.003048785011572727
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,4,999,estimated,48,False,0,0.714,-0.006292053073694207
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,5,999,estimated,48,False,0,0.663,0.005028126574412993
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,6,999,estimated,48,False,0,0.425,-0.021753705356639712
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,7,999,estimated,48,False,2,0.098,0.01376227807024904
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,8,999,estimated,48,False,1,0.045,0.027581610284252666
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,9,999,estimated,48,False,0,0.873,-0.017655752928637317
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,10,999,estimated,48,False,0,0.616,0.009498965221243086
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,11,999,estimated,48,False,0,0.734,0.0033097923778679563
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,12,999,estimated,48,False,0,0.79,-0.03581641149613062
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,13,999,estimated,48,False,0,0.52,-0.007191890118608203
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,14,999,estimated,48,False,1,0.027,0.021304306806285155
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,15,999,estimated,48,False,0,0.778,-0.004144696786629384
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,16,999,estimated,48,False,0,0.549,-0.01960965914143344
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,17,999,estimated,48,False,0,0.691,0.0033779043651956833
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,18,999,estimated,48,False,0,0.414,-0.02897404501965953
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.3,0.0,19,999,estimated,48,False,0,0.388,-0.035132236962656264
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,0,999,estimated,48,False,0,0.77,-0.02649300794403135
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,1,999,estimated,48,False,0,0.842,-0.018038283045248005
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,2,999,estimated,48,False,0,0.3,-0.020558950619810522
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,3,999,estimated,48,True,3,0.009,0.02727539244316998
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,4,999,estimated,48,False,1,0.052,0.030513243706219027
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,5,999,estimated,48,False,0,0.995,-0.014950327518582085
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,6,999,estimated,48,False,0,0.579,-0.018837721197970097
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,7,999,estimated,48,False,0,0.592,0.00932783932458147
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,8,999,estimated,48,False,0,0.543,0.011420106470604813
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,9,999,estimated,48,False,0,0.827,-0.02055658057973345
image48,B1_design,d2_r01_repeat3_a01,heteroskedastic_proxy_null,0.8,0.0,10,999,estimated,48,False,1,0.03,0.029341668593299734
