protocol_id,scope,baseline,candidate_id,scenario,icc,beta,repetition,wild_draws,simulation_seed,analysis_seed,status,orthogonal_score_mean,orthogonal_score_t,orthogonal_student_p,orthogonal_wild_p,partial_rank_slope,partial_rank_slope_ci_low,partial_rank_slope_ci_high,supported,positive_supported
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,additive_proxy_null,0.8,0.0,8,999,1390484471129516964,3242643704121191139,estimated,0.0042489860016730425,0.6765407448980066,0.5020134672946543,0.499,0.052186089402635465,-0.10323600692234283,0.20760818572761378,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,additive_proxy_null,0.8,0.0,9,999,4905614814566898537,12117644384496371212,estimated,0.007763195640064689,0.9280664929586795,0.35811488330897273,0.354,0.11682847000552551,-0.12421841456281313,0.35787535457386416,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,0,999,16919214391400699802,17089734406594010852,estimated,0.02696745001359266,2.609795732100776,0.012114633435495483,0.013,0.33880271830974545,0.1009883942862082,0.5766170423332827,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,1,999,2499204436429527,8025728851498510432,estimated,0.03862508382787449,3.901009703683037,0.0003037649856207567,0.001,0.6346963526733993,0.40066749775880683,0.8687252075879918,True,True
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,2,999,139753601343472789,13988583591602552518,estimated,0.015823938382292596,2.234495432258518,0.030243840712213216,0.036,0.25576697153493416,0.014752061092870444,0.4967818819769979,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,3,999,6388128823365165934,15465082886416088523,estimated,0.019046160607398156,1.7582985295197306,0.08520716670443072,0.069,0.32551261329731945,-0.03418753324124796,0.6852127598358868,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,4,999,7960155579830959987,9489574290038715118,estimated,0.021056911946995587,2.3259931910731058,0.024383156907973165,0.022,0.36120904955140376,0.10125520549598083,0.6211628936068267,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,5,999,13050048136089847362,15042772987361474140,estimated,0.035041272019055165,2.872521051088176,0.006092637765827668,0.003,0.3955253887178404,0.17747020540578323,0.6135805720298975,True,True
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,6,999,8168785345552517167,6874931126107099465,estimated,0.0299075302835044,3.3250829177586008,0.0017204542240732569,0.003,0.4503774446779599,0.1796634881171299,0.7210914012387899,True,True
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,7,999,17460417250764222148,13035376609964716610,estimated,0.026220466373139076,2.6738346661330503,0.010280837138497962,0.008,0.34286333754375414,0.10061797341839865,0.5851087016691097,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,8,999,6007153630997106425,10044738076001703355,estimated,0.017591859970726362,1.674891805017703,0.10059766246232882,0.093,0.33105336239838073,-0.03533731482603897,0.6974440396228004,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.3,0.0,9,999,10243187059015093457,17263535483091347447,estimated,0.007960492291197394,0.9506940873214242,0.34662311488809017,0.345,0.11075931600235078,-0.11838223733324593,0.3399008693379475,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,0,999,219580121885537019,11784865773791719581,estimated,0.01451966088052987,1.4238672823321379,0.16109032040470048,0.166,0.2255384070244665,-0.07949455570742833,0.5305713697563613,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,1,999,11807709323457715592,12867388088323652445,estimated,0.030588318832684605,1.9785720324849312,0.053741366200761274,0.062,0.32207391530380186,0.036692892233680496,0.6074549383739232,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,2,999,10835613616844363008,986099313170720093,estimated,0.014388216864965766,1.3360676861744778,0.18796043539197996,0.181,0.2255767330384444,-0.09021780974263965,0.5413712758195284,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,3,999,14506682704459496585,13260344425497960954,estimated,0.009651254997547085,0.8609527026069638,0.3936350913547581,0.41,0.11853185326523977,-0.1512834832201311,0.38834718975061067,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,4,999,8614691366006422475,10786253604198154422,estimated,0.0029221949169374716,0.4102268704679557,0.6835035806572555,0.672,0.03837025554453655,-0.14869082081129215,0.22543133190036524,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,5,999,13249401815055016725,17610703849249903156,estimated,0.02833573720588482,2.6536404655078907,0.010829587585671784,0.013,0.35024044683929256,0.10970919846570387,0.5907716952128812,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,6,999,2987832863233382708,374026621531924546,estimated,0.01886455938657312,1.5238426306965729,0.1342490346876432,0.144,0.20641952098370342,-0.07701142183021592,0.48985046379762276,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,7,999,68108083396972696,3987477423425367155,estimated,0.02881674660409625,2.8814156486742513,0.0059487393627292605,0.004,0.41768931540717724,0.13960206474933412,0.6957765660650204,True,True
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,8,999,5259006939226780026,18337521086843336387,estimated,0.027470004826214544,2.312797688603699,0.025160343524006937,0.027,0.29560528229740674,0.013535527453607699,0.5776750371412058,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,heteroskedastic_proxy_null,0.8,0.0,9,999,17543471619037682908,16294487530599441446,estimated,0.021334573703903403,2.183187400295474,0.034050402465910026,0.036,0.30647222456886797,0.019974470805976696,0.5929699783317592,False,False
mbe3-orthogonal-score-development-v2,image,B1_design,configmean_additive_d4_r01,independent_null,0.3,0.0,0,999,12693837376578445637,7985698475168267868,estimated,0.00010221526003316671,0.008084950617373727,0.9935834335198656,0.989,0.0009803834220598344,-0.242971281179209,0.24493204802332866,False,False
