scenario,expected_profile,expected_signal,n,polynomial_degree,nuisance_model,legacy_partial_reject_rate,legacy_partial_reject_ci_low,legacy_partial_reject_ci_high,crossfit_residual_reject_rate,crossfit_residual_reject_ci_low,crossfit_residual_reject_ci_high,joint_increment_decision_rate,joint_increment_decision_ci_low,joint_increment_decision_ci_high,profile_pass_rate,profile_pass_ci_low,profile_pass_ci_high,repetitions,median_residual_r,median_delta_mse,median_relative_mse_improvement
clustered_null,conditional-null,False,100,3,polynomial_ridge,0.4,0.3094012864324589,0.4979974132089382,0.11,0.06254196357064568,0.18631296503080313,0.0,3.469446951953614e-18,0.03699349820698568,0.99,0.9455138038212946,0.9982325679358593,100,0.0838500002126609,-0.00402360229422179,-0.16770662844970657
clustered_null,conditional-null,False,200,3,polynomial_ridge,0.36,0.2727122040140433,0.4576459754839126,0.11,0.06254196357064568,0.18631296503080313,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.07739212007504692,-0.001063647877957998,-0.053417161450860555
clustered_null,conditional-null,False,400,3,polynomial_ridge,0.34,0.25461520797348164,0.43722271145275377,0.04,0.01566330399154762,0.0983707143588792,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.008391936240037506,-0.0006864563673723983,-0.03710933281324624
clustered_null,conditional-null,False,800,3,polynomial_ridge,0.35,0.26364248243097527,0.44745556703112027,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,0.009548224540021095,-0.0003467998593820569,-0.019719262949964157
genuine_increment,increment-survives,True,100,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8278195488721805,0.04177025276862684,0.722179012525217
genuine_increment,increment-survives,True,200,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.852626641651032,0.042126393073662255,0.748199953642194
genuine_increment,increment-survives,True,400,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.8623769338959213,0.0413397267623841,0.7507241229641032
genuine_increment,increment-survives,True,800,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.852270596507676,0.041064148746564375,0.7565219180565337
heteroskedastic_null,conditional-null,False,100,3,polynomial_ridge,0.2,0.1333669333310325,0.2888291655931589,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.04285714285714286,-0.0001633148301357903,-0.014071787280848548
heteroskedastic_null,conditional-null,False,200,3,polynomial_ridge,0.23,0.15843265880303448,0.3215438302287378,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.010600375234521578,0.0002671269948213697,0.023941037618833722
heteroskedastic_null,conditional-null,False,400,3,polynomial_ridge,0.36,0.2727122040140433,0.4576459754839126,0.02,0.00550196755016235,0.07001179072854388,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.9630065017930143,1.0,100,-0.054442100328176285,0.0003000479235493606,0.027627113726940745
heteroskedastic_null,conditional-null,False,800,3,polynomial_ridge,0.56,0.4622810465167699,0.6532797336983921,0.16,0.10095288488804782,0.24420269389270244,0.14,0.08526343659939134,0.22137188210963837,1.0,0.9630065017930143,1.0,100,-0.07545704910348061,0.00044439060238199,0.040400265242088465
linear_proxy,proxy-washout,False,100,3,polynomial_ridge,0.11,0.06254196357064568,0.18631296503080313,0.1,0.0552291370606751,0.17436566150491345,0.0,3.469446951953614e-18,0.03699349820698568,0.46,0.36560808309024106,0.5573513967663177,100,0.0744360902255639,-0.0005896782308845109,-0.03563857447459001
linear_proxy,proxy-washout,False,200,3,polynomial_ridge,0.05,0.02154367915436796,0.11175046923191913,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,0.61,0.5120301704584073,0.6998312599360558,100,0.007786116322701689,-0.0002957529178927009,-0.019038346283259656
linear_proxy,proxy-washout,False,400,3,polynomial_ridge,0.1,0.0552291370606751,0.17436566150491345,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,0.88,0.8018790057328857,0.9300059356298052,100,0.01581106422878575,-0.0001658735441971721,-0.010525197973183754
linear_proxy,proxy-washout,False,800,3,polynomial_ridge,0.06,0.027786123963188192,0.1247681544589592,0.04,0.01566330399154762,0.0983707143588792,0.0,3.469446951953614e-18,0.03699349820698568,0.96,0.9016292856411208,0.9843366960084523,100,-0.0003794093519278097,-6.854754121328552e-05,-0.004592674272022926
nonlinear_proxy,nonlinear-proxy-washout,False,100,3,polynomial_ridge,1.0,0.9630065017930143,1.0,0.5,0.4038315303659956,0.5961684696340044,0.43,0.33733298524110106,0.5278461045078768,0.11,0.06254196357064568,0.18631296503080313,100,0.45037593984962404,0.002428916425035856,0.2360276282637751
nonlinear_proxy,nonlinear-proxy-washout,False,200,3,polynomial_ridge,1.0,0.9630065017930143,1.0,0.74,0.6462901055081282,0.8159530153525186,0.74,0.6462901055081282,0.8159530153525186,0.02,0.00550196755016235,0.07001179072854388,100,0.4118198874296436,0.0025649631470782653,0.2683566227079608
nonlinear_proxy,nonlinear-proxy-washout,False,400,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.0,3.469446951953614e-18,0.03699349820698568,100,0.47298406000937654,0.00264834214065116,0.2879770913598829
nonlinear_proxy,nonlinear-proxy-washout,False,800,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,0.0,3.469446951953614e-18,0.03699349820698568,100,0.4650401382866518,0.002759991710107515,0.3051095669745548
null_metric,no-increment,False,100,3,polynomial_ridge,0.08,0.041093461484380624,0.14998107700948735,0.04,0.01566330399154762,0.0983707143588792,0.0,3.469446951953614e-18,0.03699349820698568,0.46,0.36560808309024106,0.5573513967663177,100,-0.012030075187969924,-0.0008328814842341291,-0.03848628525134884
null_metric,no-increment,False,200,3,polynomial_ridge,0.11,0.06254196357064568,0.18631296503080313,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.6,0.5020025867910618,0.6905987135675411,100,-0.02476547842401501,-0.0004043128078670393,-0.019664994251414936
null_metric,no-increment,False,400,3,polynomial_ridge,0.06,0.027786123963188192,0.1247681544589592,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,0.83,0.7445199523239887,0.8910643388594006,100,0.03157524613220816,-0.00019045291536988994,-0.009191606262934412
null_metric,no-increment,False,800,3,polynomial_ridge,0.05,0.02154367915436796,0.11175046923191913,0.05,0.02154367915436796,0.11175046923191913,0.0,3.469446951953614e-18,0.03699349820698568,0.94,0.8752318455410406,0.9722138760368118,100,-0.007490038673385679,-9.632047147914262e-05,-0.004459203914695816
post_treatment_control,estimand-warning,False,100,3,polynomial_ridge,0.05,0.02154367915436796,0.11175046923191913,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.42,0.3279838267435473,0.5179351329695703,100,-0.03984962406015037,-0.0006096553010260528,-0.04672047089313672
post_treatment_control,estimand-warning,False,200,3,polynomial_ridge,0.1,0.0552291370606751,0.17436566150491345,0.07,0.03431926106727268,0.137495147390735,0.0,3.469446951953614e-18,0.03699349820698568,0.57,0.47215389549212305,0.6626670147588988,100,0.03424015009380863,-0.00017415106485971395,-0.01730323624860791
post_treatment_control,estimand-warning,False,400,3,polynomial_ridge,0.06,0.027786123963188192,0.1247681544589592,0.06,0.027786123963188192,0.1247681544589592,0.0,3.469446951953614e-18,0.03699349820698568,0.78,0.6892964648501421,0.8499871761539459,100,-0.0024027191748710736,-0.0001078502879453833,-0.010113500350932426
post_treatment_control,estimand-warning,False,800,3,polynomial_ridge,0.05,0.02154367915436796,0.11175046923191913,0.03,0.010254524024038925,0.0845193642905276,0.0,3.469446951953614e-18,0.03699349820698568,0.95,0.8882495307680808,0.9784563208456319,100,0.015510371498886677,-5.545023170951558e-05,-0.005251701242219553
simpson_increment,increment-after-environment-control,True,100,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.7819548872180451,0.017008170577879463,0.6626362001375692
simpson_increment,increment-after-environment-control,True,200,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.7840525328330208,0.016725669366491912,0.6711625203192131
simpson_increment,increment-after-environment-control,True,400,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.7988045007032349,0.016864404169042536,0.6825206447419764
simpson_increment,increment-after-environment-control,True,800,3,polynomial_ridge,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,1.0,0.9630065017930143,1.0,100,0.7982772764561116,0.01665769876382186,0.6837099863308935
