study_id,scope,baseline_level,metric,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_init_main,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2522302191791605,0.5123579696657682,sign-inversion,0.5213612498712588,0.5205881205881207,0.001,0.4749966353102865,0.5624569155036542,0.01732003866221104,0.008046688635697102,0.009273350026513937,0.008255478750547166,0.010285635934528583,0.5354116239212898,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_init_main_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.29307729037208957,0.35643101935565,sign-inversion,0.38485417912952974,0.37442108642108646,0.001,0.3222741245669771,0.424757685654463,0.01729180838053795,0.007609599974910884,0.009682208405627068,0.008630587464626832,0.010633221283071467,0.5599303550300997,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_orig_main,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.25314009934646137,0.4667905665861149,sign-inversion,0.4867403691665503,0.48721861921861925,0.001,0.4407580832455861,0.5317509206736101,0.01727528802119082,0.007996797457020855,0.009278490564169965,0.00824583874842002,0.010211977871521491,0.5370961429290474,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_spec_orig_main_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.29357516342160084,0.34373573546289354,sign-inversion,0.36982295462353354,0.3593791313791314,0.001,0.3106398939916624,0.4064636528217958,0.017352678252154953,0.007425096560186554,0.009927581691968399,0.008845874979805764,0.011042659014322711,0.5721065963252985,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_fro,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5779416955322724,0.38089633271167034,survives,0.2668732974307764,0.2801169281169281,0.001,0.22492792542354195,0.33930640877057533,0.017398551955254714,0.015848924329014864,0.0015496276262398495,0.0008777758031731779,0.0022509285334452057,0.08906647117674817,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_fro_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.548223564701861,0.32991147540730315,survives,0.2559033500112339,0.26811698811698814,0.001,0.20961384661065025,0.32166859316359236,0.01745980304908065,0.016083242770911513,0.001376560278169136,0.0006520246790013164,0.0019896938992055102,0.0788416841988157,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6295547817734444,0.5680429008950925,survives,0.5187330270979744,0.5158778038778039,0.001,0.4666223769009116,0.5651258757411458,0.017152780949375893,0.012175925047855713,0.00497685590152018,0.004055257870792452,0.005886946028333604,0.2901486304878897,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6099080962904855,0.5221451131118255,survives,0.40679533771701853,0.3970710250710251,0.001,0.3444023400478988,0.4534353158404547,0.01742791830675149,0.014278680307167679,0.0031492379995838107,0.002329611217864346,0.004053274676727728,0.1807007551994211,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec_over_margin,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6030874311609701,0.5444996150857382,survives,0.45612914664830084,0.4493749253749254,0.001,0.3969705899424044,0.4976996128653082,0.017352931134815463,0.013634507806509084,0.003718423328306379,0.0027087722098360426,0.0046290321807106955,0.2142821463081846,0.0010666666666666667,increment-supported
dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,complexity.log_sum_of_spec_over_margin_fft,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5866170706709996,0.4989684531058254,survives,0.3378153235946464,0.32512784512784515,0.001,0.26846819463936417,0.38337764908259403,0.017497222232185167,0.015266019674153988,0.0022312025580311784,0.0014830209071641928,0.003021471055919441,0.12751752983550757,0.0010666666666666667,increment-supported
