hyperparameter,metric,environments,mean_sign_error,p90_sign_error,max_sign_error,study_id,scope,baseline_level,target,controls,nuisance_model,n,independence_units,raw_r,partial_r,legacy_classification,crossfit_run_residual_r,crossfit_residual_r,crossfit_permutation_p,crossfit_residual_ci_low,crossfit_residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,crossfit_permutation_q,increment_classification,source_mean_rank,mbe_abs_residual_rank,rank_gap
all,complexity.log_prod_of_fro_over_margin,9242,0.2985612895419191,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394629240766723,0.2114498004913294,sign-inversion,0.3427681978123994,0.3501381501381501,0.001,0.2947854339425573,0.4032230161133732,0.0178145945237345,0.0124772752934119,0.0053373192303225,0.0042492249571572,0.0064559377007661,0.2996037447392723,0.0010666666666666,increment-supported,11.0,11.0,0.0
all,complexity.log_prod_of_fro,9242,0.3013325887147912,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2394205805668255,0.1956547103741831,weak-or-mixed,0.3305608899012074,0.3383608703608703,0.001,0.2801841454621602,0.3956508717750419,0.0174193417803828,0.0120759070704261,0.0053434347099567,0.0041519723037711,0.0066461720230958,0.3067529633050964,0.0010666666666666,increment-supported,12.0,14.0,2.0
all,complexity.log_sum_of_spec_fft,9242,0.3034099729786785,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6099080962904855,0.5221451131118255,survives,0.4067953377170185,0.3970710250710251,0.001,0.3444023400478988,0.4534353158404547,0.0174279183067514,0.0142786803071676,0.0031492379995838,0.0023296112178643,0.0040532746767277,0.1807007551994211,0.0010666666666666,increment-supported,13.0,8.0,5.0
all,complexity.fro_over_spec_fft,9242,0.3115166531408697,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3724917093612143,-0.3426378525283007,reverse-inversion,-0.1534122550092748,-0.1425357225357225,0.001,-0.2036460564436004,-0.079353107667861,0.0173742213551094,0.0169609097304709,0.0004133116246384,-5.446403825987862e-05,0.0008695777840503,0.0237887854765308,0.0010666666666666,residual-dependence-only,14.0,22.0,8.0
all,complexity.inverse_margin,9242,0.3295665667220577,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.6156671101206138,0.056217168058167,washout,0.0798678075626736,0.0895348495348495,0.002,0.0257376185530674,0.1496893638677311,0.0174256268430287,0.0174515167577923,-2.5889914763665284e-05,-0.0002021370249873,0.0001516528374855,-0.0014857379305136,0.0020645161290322,residual-dependence-only,15.0,23.0,8.0
all,complexity.log_sum_of_spec_over_margin_fft,9242,0.334899800339012,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5866170706709996,0.4989684531058254,survives,0.3378153235946464,0.3251278451278451,0.001,0.2684681946393641,0.383377649082594,0.0174972222321851,0.0152660196741539,0.0022312025580311,0.0014830209071641,0.0030214710559194,0.1275175298355075,0.0010666666666666,increment-supported,16.0,16.0,0.0
all,complexity.dist_spec_init_fft,9242,0.3745780861927532,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.5891697483643795,0.5805752180312329,survives,0.4682200593945126,0.4629475509475509,0.001,0.4013121849029376,0.5203308840038678,0.0173855606884731,0.0095862432766766,0.0077993174117964,0.0064779752128101,0.0089859666746309,0.4486089089417481,0.0010666666666666,increment-supported,17.0,7.0,10.0
all,complexity.pacbayes_mag_orig,9242,0.4070617087984375,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.2717056344455159,-0.0394775400285104,washout,0.1593640227470289,0.1562901002901003,0.001,0.0986134820684418,0.2161966289446923,0.0176716631172748,0.0163654057181074,0.0013062573991673,0.0005874032518722,0.0019790577257363,0.0739181926736964,0.0010666666666666,increment-supported,18.0,21.0,3.0
all,complexity.pacbayes_mag_init,9242,0.4173327472238957,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.3009812389217274,0.1097422266275558,weak-or-mixed,0.293018021969859,0.2931105651105651,0.001,0.2339611645093646,0.3491632289568246,0.0174733364056011,0.0136775277791619,0.0037958086264392,0.0027018567019767,0.0048558159593364,0.2172343356946122,0.0010666666666666,increment-supported,19.0,18.0,1.0
all,complexity.params,9242,0.4334144411679495,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,0.2465283576540229,-0.153275148734269,weak-or-mixed,0.0405293687336663,0.0355717315717315,0.262,-0.0305866698644571,0.1006470589784942,0.0176203457206672,0.0178090168624382,-0.0001886711417709,-0.0003124110355418,-6.709244969681622e-05,-0.0107075732089431,0.262,no-supported-increment,20.0,24.0,4.0
all,complexity.log_spec_orig_main_fft,9242,0.5506286549589554,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2935751634216008,0.3437357354628935,sign-inversion,0.3698229546235335,0.3593791313791314,0.001,0.3106398939916624,0.4064636528217958,0.0173526782521549,0.0074250965601865,0.0099275816919683,0.0088458749798057,0.0110426590143227,0.5721065963252985,0.0010666666666666,increment-supported,21.0,10.0,11.0
all,complexity.log_spec_init_main_fft,9242,0.5613511552551588,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.2930772903720895,0.35643101935565,sign-inversion,0.3848541791295297,0.3744210864210864,0.001,0.3222741245669771,0.424757685654463,0.0172918083805379,0.0076095999749108,0.009682208405627,0.0086305874646268,0.0106332212830714,0.5599303550300997,0.0010666666666666,increment-supported,22.0,9.0,13.0
all,complexity.log_prod_of_spec_fft,9242,0.5964703779104876,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3121074388097063,0.3207703346773979,sign-inversion,0.3362405373528342,0.3343057063057063,0.001,0.2808124786979467,0.382411315406216,0.017569399395329,0.0078708568526515,0.0096985425426775,0.0086060738027784,0.0108384003478953,0.5520133229628759,0.0010666666666666,increment-supported,23.0,15.0,8.0
all,complexity.log_prod_of_spec_over_margin_fft,9242,0.6185368679346784,1.0,1.0,dziugaite-et-al-2020-robust-generalization-v1,pooled,B1_design,gen.gap,"hp.dataset,hp.lr,hp.model_depth,hp.model_width,hp.train_dataset_size",polynomial_ridge,9700,1000,-0.3148149162460588,0.3261168698114288,sign-inversion,0.3433206370180226,0.3396559716559716,0.001,0.2847361378032753,0.390273428281139,0.0174628861247805,0.0084406472674343,0.0090222388573462,0.0079408821594157,0.0101163171406661,0.5166522184751191,0.0010666666666666,increment-supported,24.0,13.0,11.0
