protocol_id,baseline,candidate_id,scenario,reliability,beta,repetition,wild_draws,status,n_groups,orthogonal_wild_p,orthogonal_score_mean,positive_supported,supported
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,14,999,estimated,240,0.613,0.0025096344968998543,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,15,999,estimated,240,0.128,-0.005742902544692787,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,16,999,estimated,240,0.134,0.007446930062845821,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,17,999,estimated,240,0.716,0.0017492273317030941,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,18,999,estimated,240,0.226,0.0056481385664350426,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,additive_proxy_null,0.8,0.0,19,999,estimated,240,0.629,0.0017944120154114408,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,0,999,estimated,240,0.737,-0.0015535221098190958,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,1,999,estimated,240,0.834,-0.000964457054346878,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,2,999,estimated,240,0.618,0.002334803158129044,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,3,999,estimated,240,0.761,-0.0015081533107919323,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,4,999,estimated,240,0.379,0.0037719672241025206,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,5,999,estimated,240,0.154,-0.007356020621349217,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,6,999,estimated,240,0.861,-0.0007119416223666746,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,7,999,estimated,240,0.783,0.0012137282386659408,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,8,999,estimated,240,0.685,-0.0015077026709433396,False,False
mbe3-pgdl-nuisance-development-v1,B1_design,interactions_d2_r0,heteroskedastic_proxy_null,0.3,0.0,9,999,estimated,240,0.368,0.003992652231650439,False,False
