protocol_id,design_scope,panels,n_groups,baseline,scenario,icc,beta,repetition,wild_draws,status,orthogonal_wild_p,orthogonal_score_mean,partial_rank_slope,supported,positive_supported
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,31,999,estimated,0.321,-0.008014884669577,-0.1559770590390989,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,32,999,estimated,0.324,-0.0059005272897306,-0.151149323353019,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,33,999,estimated,0.624,0.0045782068048441,0.0767642216604919,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,34,999,estimated,0.368,0.0062184269608243,0.1299239827458538,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,35,999,estimated,0.515,0.0045745131664343,0.0932471020928868,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,36,999,estimated,0.036,0.0173805575801008,0.2616361637564501,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,37,999,estimated,0.249,0.0093181909293577,0.1305718547358658,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,38,999,estimated,0.637,-0.0035814574380882,-0.0697117358714564,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,39,999,estimated,0.645,-0.00309779409956,-0.0638202375353386,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,40,999,estimated,0.876,-0.001405868600505,-0.0273816607315586,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,41,999,estimated,0.841,0.0014084229606584,0.021398275062937,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,42,999,estimated,0.49,-0.0059565309902458,-0.1024619358070435,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,43,999,estimated,0.873,-0.0012303953964493,-0.0242402168042419,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,44,999,estimated,0.142,0.0089021702200685,0.2914650066551377,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,45,999,estimated,0.815,0.0011820821542645,0.036221867257903,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,46,999,estimated,0.341,-0.0065486500168534,-0.1274687092361532,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,47,999,estimated,0.052,-0.0137711992621699,-0.349064413775322,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,48,999,estimated,0.067,0.0119895604378329,0.2698185304607223,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.3,0.0,49,999,estimated,0.92,-0.0010772833966447,-0.0140869008518417,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,0,999,estimated,0.866,0.0012884333002539,0.0241477968862407,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,1,999,estimated,0.703,0.0030772240854398,0.0423195105181585,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,2,999,estimated,0.869,0.0013865455822558,0.017535193928838,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,3,999,estimated,0.499,0.0052540660263967,0.0720217539872492,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,4,999,estimated,0.142,-0.0141085837167628,-0.2380214297366416,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,5,999,estimated,0.268,0.0097193629645016,0.1313357082497948,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,6,999,estimated,0.357,0.0063195607882357,0.1156266944628372,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,7,999,estimated,0.672,0.0033844695539405,0.0700539808176177,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,8,999,estimated,0.627,-0.0045983805184596,-0.0670942314736323,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,9,999,estimated,0.263,0.0098001147614169,0.1450831895893245,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,10,999,estimated,0.042,0.0153467496909572,0.3364782007923675,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,11,999,estimated,0.91,0.0009607593378305,0.0205532611192062,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,12,999,estimated,0.829,0.0015174718945738,0.0275346199019345,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,13,999,estimated,0.415,0.0066347000768919,0.124278903449927,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,14,999,estimated,0.011,0.0242209674329615,0.3906795879414005,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,15,999,estimated,0.031,0.0109453160735445,0.1342606564073667,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,16,999,estimated,0.005,0.0271386592107514,0.3725301433717625,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,17,999,estimated,0.1,0.0115228623244244,0.1977327037012862,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,18,999,estimated,0.113,-0.012681906020213,-0.1983034227624922,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,19,999,estimated,0.505,-0.0052952308335194,-0.0965508153165144,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,20,999,estimated,0.383,0.0055346882151992,0.102390134145317,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,21,999,estimated,0.591,-0.004018501932845,-0.0487495235537851,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,22,999,estimated,0.106,-0.0109335555366363,-0.174976388599604,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,23,999,estimated,0.821,-0.0017008874231188,-0.0233807292643768,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,24,999,estimated,0.178,0.011385861203749,0.1510912604780089,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,25,999,estimated,0.555,-0.0050150464980389,-0.0753821195901498,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,26,999,estimated,0.113,0.0107028754053283,0.1943780113214312,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,27,999,estimated,0.016,0.0199084567011143,0.3534955494754329,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,28,999,estimated,0.516,0.0042059708595848,0.0732411944898225,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,29,999,estimated,0.056,0.0180245334141687,0.2027253976301124,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,30,999,estimated,0.064,-0.0150491841988842,-0.2443506276562108,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,31,999,estimated,0.558,0.0042199828185654,0.0847024148198215,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,32,999,estimated,0.172,-0.0106189721394621,-0.1423835338268574,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,33,999,estimated,0.218,0.0111400166609065,0.1395007205778805,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,34,999,estimated,0.002,0.0224552285131248,0.3141783943128083,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,35,999,estimated,0.93,0.0009139667500176,0.0114145464437403,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,36,999,estimated,0.616,-0.0040604159909527,-0.0473416631269929,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,37,999,estimated,0.225,-0.0104793261614589,-0.2325074124575127,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,38,999,estimated,0.369,-0.0098146431176483,-0.1281636277454739,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,39,999,estimated,0.417,0.0065341229617076,0.0849913619652746,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,40,999,estimated,0.156,-0.0106113090726797,-0.1636928488333961,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,41,999,estimated,0.008,0.0246418887489571,0.2896666572561877,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,42,999,estimated,0.332,0.0090900582030707,0.1574762964872953,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,43,999,estimated,0.146,-0.0097433223713347,-0.1443142847411516,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,44,999,estimated,0.051,0.0150727885276684,0.2139504527240344,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,45,999,estimated,0.995,5.574847678673205e-05,0.0007608784088774,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,46,999,estimated,0.327,-0.0066885577556545,-0.111010546252649,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,47,999,estimated,0.542,0.0040975990396904,0.0908381859927744,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,48,999,estimated,0.519,0.0050186246500222,0.0878074245828748,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,additive_proxy_null,0.8,0.0,49,999,estimated,0.457,0.0055141378308179,0.0748148253655724,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,0,999,estimated,0.534,0.0045214597239353,0.1116333434682271,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,1,999,estimated,0.49,-0.005771216528976,-0.0970895109649505,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,2,999,estimated,0.015,0.0172757936419934,0.3415257445475523,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,3,999,estimated,0.005,0.0284682483635562,0.4383670049287906,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,4,999,estimated,0.731,-0.0029781185289742,-0.0451884548275001,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,5,999,estimated,0.024,0.0161629337518197,0.2710318363325135,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,6,999,estimated,0.039,0.0139089436587282,0.2617381687735891,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,7,999,estimated,0.28,0.0078884057141807,0.1508352637982795,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,8,999,estimated,0.019,0.0160603653596372,0.3261845596767533,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,9,999,estimated,0.001,0.0323799195004468,0.4912618671204137,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,10,999,estimated,0.446,0.0064752421531826,0.0964801167299461,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,11,999,estimated,0.016,0.0203713824086514,0.3704030905247843,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,12,999,estimated,0.985,0.0001354193752028,0.0023376160827067,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,13,999,estimated,0.041,0.0208138696747159,0.3168685310882738,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,14,999,estimated,0.175,0.0090944273728948,0.1777067077394908,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,15,999,estimated,0.314,0.0071139981374624,0.1433975182659697,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,16,999,estimated,0.016,0.0220905765401892,0.3752303774044679,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,17,999,estimated,0.345,0.0082970390848527,0.1363292798380115,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,18,999,estimated,0.004,0.0258472354184863,0.4900779963373676,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,19,999,estimated,0.014,0.0186540243640849,0.3156170170016568,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,20,999,estimated,0.002,0.0312772732994666,0.4836509889983062,True,True
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,21,999,estimated,0.011,0.0245762030611361,0.4300190643442709,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,22,999,estimated,0.101,0.0140289828936087,0.2786975246760174,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,23,999,estimated,0.006,0.0276292710188033,0.4339236875845028,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,24,999,estimated,0.006,0.0267946698115521,0.3271392100564305,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,25,999,estimated,0.144,0.0088009562314696,0.1970320270000237,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,26,999,estimated,0.016,0.0230379822871736,0.3722653662245288,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,27,999,estimated,0.28,0.0102643331492473,0.1643513877595493,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,28,999,estimated,0.234,0.0078131626833766,0.1920364238838659,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,29,999,estimated,0.572,0.0048185495143405,0.0677121128203563,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,30,999,estimated,0.123,0.0139405822514944,0.2110554095247197,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,31,999,estimated,0.944,-0.000648260297229,-0.0134061548918629,False,False
mbe3-orthogonal-sample-size-frontier-v1,image,1,48,B1_design,heteroskedastic_proxy_null,0.3,0.0,32,999,estimated,0.04,0.0177793786642981,0.2949437375246654,False,False
