sample_size,repetition,scenario,expected_increment,nuisance_model,residual_p,delta_mse,refit_delta_mse_ci_low,joint_supported,predictive_supported
100,0,null_metric,False,polynomial_ridge,0.065,-0.0019645331511914457,-0.004578507831901987,False,False
100,0,null_metric,False,polynomial_ridge_interactions,0.065,-0.000503223199984474,-0.0013797847006872385,False,False
100,0,nonlinear_proxy,False,polynomial_ridge,0.33,0.0004719035085167973,-0.004210036142989365,False,False
100,0,nonlinear_proxy,False,polynomial_ridge_interactions,0.24,4.897012966671027e-05,-0.002119444713832537,False,False
100,0,heteroskedastic_null,False,polynomial_ridge,0.99,-7.788444096380742e-05,-0.0011888123935947506,False,False
100,0,heteroskedastic_null,False,polynomial_ridge_interactions,0.97,0.0003845114706684371,-0.00036714227269813717,False,False
100,0,clustered_null,False,polynomial_ridge,0.585,0.001859295556666564,-0.0380493726911311,False,False
100,0,clustered_null,False,polynomial_ridge_interactions,0.17,0.0025421849786202606,-0.019188913233139166,False,False
100,0,genuine_increment,True,polynomial_ridge,0.025,0.047008966648452125,0.02649655437188113,True,True
100,0,genuine_increment,True,polynomial_ridge_interactions,0.04,0.044917634818636705,0.02908399483251467,True,True
100,1,null_metric,False,polynomial_ridge,0.25,-0.0021963076137000333,-0.005750185941166496,False,False
100,1,null_metric,False,polynomial_ridge_interactions,0.195,-0.00010839844243701671,-0.0021062806817843064,False,False
100,1,nonlinear_proxy,False,polynomial_ridge,0.15,-0.0008965084212697715,-0.0018385017341648754,False,False
100,1,nonlinear_proxy,False,polynomial_ridge_interactions,0.605,-0.0005837722761192436,-0.0010575566885470988,False,False
100,1,heteroskedastic_null,False,polynomial_ridge,0.46,-5.105043677187254e-05,-0.002533536450035398,False,False
100,1,heteroskedastic_null,False,polynomial_ridge_interactions,0.855,-0.0009763471655166635,-0.0011572011707351435,False,False
100,1,clustered_null,False,polynomial_ridge,0.395,-0.0026127721369686597,-0.015584442151582362,False,False
100,1,clustered_null,False,polynomial_ridge_interactions,0.805,-0.000592840067226659,-0.027704885128377387,False,False
100,1,genuine_increment,True,polynomial_ridge,0.005,0.03835368843394825,0.02281293213544551,True,True
100,1,genuine_increment,True,polynomial_ridge_interactions,0.005,0.034729137504742595,0.024220389723185916,True,True
100,2,null_metric,False,polynomial_ridge,0.05,-0.0022408064730735262,-0.004524020622903814,False,False
100,2,null_metric,False,polynomial_ridge_interactions,0.03,-0.0007974585192176212,-0.0038712559812521816,False,False
100,2,nonlinear_proxy,False,polynomial_ridge,0.26,-0.00016830052571212544,-0.0008009245789578646,False,False
100,2,nonlinear_proxy,False,polynomial_ridge_interactions,0.13,0.00016116329273985555,-0.0004705550112303883,False,False
100,2,heteroskedastic_null,False,polynomial_ridge,0.915,-0.0013784499177659278,-0.0028959176367066796,False,False
100,2,heteroskedastic_null,False,polynomial_ridge_interactions,0.86,-0.00015128783064839897,-0.0014022695977518763,False,False
100,2,clustered_null,False,polynomial_ridge,1.0,-0.004882963586357682,-0.07137550105909714,False,False
100,2,clustered_null,False,polynomial_ridge_interactions,0.78,-0.000819451117812748,-0.07985664780897613,False,False
