baseline,metric,nuisance_model,status,target,controls,group_col,permutation_block_col,n,independence_units,n_splits,polynomial_degree,run_residual_r,residual_r,residual_p,residual_ci_low,residual_ci_high,baseline_mse,augmented_mse,delta_mse,delta_mse_ci_low,delta_mse_ci_high,relative_mse_improvement,increment_classification,refit_bootstrap_draws,refit_bootstrap_successful,refit_residual_ci_low,refit_residual_ci_high,refit_delta_mse_ci_low,refit_delta_mse_ci_high,refit_predictive_classification,refit_increment_classification
B1_design,prediction_confidence,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.492792905890294,-0.7245817245817247,0.001,,,0.001956618602419093,0.0012709739836707457,0.0006856446187483475,,,0.3504232341963023,residual-dependence-only,999,999,-0.9323157785596932,-0.14011455330876593,-0.00048193649209572845,0.0039458092424335236,no-supported-increment,residual-dependence-only
B1_design,prediction_confidence,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.4474113620170503,-0.6496782496782497,0.001,,,0.002018186262226449,0.001418378699593491,0.0005998075626329577,,,0.2972012910103026,residual-dependence-only,999,999,-0.9766120307822462,0.07291156309906399,-0.00011562298916424342,0.005127616932661318,no-supported-increment,residual-dependence-only
B1_design,prediction_entropy,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.31091710290236546,0.17940797940797942,0.271,,,0.001956618602419093,0.0016496719680789,0.0003069466343401932,,,0.15687606872422422,no-supported-increment,999,999,-0.2646444385131082,0.81069329249567,-0.00024921226473354304,0.0029589637931339606,no-supported-increment,no-supported-increment
B1_design,prediction_entropy,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.33641904971600256,0.4880308880308881,0.003,,,0.002018186262226449,0.0018209733351250324,0.00019721292710141647,,,0.09771790185701322,residual-dependence-only,999,999,-0.07503759170046369,0.9291897186641658,-0.00029356341721249946,0.003494276934895299,no-supported-increment,residual-dependence-only
B1_design,prediction_margin,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.49199603686414545,-0.656885456885457,0.001,,,0.001956618602419093,0.0012552759458528396,0.0007013426565662536,,,0.3584462785435744,residual-dependence-only,999,999,-0.8805070715122175,-0.06826508205133233,-0.0005177438835426859,0.003812302921620343,no-supported-increment,residual-dependence-only
B1_design,prediction_margin,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.45946322729144295,-0.6357786357786358,0.001,,,0.002018186262226449,0.0014839976235864524,0.0005341886386399965,,,0.2646874813480711,residual-dependence-only,999,999,-0.9717042247175932,0.18327302110179858,-0.0001405472578321477,0.0046348585533314834,no-supported-increment,residual-dependence-only
B1_design,gradient_norm,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.08507176295081409,0.09317889317889319,0.568,,,0.001956618602419093,0.0016906465597151612,0.0002659720427039319,,,0.13593453643704176,no-supported-increment,999,999,-0.48566836095540483,0.598013773729765,-0.0014391223459248512,0.0023287929498432666,no-supported-increment,no-supported-increment
B1_design,gradient_norm,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.04102215081941444,0.009266409266409266,0.967,,,0.002018186262226449,0.0013469282292845792,0.0006712580329418696,,,0.33260459924117336,no-supported-increment,999,999,-0.636540020057349,0.6878274877462498,-0.0031918871866848486,0.0035506666820317736,no-supported-increment,no-supported-increment
B1_design,empirical_fisher_trace,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.02644156942849398,0.06846846846846848,0.677,,,0.001956618602419093,0.0014616193915476794,0.0004949992108714137,,,0.25298707180817687,no-supported-increment,999,999,-0.5159527251232807,0.5953238525350399,-0.0013255658974214374,0.0029763077252860297,no-supported-increment,no-supported-increment
B1_design,empirical_fisher_trace,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,0.007772635119265269,0.03577863577863578,0.852,,,0.002018186262226449,0.0013632765071514795,0.0006549097550749693,,,0.32450411903630616,no-supported-increment,999,999,-0.6183991405048307,0.6792703447554248,-0.003670459896471866,0.003366786770174564,no-supported-increment,no-supported-increment
B1_design,fim_erank,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.04284922802484069,-0.08648648648648649,0.606,,,0.001956618602419093,0.001880951330866022,7.566727155307123e-05,,,0.038672468645406376,no-supported-increment,999,999,-0.522318259058138,0.6052240827303237,-0.0009852746749604959,0.001297079587012018,no-supported-increment,no-supported-increment
B1_design,fim_erank,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.18886738011006707,-0.35933075933075936,0.037,,,0.002018186262226449,0.0015312923279240933,0.0004868939343023555,,,0.2412532199903182,residual-dependence-only,999,999,-0.9175007586096982,0.5825140259766641,-0.0032569804059166922,0.0018455392095759384,no-supported-increment,residual-dependence-only
B1_design,fim_norm,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.04284922802484069,-0.08648648648648649,0.606,,,0.001956618602419093,0.001880951330866022,7.566727155307123e-05,,,0.038672468645406376,no-supported-increment,999,999,-0.522318259058138,0.6052240827303237,-0.0009852746749604959,0.001297079587012018,no-supported-increment,no-supported-increment
B1_design,fim_norm,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.18886738011006707,-0.35933075933075936,0.037,,,0.002018186262226449,0.0015312923279240933,0.0004868939343023555,,,0.2412532199903182,residual-dependence-only,999,999,-0.9175007586096982,0.5825140259766641,-0.0032569804059166922,0.0018455392095759384,no-supported-increment,residual-dependence-only
B1_design,feature_erank,polynomial_ridge,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.09934872858221391,0.018018018018018018,0.916,,,0.001956618602419093,0.0015121986761614046,0.00044441992625768854,,,0.22713671724689916,no-supported-increment,999,999,-0.7549460711520101,0.7576600028035541,-0.001056075893472059,0.002926929020078994,no-supported-increment,no-supported-increment
B1_design,feature_erank,polynomial_ridge_interactions,estimated,test_loss,"model_size,learning_rate,weight_decay,dropout",config_id,model_size,180,36,5,6,-0.227085146708686,-0.1770913770913771,0.294,,,0.002018186262226449,0.0015915033661999926,0.0004266828960264562,,,0.21141898744060553,no-supported-increment,999,999,-0.7079642255811316,0.7429092134269644,-0.005279830586338472,0.002627696062257434,no-supported-increment,no-supported-increment
